[00:00.000 --> 00:00.840]  Exactly.
[19:52.140 --> 19:53.540]  and they blend it together.
[19:53.540 --> 19:56.700]  And they do the same thing with whiskeys too.
[19:58.820 --> 20:00.980]  A lot of those are blends from different barrels.
[20:00.980 --> 20:03.340]  And if it's all from one barrel,
[20:03.940 --> 20:06.660]  usually because that barrel was special
[20:06.660 --> 20:10.140]  and those bottles are gonna be very expensive.
[20:10.140 --> 20:14.780]  So there's the chickens, tobacco, vegetables.
[20:14.780 --> 20:16.260]  I could talk about vegetables all day.
[20:16.260 --> 20:18.580]  I grow a lot of stuff.
[20:18.580 --> 20:19.420]  So-
[20:19.420 --> 20:20.500]  We got time.
[20:20.500 --> 20:24.340]  Okay, well, the stuff that I sent you,
[20:24.340 --> 20:27.300]  that basil, I spent years working on that
[20:27.300 --> 20:29.700]  because I like the flavor of basil
[20:29.700 --> 20:31.580]  and sauces and other things.
[20:31.580 --> 20:34.020]  But I always hated that it would like
[20:34.020 --> 20:35.740]  sometimes taste like licorice.
[20:36.620 --> 20:40.060]  So I found out that some basils that you can,
[20:40.060 --> 20:42.220]  you get basil seed that didn't taste like licorice.
[20:42.220 --> 20:45.100]  So I got some of that, but it tastes like fucking medicine.
[20:45.100 --> 20:47.420]  So I was left with either, okay,
[20:47.420 --> 20:50.100]  I've got this stuff that tastes like,
[20:51.860 --> 20:53.180]  yeah, yeah.
[20:53.180 --> 20:56.140]  So that's the, there's a lot of seeds in there too, man.
[20:56.140 --> 20:58.300]  You can, that's a lifetime supplier.
[20:58.300 --> 20:59.820]  You can pass those up.
[20:59.820 --> 21:00.940]  Anyway, yeah.
[21:00.940 --> 21:04.900]  And that's really all I selected for with that.
[21:04.900 --> 21:06.260]  It is five generations in
[21:06.260 --> 21:08.100]  and I really don't feel like going any further with it.
[21:08.100 --> 21:11.100]  I've got plenty of seeds, last me forever.
[21:11.100 --> 21:15.940]  And I'm happy with the flavor and smell and everything.
[21:15.940 --> 21:16.780]  There's none of that.
[21:16.780 --> 21:18.900]  You're not gonna find any licorice in there.
[21:18.900 --> 21:20.540]  That's, yeah.
[21:20.540 --> 21:22.060]  That stuff will ruin your spaghetti.
[21:22.060 --> 21:23.860]  As you think about, anyway,
[21:23.860 --> 21:25.220]  I don't know why people use it.
[21:25.220 --> 21:29.460]  So there's, and right now I'm working on a rosemary.
[21:29.460 --> 21:33.180]  I've gotten tired of searching and searching for ARP.
[21:33.180 --> 21:35.580]  I don't know if anybody's heard of ARP rosemary,
[21:35.580 --> 21:38.740]  but I've gotten a lot of fake ARP rosemary cuttings.
[21:38.740 --> 21:40.700]  And it's supposed to be this hardy rosemary
[21:40.700 --> 21:42.940]  that'll overwinter and you don't have to keep planting
[21:42.940 --> 21:44.840]  this stuff and all of that.
[21:44.840 --> 21:48.340]  So I got tired of getting burned on that.
[21:48.340 --> 21:51.140]  So I decided to just buy a bunch of seeds,
[21:51.140 --> 21:55.820]  like any different source of rosemary seed that I could find.
[21:55.820 --> 21:58.060]  I bought it up and I've got a bunch of them planted.
[21:58.060 --> 22:01.820]  And that's what I'm gonna do is I'm gonna plant
[22:01.820 --> 22:04.860]  probably a quarter acre with a bunch of rosemary.
[22:07.340 --> 22:11.980]  I think this was for the basil, but yeah, man.
[22:11.980 --> 22:13.740]  This is good stuff.
[22:13.740 --> 22:15.220]  One of the things I wanted to do
[22:15.220 --> 22:16.700]  that I thought would be cool.
[22:16.700 --> 22:19.340]  And this would be with your blessing and other people's,
[22:19.340 --> 22:23.940]  but like when people order cannabis seeds,
[22:23.940 --> 22:27.500]  I wanted to just like stick in other vegetables.
[22:28.420 --> 22:30.140]  Some basil, some daikon.
[22:30.140 --> 22:32.580]  I mean, like I have here, someone was mentioning,
[22:32.580 --> 22:35.740]  someone asked if you had grown Hopi tobacco
[22:35.740 --> 22:38.340]  and I grew Aztec tobacco.
[22:38.340 --> 22:40.180]  Let me just grab, hold on.
[22:40.180 --> 22:41.460]  Yeah.
[22:41.460 --> 22:43.300]  Yeah, so I've grown the Aztec tobacco
[22:43.300 --> 22:45.620]  and that stuff will make you trip.
[22:45.620 --> 22:47.820]  There's something in there, it's weird.
[22:47.820 --> 22:49.100]  And it's not a fun trip.
[22:49.100 --> 22:52.660]  It wasn't like it was enjoyable, but yeah.
[22:52.660 --> 22:56.220]  I tried to roll a little blunt with it.
[22:56.220 --> 22:57.500]  That didn't work out very well,
[22:57.500 --> 22:59.020]  but I could tell the difference.
[22:59.020 --> 23:01.940]  There was something weird in that stuff,
[23:01.940 --> 23:03.420]  but I don't know about Hopi,
[23:04.820 --> 23:09.100]  but the Aztec was interesting.
[23:09.100 --> 23:10.580]  Yeah.
[23:10.580 --> 23:15.140]  So this is all a shaman tobacco from,
[23:15.140 --> 23:17.360]  so super high nicotine,
[23:18.820 --> 23:22.180]  just from like 10 plants that I grew this past summer.
[23:22.180 --> 23:25.540]  So I'm just like, what am I supposed to do with this?
[23:25.860 --> 23:26.860]  Don't kill yourself with it.
[23:26.860 --> 23:29.100]  Yeah, no, I'd love to just send,
[23:29.100 --> 23:31.780]  you know, like I like the idea of sending everything
[23:31.780 --> 23:34.140]  in like pods if possible.
[23:34.140 --> 23:37.740]  So I have, like I'm taking down cabbage.
[23:37.740 --> 23:39.980]  I mean, not cabbage, cauliflower.
[23:42.460 --> 23:44.580]  Yeah, I've never had a success with cauliflower
[23:44.580 --> 23:46.740]  or broccoli or any of that stuff.
[23:46.740 --> 23:49.620]  Just, and even got it to go to seed.
[23:49.620 --> 23:51.980]  It looks like radish seeds.
[23:51.980 --> 23:52.820]  What's that?
[23:52.820 --> 23:54.500]  Those look like radish seeds.
[23:54.500 --> 23:56.960]  Like the same sort of like little pod.
[23:58.100 --> 23:59.500]  I wonder if they're in the same family.
[23:59.500 --> 24:01.060]  No, what you're holding there?
[24:01.060 --> 24:03.140]  You've got that cauliflower.
[24:03.140 --> 24:04.700]  Yeah, those must be in the same family
[24:04.700 --> 24:06.140]  because those seed pods look,
[24:07.540 --> 24:10.860]  well, you said that your radish went to seed, right?
[24:10.860 --> 24:12.100]  Yeah, so hold on.
[24:12.100 --> 24:14.060]  So the daikon, hold on.
[24:16.420 --> 24:20.100]  Yeah, every radish that I've found looks like that.
[24:20.100 --> 24:22.420]  Like the, when it gets seeded out,
[24:22.420 --> 24:24.620]  it looks like those little pods right there.
[24:28.140 --> 24:31.180]  So this is one daikon plant.
[24:34.280 --> 24:35.120]  Can you see that?
[24:35.120 --> 24:38.840]  Wow, yeah, those are, that's a different type of pod
[24:38.840 --> 24:41.120]  than the daikons that I had seed out on me.
[24:41.120 --> 24:42.840]  They looked more like that cauliflower.
[24:42.840 --> 24:44.080]  That's cool.
[24:44.080 --> 24:46.800]  And then, hold on.
[24:48.040 --> 24:50.920]  Okay, so here's Gemma.
[24:50.920 --> 24:51.760]  You ready?
[24:51.760 --> 24:55.120]  Yeah.
[24:55.120 --> 24:56.160]  Can you pull it out?
[24:57.000 --> 25:00.120]  I was gonna have Gemma try to pull the daikon out, but-
[25:00.120 --> 25:02.720]  No, no, no, no, don't, don't, no, no, no, don't dig.
[25:02.720 --> 25:04.640]  Ah, baby, okay, you want me to help?
[25:04.640 --> 25:06.080]  Yeah.
[25:06.080 --> 25:07.960]  Okay, ready?
[25:10.440 --> 25:12.240]  So this was the end of life.
[25:15.960 --> 25:17.320]  Okay, careful.
[25:18.400 --> 25:20.120]  And this thing just took over.
[25:20.120 --> 25:23.240]  I mean, it like, this is-
[25:23.240 --> 25:24.400]  So much dirt hanging.
[25:24.400 --> 25:25.240]  I know.
[25:26.400 --> 25:27.240]  Ah.
[25:30.800 --> 25:33.960]  Okay, come over in the grass.
[25:33.960 --> 25:35.320]  Come here.
[25:35.320 --> 25:36.480]  Okay, hold it.
[25:37.720 --> 25:39.720]  What are you gonna do?
[25:39.720 --> 25:43.400]  Gemma just taking a bath and wanted to look fabulous
[25:43.400 --> 25:44.920]  after her bath.
[25:44.920 --> 25:46.600]  I think I just ate some dirt.
[25:46.600 --> 25:47.680]  You did eat some dirt.
[25:47.680 --> 25:48.520]  I did.
[25:48.520 --> 25:50.480]  All right, hold it like that.
[25:50.480 --> 25:51.520]  Hold it like that.
[25:52.480 --> 25:53.320]  You got it?
[25:58.070 --> 25:59.510]  Okay, hold on.
[25:59.510 --> 26:03.430]  So anyway, that was, all these seeds are from that one plant.
[26:03.430 --> 26:04.910]  Do you know what that is?
[26:04.910 --> 26:05.750]  No.
[26:05.750 --> 26:07.110]  It's a- Oh, a snail on it.
[26:07.110 --> 26:08.590]  It's a daikon radish.
[26:08.590 --> 26:09.870]  Okay, I'll grab the snail later.
[26:09.870 --> 26:10.710]  Just leave the snail.
[26:10.710 --> 26:12.110]  Don't worry about the snail.
[26:14.390 --> 26:17.430]  Was anything else able to grow in that bed?
[26:17.430 --> 26:20.310]  Yeah, no, that, I mean, I had, in that same bed,
[26:20.310 --> 26:23.750]  there's a ton of chard
[26:23.750 --> 26:28.710]  and some of the cauliflower.
[26:28.710 --> 26:33.710]  And then I had a white wheat growing on the other side.
[26:35.390 --> 26:38.550]  And so now that I pulled that daikon out,
[26:38.550 --> 26:42.830]  I'm gonna put a whole new wave of stuff in there.
[26:44.670 --> 26:48.310]  Anyway, that was, but I thought it'd be cool,
[26:48.310 --> 26:51.310]  again, if people order stuff, it's just like,
[26:51.470 --> 26:56.150]  you know, like, you get this and you get like one of the,
[26:56.150 --> 26:58.710]  just like whatever I have lying around.
[27:00.150 --> 27:00.990]  I don't know.
[27:00.990 --> 27:03.710]  You should probably like have a question.
[27:03.710 --> 27:05.390]  Yeah, you should probably have a question
[27:05.390 --> 27:07.710]  on this when they're checking out.
[27:07.710 --> 27:08.790]  Do you grow veggies?
[27:08.790 --> 27:11.390]  Are you a Brussels sprout fan?
[27:11.390 --> 27:12.230]  Enthusiast?
[27:13.230 --> 27:14.670]  All right, congratulations
[27:14.670 --> 27:16.110]  on getting that cauliflower to work.
[27:16.110 --> 27:18.630]  I've never been able to get cauliflower or broccoli
[27:18.670 --> 27:21.430]  to like head out and like where you could eat anything
[27:21.430 --> 27:22.270]  off of it.
[27:23.030 --> 27:24.590]  So yeah, congrats on that.
[27:24.590 --> 27:28.950]  Some of them I ate and then a bunch I let go to flower.
[27:28.950 --> 27:33.950]  And so now I'm replanting those and so.
[27:35.270 --> 27:36.430]  Which one of those tomatoes
[27:36.430 --> 27:38.470]  are you gonna try out this year?
[27:38.470 --> 27:39.590]  I'm gonna do all of them.
[27:39.590 --> 27:40.430]  Oh, wow.
[27:41.350 --> 27:42.190]  Man.
[27:43.110 --> 27:45.390]  You, I mean, you had different purposes,
[27:45.390 --> 27:48.910]  like one for making, good for making sauces, right?
[27:48.910 --> 27:52.030]  So here are your tomato seeds.
[27:52.030 --> 27:57.100]  Yeah.
[27:57.100 --> 27:57.940]  Sort of.
[27:57.940 --> 27:59.340]  I try to provide a good description
[27:59.340 --> 28:02.700]  is because you know, it shows that I've looked at it.
[28:02.700 --> 28:03.900]  Like I know what it is.
[28:03.900 --> 28:07.660]  So we have the Luther Burbank, which let's see is,
[28:07.660 --> 28:12.660]  as you said, the Luther Burbank is,
[28:15.420 --> 28:17.660]  that's one of the full-size heirloom tomatoes.
[28:17.660 --> 28:19.620]  So you had the boxcar Willie,
[28:19.620 --> 28:24.620]  the Luther Burbank slicing, the CU, the black crim,
[28:24.940 --> 28:26.860]  for the snacking salad tomatoes,
[28:26.860 --> 28:31.860]  you had my grape F7, chocolate cherry, yellow pear,
[28:32.100 --> 28:35.940]  and then the sauce tomatoes, you had a Roma and a Juliet.
[28:35.940 --> 28:36.780]  Yeah.
[28:36.780 --> 28:38.460]  Oh yeah, so yeah.
[28:38.460 --> 28:41.620]  Now maybe I won't start this because that's, yeah.
[28:41.620 --> 28:42.980]  That's a lot.
[28:42.980 --> 28:45.060]  One in each bucket, how about that?
[28:45.060 --> 28:45.900]  Yeah.
[28:45.900 --> 28:46.940]  Yeah.
[28:46.940 --> 28:50.460]  Those yellow pears, that's a very old heirloom.
[28:50.460 --> 28:54.140]  Like it was heirloom before, but that is from this old man,
[28:54.140 --> 28:55.660]  this old farmer that I know.
[28:55.660 --> 28:58.620]  And those just plant themselves each year.
[28:58.620 --> 29:00.220]  He doesn't even plant those anymore.
[29:00.220 --> 29:01.060]  They just come up.
[29:01.060 --> 29:03.480]  So yeah, and they're really good.
[29:04.980 --> 29:09.060]  So I've bred all kinds of vegetables.
[29:09.060 --> 29:11.520]  I've got a cantaloupe that I selected out.
[29:11.520 --> 29:12.360]  That's that thing.
[29:12.480 --> 29:16.440]  It's a palm of your hand and just sweet as can be.
[29:18.880 --> 29:20.120]  Yeah, it's amazing stuff.
[29:21.760 --> 29:23.100]  But I mean, I think it, you know,
[29:23.100 --> 29:25.200]  this gets to kind of where I was trying
[29:25.200 --> 29:29.000]  to tease the conversation is just like big ag
[29:29.000 --> 29:32.080]  versus just all over the country.
[29:32.080 --> 29:35.840]  There are people like you kind of doing their thing
[29:35.840 --> 29:40.160]  and pushing stuff in a super flavorful direction
[29:40.160 --> 29:41.680]  that they like, you know?
[29:41.680 --> 29:43.200]  And everyone has preferences.
[29:43.200 --> 29:46.640]  You love haze, other people may hate it, but to each his own.
[29:46.640 --> 29:49.120]  Yeah, absolutely.
[29:49.120 --> 29:51.960]  But, and I think that every-
[29:51.960 --> 29:54.640]  I do like my Italian cooking, so I'm excited.
[29:54.640 --> 29:55.840]  Good deal.
[29:55.840 --> 29:58.600]  I wish that everybody that has the desire to,
[29:58.600 --> 30:01.080]  I wish they would select in their own direction
[30:01.080 --> 30:03.840]  because a lot of the seed market I've noticed,
[30:03.840 --> 30:08.720]  it's like everybody's going for the same things.
[30:08.720 --> 30:10.500]  It's like, and how do you know?
[30:11.920 --> 30:13.600]  Yeah, he says that a lot.
[30:17.120 --> 30:19.160]  What somebody else selects for
[30:19.160 --> 30:22.320]  isn't gonna float your boat, you know?
[30:23.400 --> 30:26.840]  Yeah, yeah, I like smoking those.
[30:26.840 --> 30:30.080]  Like putting those on the fire with some oak smoke.
