[00:00.000 --> 00:02.000]  We're doing an introduction.
[01:21:28.340 --> 01:21:41.340]  And the whole Nyrka seed trust, if everyone should know about the Nyrka seed trust, which is a lot of his land-raised varieties that he's collected from all over the years in different places and stuff, along with the family and stuff that he travels with and stuff.
[01:21:41.340 --> 01:21:42.340]  Big up, Bodie.
[01:21:44.340 --> 01:21:45.340]  Love it.
[01:21:45.340 --> 01:21:46.340]  Love it.
[01:21:47.340 --> 01:21:48.340]  Anyway.
[01:21:48.340 --> 01:21:49.340]  Yeah.
[01:21:49.340 --> 01:21:50.340]  Yeah.
[01:21:50.340 --> 01:21:55.340]  So now we've been blessed to always grow organic.
[01:21:56.340 --> 01:21:59.340]  So Kelly and I are on our 30th year of being together.
[01:21:59.340 --> 01:22:02.340]  So we met in 93, April Fool's Day.
[01:22:02.340 --> 01:22:03.340]  30 years?
[01:22:03.340 --> 01:22:06.340]  April Fool's Day, 1993.
[01:22:06.340 --> 01:22:07.340]  Wow.
[01:22:07.340 --> 01:22:08.340]  Eugene, Oregon.
[01:22:08.340 --> 01:22:09.340]  Wow.
[01:22:09.340 --> 01:22:13.340]  So Kelly's still not graduated from college.
[01:22:13.340 --> 01:22:17.340]  I'm building and learning how to build and all that.
[01:22:17.340 --> 01:22:22.340]  And we're just, we love Grateful Dead.
[01:22:22.340 --> 01:22:24.340]  We love parking lots.
[01:22:25.340 --> 01:22:26.340]  And selling things.
[01:22:27.340 --> 01:22:30.340]  And hacky sack and drumming and drum tower.
[01:22:30.340 --> 01:22:33.340]  I used to be hardcore into foot bag hacky sack.
[01:22:33.340 --> 01:22:34.340]  Oh, yeah.
[01:22:34.340 --> 01:22:39.340]  I went to the world competition in Disneyland one year to compete.
[01:22:39.340 --> 01:22:40.340]  No.
[01:22:40.340 --> 01:22:41.340]  From Represent Canada.
[01:22:41.340 --> 01:22:42.340]  Yeah.
[01:22:42.340 --> 01:22:43.340]  I can't do it.
[01:22:43.340 --> 01:22:45.340]  I'll snap my legs and back in half if I even try at this point.
[01:22:45.340 --> 01:22:46.340]  Really?
[01:22:46.340 --> 01:22:47.340]  Yeah.
[01:22:47.340 --> 01:22:50.340]  So if we bust out a foot bag right now, you're not going to be doing like around the world?
[01:22:50.340 --> 01:22:51.340]  No, there's like, you need shoes.
[01:22:51.340 --> 01:22:53.340]  And I could do around the world for sure.
[01:22:53.340 --> 01:22:54.340]  Okay.
[01:22:54.340 --> 01:22:55.340]  I could do around the world for sure.
[01:22:55.340 --> 01:22:59.340]  But like, yeah.
[01:22:59.340 --> 01:23:02.340]  Just not a 360 around the world back flip?
[01:23:02.340 --> 01:23:04.340]  No, no black back flip.
[01:23:04.340 --> 01:23:05.340]  I could do the other half.
[01:23:05.340 --> 01:23:06.340]  Right.
[01:23:06.340 --> 01:23:07.340]  Pretty reasonably.
[01:23:07.340 --> 01:23:08.340]  That's cool.
[01:23:08.340 --> 01:23:09.340]  Fair enough.
[01:23:09.340 --> 01:23:12.340]  I've always been kind of a person that's like, I can't go half into something.
[01:23:12.340 --> 01:23:14.340]  I have to be all the way.
[01:23:14.340 --> 01:23:17.340]  There's no, there's no one foot in, one foot out.
[01:23:17.340 --> 01:23:21.340]  So it was an in-depth obsession for a period of time.
[01:23:22.340 --> 01:23:33.340]  It was able to, like, I would be able to go busking and, and make my money for the week or the day or pick up my, pick up my ganja and go shred some more and do it again.
[01:23:33.340 --> 01:23:34.340]  Right.
[01:23:34.340 --> 01:23:36.340]  And that's what we used to do, like barter fairs.
[01:23:36.340 --> 01:23:48.340]  So like in the late 80s and early 90s, when we started like kind of coming into the world and like experiencing psychedelics and doing the whole thing, like barter fairs were really cool.
[01:23:48.340 --> 01:23:53.340]  And the Trinity tribal stomp and hay fork in Trinity was really amazing.
[01:23:53.340 --> 01:23:57.340]  Can you break into what, what, what that is a little bit more?
[01:23:57.340 --> 01:23:58.340]  Big love Trinity.
[01:23:58.340 --> 01:23:59.340]  Marcus's daughter's name Trinity.
[01:23:59.340 --> 01:24:00.340]  Big love Trinity.
[01:24:00.340 --> 01:24:04.340]  A barter, a barter sesh, do you call it?
[01:24:04.340 --> 01:24:05.340]  A barter fair.
[01:24:05.340 --> 01:24:06.340]  A barter fair.
[01:24:06.340 --> 01:24:07.340]  I'm not familiar with that term.
[01:24:07.340 --> 01:24:08.340]  Okay.
[01:24:08.340 --> 01:24:13.340]  So, well, rainbow gatherings obviously are awesome and have been happening forever.
[01:24:14.340 --> 01:24:18.340]  And they're like a mid summer, like 4th of July type, you know, thing.
[01:24:18.340 --> 01:24:24.340]  And they're really special and it's no money and it's everyone sharing everything.
[01:24:25.340 --> 01:24:29.340]  And that was like a really important family, the rainbow family forever.
[01:24:29.340 --> 01:24:44.340]  And herbalism and just self-reliance and the first solar and all of the recycling, like really all the most progressive hippie type stuff was like rainbow family and Grateful Dead family.
[01:24:45.340 --> 01:24:49.340]  And whether or not you like Grateful Dead music, the movement was undeniable.
[01:24:49.340 --> 01:25:03.340]  And when you are coming out of like, if you were 16 years old or just coming out of high school and you went to a Grateful Dead show, it was about what was happening in the parking lot and everywhere around the show and the whole entire community that surrounded it.
[01:25:03.340 --> 01:25:07.340]  So, the Dead show was the open market.
[01:25:07.340 --> 01:25:09.340]  And so when people say, oh, I was on tour.
[01:25:09.340 --> 01:25:11.340]  Well, the dead never played the same show.
[01:25:11.340 --> 01:25:12.340]  Right.
[01:25:12.340 --> 01:25:14.340]  They just played a different show, different set list.
[01:25:14.340 --> 01:25:21.340]  So it was interesting always to see the show and everyone writes down the set list and then you trade tapes for free or weren't allowed to sell them.
[01:25:21.340 --> 01:25:22.340]  That was sweet.
[01:25:22.340 --> 01:25:23.340]  Yeah.
[01:25:23.340 --> 01:25:36.340]  And then in the parking lot, you're having this whole like unraveling experience of like what a person is supposed to be, what society is, what we've been given in education, what we've been given in products.
[01:25:37.340 --> 01:25:41.340]  And then you see this whole society of people making their own stuff.
[01:25:41.340 --> 01:26:03.340]  They're makers, they make things, they make their own clothes, we make our own clothes, our own medicine, you know, we're wanting things in our kitchen that don't resonate, bad chemicals, you know, we want to learn about preserving food, we want to trade salsa and seeds and fire ciders and things that we've made throughout the year, right?
[01:26:03.340 --> 01:26:09.340]  From our garden, it's different than the other person's garden, which has different information and different healing properties.
[01:26:09.340 --> 01:26:14.340]  So the Grateful Dead lot was that maker's lot that went everywhere.
[01:26:14.340 --> 01:26:17.340]  And you could go to a different city, three shows at a time.
[01:26:17.340 --> 01:26:21.340]  You go to 16 shows and see like two shows repeated.
[01:26:21.340 --> 01:26:23.340]  That's amazing on a music level.
[01:26:23.340 --> 01:26:24.340]  That's amazing.
[01:26:24.340 --> 01:26:29.340]  And then in the parking lot, like you met all these crazy characters and there was no Internet.
[01:26:29.340 --> 01:26:31.340]  So there was no cell phones.
[01:26:31.340 --> 01:26:33.340]  We didn't have cell phones or Internet at the time.
[01:26:33.340 --> 01:26:36.340]  So it's meet me at the disco bus.
[01:26:36.340 --> 01:26:42.340]  So did you get to hang out with Bob Snodgrass and the Glassblowers?
[01:26:42.340 --> 01:26:44.340]  Was that at the same general time?
[01:26:44.340 --> 01:26:45.340]  We did.
[01:26:45.340 --> 01:26:46.340]  We did.
[01:26:46.340 --> 01:27:00.340]  So Bob Snodgrass' grandfather, Bob and Marie, moved to Eugene in the late 80s and in the early 90s and became like Eugene family Glassblowers, right?
[01:27:00.340 --> 01:27:14.340]  And Bob Snodgrass was so amazing because he learned how to fuse, in a semi-accident, learned how to fuse silver and gold into the glass.
[01:27:14.340 --> 01:27:17.340]  And the glass changed colors.
[01:27:17.340 --> 01:27:24.340]  Anyway, and then he's like, oh my God, I could have like just saved this secret and just made a million dollars and no one would know how to do it.
[01:27:24.340 --> 01:27:29.340]  But instead, like spirit of Grateful Dead, spirit of Barter Fair, share everything.
[01:27:29.340 --> 01:27:31.340]  He's like, I'm just going to teach everyone how to do this.
[01:27:31.340 --> 01:27:41.340]  So he became like the godfather of glassblowing because he was so open to teaching everyone like Jerry Garcia and just that style of person, you know?
[01:27:41.340 --> 01:27:46.340]  So, you know, we got into Eugene in the early 90s too.
[01:27:46.340 --> 01:27:50.340]  And we were just more into herbalism and gathering mushrooms.
[01:27:50.340 --> 01:27:54.340]  Like obviously Bob loves mushrooms, Bob and Marie, the whole entire Snodgrass family.
[01:27:55.340 --> 01:27:59.340]  So, you know, then midwifery starts happening.
[01:27:59.340 --> 01:28:02.340]  So Bob's son is also Bob Snodgrass, right?
[01:28:02.340 --> 01:28:04.340]  There's Bobby and Meredith.
[01:28:04.340 --> 01:28:08.340]  Bobby and Meredith with Snodgrass family genetics in Southern Oregon.
[01:28:08.340 --> 01:28:12.340]  And then they have two kids as well, Sierra and Bobby.
[01:28:12.340 --> 01:28:15.340]  So Bobby and Meredith's kids are Sierra and Bobby.
[01:28:15.340 --> 01:28:17.340]  Sierra's together with our son, Sky.
[01:28:17.340 --> 01:28:19.340]  Oh, wow.
[01:28:19.340 --> 01:28:23.340]  Yeah. So Sky and Sierra are together and they just had their first child.
[01:28:23.340 --> 01:28:25.340]  Oh, COVID baby.
[01:28:25.340 --> 01:28:28.340]  On our property, home birth, natural.
[01:28:28.340 --> 01:28:30.340]  Kelly is midwife.
[01:28:30.340 --> 01:28:33.340]  I had one of those. It's a really fucked up story.
[01:28:33.340 --> 01:28:37.340]  Oh, shit. Well, you know what? That means that there's healing possible.
[01:28:37.340 --> 01:28:38.340]  Oh, yeah, man.
[01:28:38.340 --> 01:28:42.340]  We had my firstborn was a huge surprise.
[01:28:42.340 --> 01:28:48.340]  So I was on my way home from work one day and my wife, I sent you a photo.
[01:28:48.340 --> 01:28:53.340]  She's like a petite, 120 pounds on the regular, like just little.
[01:28:53.340 --> 01:28:55.340]  And she was very little at that point in time.
[01:28:55.340 --> 01:28:57.340]  And we had no idea that she was pregnant.
[01:28:57.340 --> 01:29:00.340]  I'm at work and she's gone home early because she didn't feel well.
[01:29:00.340 --> 01:29:03.340]  I get a phone call while I'm on my way home from work.
[01:29:03.340 --> 01:29:06.340]  And she's like, I don't know what's wrong.
[01:29:06.340 --> 01:29:07.340]  She's like that big around.
[01:29:07.340 --> 01:29:10.340]  Like, I don't know what's wrong. I'm in horrendous pain.
[01:29:10.340 --> 01:29:13.340]  I need you to get me to the hospital now. I need to go.
[01:29:13.340 --> 01:29:15.340]  So I like, okay, book it.
[01:29:15.340 --> 01:29:17.340]  I'm going to get home in a hospital.
[01:29:17.340 --> 01:29:21.340]  I'm the executive chef of Black and Blue downtown Vancouver at the time.
[01:29:21.340 --> 01:29:22.340]  I'm running a restaurant.
[01:29:22.340 --> 01:29:26.340]  She's a hostess, you know, so I run home.
[01:29:26.340 --> 01:29:27.340]  I run up the stairs.
[01:29:27.340 --> 01:29:30.340]  I go up because the elevator is taking too long.
[01:29:30.340 --> 01:29:31.340]  And I roll in.
[01:29:31.340 --> 01:29:33.340]  We have a 500 square foot apartment in downtown Vancouver.
[01:29:33.340 --> 01:29:38.340]  And lo and behold, I walk in and I turn to my left and look down.
[01:29:38.340 --> 01:29:45.340]  And in my bathroom, she is on her knees holding our firstborn child that she had just given birth to by herself.
[01:29:45.340 --> 01:29:46.340]  That's sweet.
[01:29:46.340 --> 01:29:47.340]  That's a bathroom.
[01:29:47.340 --> 01:29:48.340]  I mean, was it?
[01:29:48.340 --> 01:29:50.340]  It was beautiful.
[01:29:50.340 --> 01:29:51.340]  She had the birth.
[01:29:51.340 --> 01:29:55.340]  That's the whole entire goal of having a baby.
[01:29:55.340 --> 01:29:56.340]  Yeah, exactly.
[01:29:56.340 --> 01:29:58.340]  Well, we didn't know.
[01:29:58.340 --> 01:29:59.340]  We had no plans.
[01:29:59.340 --> 01:30:02.340]  She didn't even know we should have pregnant when she was giving birth.
[01:30:02.340 --> 01:30:03.340]  Was it early?
[01:30:03.340 --> 01:30:04.340]  Yes, very.
[01:30:04.340 --> 01:30:06.340]  So she was born at about three pounds.
[01:30:06.340 --> 01:30:07.340]  Oh, yeah.
[01:30:07.340 --> 01:30:08.340]  Quite tiny.
[01:30:08.340 --> 01:30:10.340]  Looked like a little old man.
[01:30:10.340 --> 01:30:11.340]  I mean, just absolutely adorable.
[01:30:11.340 --> 01:30:12.340]  For real.
[01:30:12.340 --> 01:30:18.340]  But I remember I looked down and I'm like, I got to like, my mind instantly goes, I got to try and like make this situation easier.
[01:30:18.340 --> 01:30:19.340]  Like this is fucking challenging.
[01:30:19.340 --> 01:30:22.340]  She wouldn't breastfeed or anything right away because she was too small.
[01:30:22.340 --> 01:30:23.340]  Right?
[01:30:23.340 --> 01:30:24.340]  Right.
[01:30:24.340 --> 01:30:25.340]  We're breastfeeding.
[01:30:25.340 --> 01:30:26.340]  We're on our second child now.
[01:30:26.340 --> 01:30:27.340]  Yeah, of course.
[01:30:27.340 --> 01:30:28.340]  Which is great.
[01:30:28.340 --> 01:30:29.340]  Yeah.
[01:30:29.340 --> 01:30:30.340]  It was this shocking moment.
[01:30:30.340 --> 01:30:38.340]  And I'm like, I get down and I'm like, my wife and the daughter that she's holding there, they're just starting to clap.
[01:30:38.340 --> 01:30:40.340]  Like I can see like she's been through hell.
[01:30:40.340 --> 01:30:41.340]  I'm like, I got to scoop them up.
[01:30:41.340 --> 01:30:42.340]  I got a call, 911.
[01:30:42.340 --> 01:30:47.340]  I'm on the phone with them waiting for the ambulance to arrive to figure out what the fuck we're going to do.
[01:30:47.340 --> 01:30:48.340]  And I look down there.
[01:30:48.340 --> 01:30:52.340]  I'm like, I got to like fix like at least make pop some humor or something like this is stressful.
[01:30:52.340 --> 01:30:53.340]  I need to joke.
[01:30:53.340 --> 01:30:56.340]  I'm a terrible human being sometimes when it comes to that.
[01:30:56.340 --> 01:30:57.340]  But my wife loves it.
[01:30:57.340 --> 01:30:58.340]  So it's great.
[01:30:58.340 --> 01:31:01.340]  So I look down at the baby and I look up at her and I look down at the baby and I go, shit.
[01:31:01.340 --> 01:31:03.340]  She goes, oh my God, what's wrong?
[01:31:03.340 --> 01:31:05.340]  I said, oh, it's a girl.
[01:31:05.340 --> 01:31:07.340]  And just to, you know, get a child.
[01:31:07.340 --> 01:31:08.340]  Because you're terrible.
[01:31:08.340 --> 01:31:09.340]  You said that already.
[01:31:09.340 --> 01:31:10.340]  I'm a terrible human being.
[01:31:10.340 --> 01:31:12.340]  I was absolutely horrendous.
[01:31:12.340 --> 01:31:14.340]  And I just, I needed to deal with the situation.
[01:31:14.340 --> 01:31:18.340]  But everybody, everybody in those circumstances does something different.
[01:31:18.340 --> 01:31:19.340]  Most definitely.
[01:31:19.340 --> 01:31:20.340]  Yeah.
[01:31:20.340 --> 01:31:21.340]  There's something.
[01:31:21.340 --> 01:31:22.340]  I'm glad I did something.
[01:31:22.340 --> 01:31:23.340]  The greatest.
[01:31:23.340 --> 01:31:24.340]  Yeah.
[01:31:24.340 --> 01:31:26.340]  It was a long period of time in between.
[01:31:26.340 --> 01:31:27.340]  That's a really big deal.
[01:31:27.340 --> 01:31:28.340]  Yeah.
[01:31:28.340 --> 01:31:32.340]  And you didn't have like a midwife or a community around you of support at the time.
[01:31:32.340 --> 01:31:33.340]  Yeah, exactly.
[01:31:33.340 --> 01:31:34.340]  No clue.
[01:31:34.340 --> 01:31:35.340]  No clue.
[01:31:35.340 --> 01:31:36.340]  That's a really trip.
[01:31:36.340 --> 01:31:37.340]  That's another thing too.
[01:31:37.340 --> 01:31:41.340]  Like not all women are totally in tune with their body.
[01:31:41.340 --> 01:31:43.340]  And that's, I wasn't either.
[01:31:43.340 --> 01:31:44.340]  Men too.
[01:31:44.340 --> 01:31:47.340]  Men are not, obviously not in tune with their body.
[01:31:47.340 --> 01:31:50.340]  And no, we use it as a tool.
[01:31:50.340 --> 01:31:53.340]  It's something that can be used to do things.
[01:31:53.340 --> 01:31:55.340]  Oh, thanks.
[01:31:55.340 --> 01:31:56.340]  Oh.
[01:32:07.340 --> 01:32:11.340]  I think we're getting pretty close to having to pack up though.
[01:32:11.340 --> 01:32:14.340]  We're getting pretty close to the end time there.
[01:32:14.340 --> 01:32:16.340]  Love you family.
[01:32:16.340 --> 01:32:54.560]  Oh my God.
[01:32:54.560 --> 01:32:55.560]  It's Santa Claus again.
[01:32:55.560 --> 01:32:59.560]  Hi sweetie.
[01:32:59.560 --> 01:33:06.560]  No, not me.
[01:33:07.560 --> 01:33:10.560]  Can I hold this?
[01:33:10.560 --> 01:33:11.560]  Yeah, you hold that.
[01:33:11.560 --> 01:33:13.560]  A lot of it you don't want to process.
[01:33:13.560 --> 01:33:15.560]  You just take the best part of it.
[01:33:15.560 --> 01:33:17.560]  It's the truth.
[01:33:17.560 --> 01:33:19.560]  Good show, London.
[01:33:19.560 --> 01:33:20.560]  Good show.
[01:33:20.560 --> 01:33:21.560]  Yeah, brother.
[01:33:21.560 --> 01:33:22.560]  That was great.
[01:33:22.560 --> 01:33:25.560]  I can't hear you, London.
[01:33:25.560 --> 01:33:33.520]  I have a question for them.
[01:33:33.520 --> 01:33:34.520]  Okay.
[01:33:34.520 --> 01:33:35.520]  What's your question?
[01:33:35.520 --> 01:33:37.520]  Just tell them to stop talking.
[01:33:37.520 --> 01:33:39.520]  Yeah, no one's talking.
[01:33:39.520 --> 01:33:41.520]  No one's talking.
[01:33:41.520 --> 01:33:44.520]  Do you hear anyone talking?
[01:33:44.520 --> 01:33:48.520]  They're all looking at you waiting for you to say whatever you're going to say.
[01:33:48.520 --> 01:33:51.520]  You want to show them your science kit?
[01:33:51.520 --> 01:33:52.520]  I'll hold this.
[01:33:52.520 --> 01:33:53.520]  You tell everyone what it is.
[01:33:53.520 --> 01:33:56.520]  So I got a new science kit.
[01:33:56.520 --> 01:34:00.520]  It is so rainbow-y.
[01:34:00.520 --> 01:34:02.520]  It's really rainbow.
[01:34:02.520 --> 01:34:03.520]  Beautiful.
[01:34:03.520 --> 01:34:05.520]  Heck yeah.
[01:34:05.520 --> 01:34:06.520]  And who else is rainbow?
[01:34:06.520 --> 01:34:08.520]  You want to stand up here?
[01:34:09.520 --> 01:34:10.520]  Stand up.
[01:34:10.520 --> 01:34:13.520]  You know who else is rainbow?
[01:34:13.520 --> 01:34:14.520]  Me.
[01:34:14.520 --> 01:34:16.520]  Oh, you're a rainbow.
[01:34:16.520 --> 01:34:17.520]  Girl.
[01:34:17.520 --> 01:34:21.980]  Rainbow.
[01:34:21.980 --> 01:34:25.980]  I may or may not have just come home from gymnastics.
[01:34:25.980 --> 01:34:28.980]  You can't hear you, London.
[01:34:28.980 --> 01:34:29.980]  Me.
[01:34:29.980 --> 01:34:30.980]  I'm a rainbow.
[01:34:30.980 --> 01:34:33.980]  You guys are rainbow.
[01:34:33.980 --> 01:34:34.980]  Hello, everyone.
[01:34:34.980 --> 01:34:37.980]  And I am a rainbow.
[01:34:37.980 --> 01:34:39.980]  Valentina's not done with you guys.
[01:34:39.980 --> 01:34:40.980]  She has more to say.
[01:34:40.980 --> 01:34:41.980]  Okay.
[01:34:41.980 --> 01:34:42.980]  Where are you going?
[01:34:42.980 --> 01:34:46.980]  I have a rainbow today.
[01:34:46.980 --> 01:34:48.980]  I'm wearing a rainbow suit today.
[01:34:48.980 --> 01:34:57.980]  And Peter and Baby Guy have more to say.
[01:34:57.980 --> 01:34:59.980]  And I just said that.
[01:35:02.980 --> 01:35:04.980]  Do you know that Ken's a really good listener?
[01:35:05.980 --> 01:35:08.980]  And he would love to listen to you talk for a good hour or so.
[01:35:08.980 --> 01:35:12.980]  Do you think you have an hour of pure monologue in you?
[01:35:12.980 --> 01:35:14.980]  Who, who, who, what do you say?
[01:35:14.980 --> 01:35:15.980]  Who's Ken?
[01:35:15.980 --> 01:35:16.980]  That's Ken.
[01:35:16.980 --> 01:35:17.980]  Well, sorry, not Ken.
[01:35:17.980 --> 01:35:18.980]  Santa Claus.
[01:35:18.980 --> 01:35:20.980]  Hello.
[01:35:20.980 --> 01:35:22.980]  I love that rainbow outfit.
[01:35:22.980 --> 01:35:24.980]  It's beautiful.
[01:35:24.980 --> 01:35:25.980]  Yeah.
[01:35:25.980 --> 01:35:27.980]  So what kind of, do you do somersaults in that?
[01:35:27.980 --> 01:35:30.980]  I did somersaults.
[01:35:30.980 --> 01:35:31.980]  You did?
[01:35:31.980 --> 01:35:32.980]  Wow.
[01:35:33.980 --> 01:35:35.980]  You are big on the somersaults.
[01:35:35.980 --> 01:35:41.980]  Actually, I am a somersault expert.
[01:35:41.980 --> 01:35:42.980]  You are.
[01:35:42.980 --> 01:35:43.980]  Oh, I love it.
[01:35:43.980 --> 01:35:47.980]  You are an expert in the art of the somersault.
[01:35:47.980 --> 01:35:50.980]  Yeah, Gemma's an expert at.
[01:35:50.980 --> 01:35:51.980]  Cartwheels.
[01:35:51.980 --> 01:35:53.980]  Yeah, and handstands.
[01:35:53.980 --> 01:35:54.980]  And handstands, yeah.
[01:35:54.980 --> 01:35:55.980]  Yes.
[01:35:55.980 --> 01:35:57.980]  And you are an expert in somersaults.
[01:35:57.980 --> 01:35:59.980]  Well, I did handstand at my dad's somersault.
[01:35:59.980 --> 01:36:01.980]  Yeah, we still don't hear you.
[01:36:01.980 --> 01:36:02.980]  Oh, you're muted.
[01:36:02.980 --> 01:36:04.980]  Unmute yourself, that's why.
[01:36:04.980 --> 01:36:06.980]  Who is muted?
[01:36:06.980 --> 01:36:08.980]  I know, we don't hear you anyway.
[01:36:08.980 --> 01:36:10.980]  Who's mute?
[01:36:10.980 --> 01:36:13.980]  I can hear background, but we can't hear your clear voice.
[01:36:13.980 --> 01:36:15.980]  What about, what about now?
[01:36:15.980 --> 01:36:16.980]  What about now, guys?
[01:36:16.980 --> 01:36:17.980]  Can you hear me now?
[01:36:17.980 --> 01:36:18.980]  Yeah, I can hear you now.
[01:36:18.980 --> 01:36:20.980]  ASMR.
[01:36:20.980 --> 01:36:22.980]  Hi, guys.
[01:36:22.980 --> 01:36:24.980]  Can you hear me nicely, very closely right now?
[01:36:24.980 --> 01:36:25.980]  Ba-ba.
[01:36:25.980 --> 01:36:26.980]  Ba-ba.
[01:36:26.980 --> 01:36:28.980]  Can you hear me?
[01:36:28.980 --> 01:36:29.980]  Baby Ken.
[01:36:29.980 --> 01:36:31.980]  I can hear you.
[01:36:31.980 --> 01:36:33.980]  Have you been listening to Valentina?
[01:36:33.980 --> 01:36:35.980]  Yes, I have.
[01:36:35.980 --> 01:36:37.980]  I've been able to hear it the whole time.
[01:36:37.980 --> 01:36:39.980]  Can you guys hear me all right now?
[01:36:39.980 --> 01:36:40.980]  We can hear you.
[01:36:40.980 --> 01:36:41.980]  Can you hear him?
[01:36:41.980 --> 01:36:42.980]  Yeah.
[01:36:42.980 --> 01:36:43.980]  Awesome.
[01:36:43.980 --> 01:36:51.980]  So, we got to slowly start packing this up, because there's a lot of stuff here, and we have to be out at a certain time out of this specific position.
[01:36:52.980 --> 01:37:04.980]  So, we're going to wind it down and finish off today, and maybe do some, we'll see if we have a couple, if I can carve out a small spot a little bit later to do another one, but we'll play it a little bit by ear and see kind of what happens.
[01:37:04.980 --> 01:37:05.980]  Did you guys like the show?
[01:37:05.980 --> 01:37:06.980]  What did you think?
[01:37:06.980 --> 01:37:07.980]  We did.
[01:37:07.980 --> 01:37:08.980]  So, should we shut it down?
[01:37:08.980 --> 01:37:15.980]  Yeah, I think we'll shut it down for now, and I'll kind of pop back in in a little bit, if we can.
[01:37:15.980 --> 01:37:17.980]  I'll show you guys a message if there's a possibility.
[01:37:17.980 --> 01:37:20.980]  Sounds good.
[01:37:21.980 --> 01:37:25.980]  I can't thank you guys enough for your support during the last three days.
[01:37:25.980 --> 01:37:36.980]  If we don't have a stream a little bit later, you guys made this happen, and I cannot thank you all enough for your time and help and support in doing this, and everybody that's been listening to it has been awesome.
[01:37:36.980 --> 01:37:37.980]  Thank you guys.
[01:37:37.980 --> 01:37:39.980]  You guys rock.
[01:37:39.980 --> 01:37:42.980]  This is the first time we met, Ken, and you just roll up and help me the fuck out.
[01:37:42.980 --> 01:37:43.980]  I fucking love it.
[01:37:43.980 --> 01:37:44.980]  You're awesome.
[01:37:44.980 --> 01:37:47.980]  I got to send you a couple packs of seeds for sure.
[01:37:48.980 --> 01:37:50.980]  Halfway, buddy, is Blue River.
[01:37:50.980 --> 01:37:52.980]  Blue River.
[01:37:52.980 --> 01:37:53.980]  There we go.
[01:37:53.980 --> 01:37:59.980]  That's where we're doing the BCFCFFCP barbecue.
[01:37:59.980 --> 01:38:00.980]  Is that what's happening?
[01:38:00.980 --> 01:38:06.980]  We'll go Blue River and then go over to Dragonfly Earth Medicine and have a big old barbecue.
[01:38:06.980 --> 01:38:10.980]  They're a little bit south of Blue River by like eight or nine hours.
[01:38:12.980 --> 01:38:14.980]  Well, you're up north in Calgary.
[01:38:15.980 --> 01:38:19.980]  I totally lost a whole jar of weed last night.
[01:38:19.980 --> 01:38:27.980]  Like a good ounce and a half of weed is just traveling around somewhere in this conference right now.
[01:38:27.980 --> 01:38:29.980]  Don't be sitting here doing it, though.
[01:38:29.980 --> 01:38:30.980]  I'm telling you.
[01:38:30.980 --> 01:38:31.980]  Shut up.
[01:38:31.980 --> 01:38:32.980]  What?
[01:38:32.980 --> 01:38:36.980]  I'm pumped because it's full of seeds, so at least I got seeded weed.
[01:38:36.980 --> 01:38:38.980]  Yeah, I don't doubt it.
[01:38:38.980 --> 01:38:40.980]  It's beautiful.
[01:38:40.980 --> 01:38:41.980]  Thanks again, everybody.
[01:38:41.980 --> 01:38:46.980]  I appreciate you all, and I am going to be out of here and end the broadcast right now.
[01:38:46.980 --> 01:38:50.980]  Thanks again, and again, this is London at the BC Craft Cannabis Conference.
[01:38:50.980 --> 01:38:51.980]  Bye, guys.
[01:38:51.980 --> 01:38:52.980]  Bye, Canadians.
[01:38:52.980 --> 01:38:53.980]  Bye.
[01:38:53.980 --> 01:38:55.980]  We salute you.
