[00:00.570 --> 00:02.570]  And we are live.
[30:21.700 --> 30:41.700]  And the grows and growers that we consult with are able to save a lot of money, and a lot of them have been able to take their grows from being on the edge of competing, the edge of maybe failure, and suddenly are now quite profitable and very hard to compete with by their competitors.
[30:41.700 --> 30:48.700]  And so that's why I think this is the future, not just for the health, not for the terpenes.
[30:48.700 --> 30:54.700]  That's the other thing that's going to go through the roof as you get this fully mineralized profile.
[30:54.700 --> 31:09.700]  And what's fascinating about that is Albrecht figured that out by watching livestock who've been in a field where the animals have been consuming the same grass over and over.
[31:10.700 --> 31:14.700]  And in a place like Oklahoma or Ohio, you can grow grass.
[31:14.700 --> 31:17.700]  You can grow it really great, and you can grow it with nitrates.
[31:17.700 --> 31:19.700]  You can grow it with not much.
[31:19.700 --> 31:27.700]  But after a number of harvests of livestock off a field, those minerals are going to be depleted.
[31:27.700 --> 31:33.700]  And he wanted to know, why do the cows, why do the pigs want the grass on the other side of the fence?
[31:33.700 --> 31:35.700]  And it's the classic, the grass is greener.
[31:35.700 --> 31:48.700]  I believe this is actually where this saying came from, is that he would have cows break through a fence in a field that has four-foot-tall grass because they want to eat the grass on the other side of the fence that's fully mineralized.
[31:48.700 --> 31:52.700]  And it's one of the things we see in vegetables in the store.
[31:52.700 --> 32:09.700]  If you analyze the mineral content of a normal vegetable, it's significantly lower, like several times lower than an organically grown vegetable, and then in particular an organically grown vegetable that's in fully mineralized soil.
[32:10.700 --> 32:13.700]  And so the same exact thing happens in cannabis.
[32:13.700 --> 32:26.700]  Without those minerals, the mechanisms that the plant evolved with to produce those terpenes don't have the raw ingredients that they need, and you just won't get the flavor out of it.
[32:26.700 --> 32:43.700]  And time and time again, I have salt guys who switch to us, and even if they want to keep running their salts on top, which I don't recommend, but I've got some of them that do it, and they'll immediately, their next harvest, they'll say, we've never had this flavor, never, ever, ever.
[32:43.700 --> 32:47.700]  And if they would just go all the way organic, they'd have even more flavor.
[32:48.700 --> 32:57.700]  And so it's something I really believe about passionately, not only because we want better wheat, but also because we want to be healthy.
[32:57.700 --> 33:03.700]  We want to be healthy in the medicine that we create for our customers.
[33:03.700 --> 33:10.700]  And so these are some of the base principles of what we do.
[33:11.700 --> 33:19.700]  And then the cool thing about the minerals is that the minerals won't make it to the plant on their own.
[33:19.700 --> 33:22.700]  Like, there's a whole stage in between.
[33:22.700 --> 33:29.700]  Most of these minerals come in an insoluble form and in a form that the plant can't utilize.
[33:30.700 --> 33:41.700]  And you need these soil organisms, whether they're bacterial, fungal, microarthropods, you need them to be your little chemical factories and bioprocess them.
[33:41.700 --> 33:57.700]  And yeah, I knew a compost microbe could break down organic matter and turn it into something else, but it didn't hit me until I was doing it professionally that these microbes are literally a chemical factory.
[33:58.700 --> 34:09.700]  They're anaerobic organisms they found in certain non-good compost.
[34:09.700 --> 34:21.700]  If you let a compost go anaerobic, no air to it, these microbes can actually generate toluene and xylene, and those same microbes can break it back down again in the same process.
[34:21.700 --> 34:26.700]  That's how crazy they are of their ability to process things.
[34:26.700 --> 34:33.700]  And it's why in composting, composting is a great way to clean up toxins.
[34:33.700 --> 34:36.700]  Now, are there chemicals they can't break down? Sure.
[34:36.700 --> 34:48.700]  Persistent herbicides are the main class of chemicals that these, even these advanced soil microbes just can't step up to the level and crack that bond.
[34:49.700 --> 35:00.700]  But other than herbicides, pretty much the compost microbes can break down any toxic chemical and bio-convert them into a safe base substance.
[35:00.700 --> 35:12.700]  Now, that doesn't mean you should go use the worst waste you can as your compost feedstock, but it does mean you can feel really safe with most well-made compost out there.
[35:12.700 --> 35:19.700]  That if there was any chemical present in that to begin with, it's gone and it's turned into something totally different.
[35:19.700 --> 35:21.700]  And so that's really magic.
[35:21.700 --> 35:32.700]  And as important as bacteria are, and most compost are made with a method that makes them bacterially dominant.
[35:33.700 --> 35:41.700]  I don't know how many of y'all have seen how compost is made, but the most traditional tool is called a windrow turner.
[35:41.700 --> 35:49.700]  And it's a giant auger machine, and somebody runs this machine through the pile, and that brings air back into the pile.
[35:49.700 --> 35:56.700]  And that's one of the tricks in making compost, is you have to get air into the pile pretty much every eight hours.
[35:56.700 --> 36:00.700]  And so you run the machine, you run the machine, and bacteria don't care.
[36:00.700 --> 36:06.700]  They're really strong and resilient, and they can get beat up and flourish fine.
[36:06.700 --> 36:09.700]  Fungal organisms are a different story.
[36:09.700 --> 36:12.700]  Anything like a mushroom is really delicate.
[36:12.700 --> 36:16.700]  It has a spore, that's what is its seed, essentially.
[36:16.700 --> 36:18.700]  It has mycelium.
[36:18.700 --> 36:20.700]  The mycelium is made from hyphae.
[36:20.700 --> 36:23.700]  And all of that is delicate.
[36:23.700 --> 36:30.700]  So this windrow turner actually selects for a bacterial compost and destroys the fungal organisms.
[36:30.700 --> 36:41.700]  And if you want to make a compost with fungal organisms, you have to pretty much double the amount of time and effort that you put into culturing those specific organisms.
[36:41.700 --> 36:44.700]  And that's not even starting with mycorrhizae.
[36:45.700 --> 36:54.700]  And that's one of the big things that in the fungal organisms I see as a misunderstanding, is people thinking, oh, I'm going to make a mycorrhizae tea.
[36:54.700 --> 36:56.700]  I'm getting mycorrhizae from here.
[36:56.700 --> 37:00.700]  That white mycelium I see is mycorrhizae.
[37:00.700 --> 37:02.700]  No, none of that's true.
[37:02.700 --> 37:07.700]  You cannot have a mycorrhizae unless it grows on a root.
[37:07.700 --> 37:10.700]  Like if you put it in first, it's not going to grow.
[37:10.700 --> 37:15.700]  If you make a tea with it, you're going to kill it, and it's not going to grow.
[37:15.700 --> 37:22.700]  Mycorrhizae, arbuscular mycorrhizae in particular, is what they call endoscopic.
[37:22.700 --> 37:31.700]  And it's an organism that has an evolution with plants that can work with it, once again, of millions of years.
[37:32.700 --> 37:40.700]  And what it means that it's endoscopic is that the mycelium actually penetrates the cell wall of the plant's roots.
[37:40.700 --> 37:50.700]  And you would think and look at it almost like an infection of a pathogen, yet it's done in a symbiotic, friendly way.
[37:50.700 --> 37:53.700]  And the plant says, hey, you can do a ton for me.
[37:53.700 --> 37:58.700]  You can go out and reach out into the soil way further than my roots can.
[37:58.700 --> 38:06.700]  And you can use this advanced chemistry to break down these minerals and bring them back directly into the cell wall.
[38:06.700 --> 38:13.700]  And tell you what, that helps me out so much, I'll give you some sugar to grow more mycorrhizae in exchange.
[38:13.700 --> 38:16.700]  And it's an amazing symbiotic relationship.
[38:16.700 --> 38:23.700]  And phosphorus is the trigger that the plant uses.
[38:23.700 --> 38:27.700]  And if the mycorrhizae was in control, once again, it'd be kind of like the salts.
[38:27.700 --> 38:31.700]  The mycorrhizae would overload the plant with food.
[38:31.700 --> 38:38.700]  But instead, the plant controls the relationship through those sugar exudates out from the roots.
[38:38.700 --> 38:43.700]  And it tells the mycorrhizae, hey, I need more phosphorus, here's more sugar.
[38:43.700 --> 38:46.700]  And the mycorrhizae brings that back in.
[38:47.700 --> 38:58.700]  And that's just one of the thousands and thousands of relationships in a living organic soil system that happen on a second-by-second basis.
[38:58.700 --> 39:03.700]  So, how much time do we have, Brandon?
[39:03.700 --> 39:05.700]  We've got a few minutes for Q&A.
[39:05.700 --> 39:07.700]  Yep, okay, great.
[39:07.700 --> 39:08.700]  So I'm going to wrap up.
[39:08.700 --> 39:11.700]  That's a little bit about what I think about living organic soil.
[39:11.700 --> 39:14.700]  If you all have any questions.
[39:15.700 --> 39:17.700]  Yep, fire away.
[39:17.700 --> 39:24.700]  And we've got another microphone here, so grab the mic or Brian can take it to you.
[39:24.700 --> 39:27.700]  And then the folks at home can hear the questions, too.
[39:27.700 --> 39:44.160]  Yeah, go ahead.
[39:44.160 --> 39:47.160]  So I worked at Buffalo in Colorado.
[39:47.160 --> 39:54.160]  One of the biggest issues that we had, we have the things to make soil, but nothing ever seemed to really churn correctly.
[39:54.160 --> 39:58.160]  Were there human beings running those machines?
[39:58.160 --> 40:01.160]  There were human beings running those machines.
[40:01.160 --> 40:11.160]  And so if I sometimes wasn't on my staff, sometimes mistakes were made, or we would have to remake batches, because consistency is obviously key when you're making soil at that level.
