[00:00.250 --> 00:03.890]  All right, take two.
[24:21.650 --> 24:27.170]  But, you know, that's a that's a state agency like you can't you know, you can't really
[24:27.170 --> 24:29.810]  control that. You know, they're going to they're going to be there.
[24:30.130 --> 24:33.970]  It's one of the biggest shows that, you know, one could go to.
[24:33.970 --> 24:37.610]  So naturally, you know, this this agency is going to be there.
[24:37.770 --> 24:40.970]  So it's not really anything I think anybody can control.
[24:41.450 --> 24:43.330]  It's just you're going to have a show there.
[24:43.370 --> 24:46.570]  They're going to be there. They're going to have plainclothes people there.
[24:46.610 --> 24:48.490]  You know, it's like old Grateful Dead shows.
[24:48.930 --> 24:51.570]  You know, Grateful Dead's not inviting the DEA to show up.
[24:51.570 --> 24:57.330]  But these dudes with crispy tie dyes walking through the crowd asking, you know, do you
[24:57.330 --> 25:01.610]  have any marijuana? Would you like to sell or purchase some with some legal tender?
[25:01.890 --> 25:06.450]  You know what I mean? Like it's it's you know, it's just the nature of the beast now.
[25:06.530 --> 25:09.410]  And that's just what what's going to what's going to happen with that thing.
[25:10.570 --> 25:14.690]  OK, because I felt like, you know, are you all we all kind of leaning it towards they were
[25:14.690 --> 25:16.210]  trying to push out the small guy.
[25:16.250 --> 25:18.970]  So that's not the case with Emerald Cutler or is it?
[25:20.330 --> 25:23.290]  I mean, it feels like that agency is trying to push out.
[25:23.290 --> 25:25.890]  OK, yeah, that's kind of floating around.
[25:25.890 --> 25:28.290]  It is. Yeah, I think it was.
[25:28.810 --> 25:32.050]  Yeah. Anyway, that the bag is on point, the whole thing.
[25:32.050 --> 25:34.090]  So whoever did that is quick.
[25:34.090 --> 25:39.810]  And like this doesn't happen just like over a weekend or one instance, like the big guy
[25:39.810 --> 25:45.650]  trying to push the small guy, you know, that's been going on for a while now, you know,
[25:45.650 --> 25:49.970]  like like where I was going back and talking about when they're just trying to push the
[25:49.970 --> 25:55.810]  wreck through, you know, even before that is even coming to to be these guys are going
[25:55.810 --> 25:57.490]  to try to push you, push you out.
[25:58.050 --> 26:00.010]  And that's just that's just the nature of the beast.
[26:00.170 --> 26:02.290]  I think that's just the nature of business in general.
[26:02.650 --> 26:05.130]  Then have to speak with what we do.
[26:05.410 --> 26:07.450]  You know, it could be worth anything.
[26:07.450 --> 26:13.730]  You know, they're always looking to take the lion's share, you know, and fuck it all and
[26:13.730 --> 26:18.010]  take it. So mom and pop and all that shit, they don't give a fuck.
[26:18.010 --> 26:20.250]  You know, it's just it's a number at the end of the day.
[26:20.250 --> 26:21.850]  They're trying to make the most of it.
[26:22.410 --> 26:28.970]  And it's just what it what business is, you know, whether it's this or shit, any anything
[26:28.970 --> 26:31.770]  else, you know, it's just like, look at Wal-Mart.
[26:32.050 --> 26:35.730]  You know what I mean? So that's just the nature of the beast.
[26:35.730 --> 26:37.930]  I think they've been doing it a long time.
[26:38.170 --> 26:43.450]  And this is just one of the many little things that happens over the years.
[26:43.610 --> 26:47.850]  And it'll probably get a whole lot worse before it gets any better.
[26:48.010 --> 26:54.370]  That's for sure. Well, and if he was targeted, I feel like that's, you know, that's kind
[26:54.370 --> 26:59.210]  of there definitely are kind of where Marco is getting like going after this small time,
[26:59.210 --> 27:02.610]  maybe home grower, which which is really sad to see.
[27:02.610 --> 27:10.090]  I mean, isn't that that's that's the backbone of kind of the part that is allowing us to
[27:10.090 --> 27:15.250]  continue and educate and this whole thing become more of a hopefully federally legal
[27:15.930 --> 27:20.490]  aspect. I feel like craft cannabis hopefully will never go away.
[27:20.490 --> 27:24.490]  And if there is enough of a voice and people are continued to be educated on why if they
[27:24.490 --> 27:27.490]  view cannabis as medicine, then it needs to be craft.
[27:27.490 --> 27:28.530]  It needs to be organic.
[27:28.890 --> 27:32.210]  That's something that like I was saying, man, when you when you came back, you were able
[27:32.210 --> 27:33.530]  to speak at Indo Expo.
[27:34.130 --> 27:35.130]  There was a classic.
[27:35.290 --> 27:38.290]  I think it was maybe like an hour, maybe an hour and 15 minutes, man.
[27:38.570 --> 27:43.290]  You're up there with JJ from Top Dog and Adam Dunn, and you guys were chopping it up.
[27:43.530 --> 27:49.250]  And I felt like you were talking to the audience, man, in a way that, you know, maybe in a
[27:49.250 --> 27:51.410]  way, a little disrespect to this individual.
[27:51.410 --> 27:54.090]  But JJ wasn't coming at it the same way.
[27:54.090 --> 27:59.370]  And I've personally seen some things with him where I feel like when you meet individuals
[27:59.370 --> 28:04.090]  that others look up to and then you actually see them in person or something like that,
[28:04.090 --> 28:09.290]  it's hard sometimes to I don't know, to just kind of see like, OK, well, I guess that
[28:09.290 --> 28:11.570]  individual responds to things in this way.
[28:11.570 --> 28:12.850]  And this is how they carry themselves.
[28:13.490 --> 28:17.570]  But when I met you, man, after that, you continue to carry yourself the way that the
[28:17.570 --> 28:19.050]  community talked about you.
[28:19.610 --> 28:23.610]  And when you were up on that stage, you were really talking about how to craft cannabis,
[28:23.610 --> 28:27.170]  how, you know, a lot of that shit out there, especially at the time, I guess, was
[28:27.170 --> 28:29.450]  cranberry juice and yucca extract.
[28:29.970 --> 28:33.810]  And I'd never really heard anybody on a stage talk like that, man.
[28:33.810 --> 28:35.850]  It's always, you know, the Ph.D.
[28:35.850 --> 28:40.770]  type individuals talking about their products or talking over the audience head, it seems
[28:40.770 --> 28:45.010]  like at times on purpose just to make it seem like, you know, you you should use them as a
[28:45.010 --> 28:50.490]  consultant, even though especially at that time, most of the industry wouldn't have
[28:50.890 --> 28:52.650]  really respected that individual.
[28:52.850 --> 28:55.650]  So it seemed like there was a lot of smoke and mirrors and that kind of stuff.
[28:55.650 --> 28:56.850]  And you were coming through with that.
[28:56.850 --> 29:01.290]  So for the newer viewers, I was hoping that you could talk about trichomes because
[29:01.290 --> 29:05.130]  there's so much information out there, especially when people start to find that they
[29:05.130 --> 29:06.770]  want to touch their plants constantly.
[29:06.930 --> 29:11.930]  I know when I was, you know, it's fun to do that kind of stuff, but you were taking it as
[29:11.930 --> 29:13.850]  you're growing medicine, you're taking the time to do that.
[29:13.850 --> 29:15.410]  So I kind of wanted to start there.
[29:15.530 --> 29:19.890]  And then, Marco, let's really get into the growing aspect, because I feel like this is
[29:20.090 --> 29:21.970]  obviously everybody's time is valuable.
[29:21.970 --> 29:27.610]  But picking the brain of Duke Diamond on a level for the newer viewers, I feel like it's
[29:27.610 --> 29:31.170]  going to be extremely beneficial for people that want to try to start to farm cannabis
[29:31.170 --> 29:35.530]  using a living soil, no till, however you want to call it, system, because this gentleman
[29:35.530 --> 29:40.610]  is definitely one of the OG's again, if you will, of just explaining this to the average
[29:40.610 --> 29:45.770]  person so that they could farm cannabis at home with with nothing else.
[29:46.850 --> 29:49.410]  You know, he never expected anything to come back.
[29:52.010 --> 29:58.530]  Yeah, my thing was like, especially on stages and shit like that is like, I'm not trying
[29:58.530 --> 29:59.930]  to sell you anything.
[29:59.930 --> 30:06.050]  It's like I came up taking your time to hear about a topic or hear me talk.
[30:06.090 --> 30:08.290]  Like I'm not trying to sell you anything.
[30:08.290 --> 30:09.810]  I'm just trying to give you information.
[30:09.810 --> 30:13.170]  I just want to want people to be happy, be successful.
[30:13.570 --> 30:18.770]  And I just want people to grow their own and help others.
[30:19.090 --> 30:23.610]  And that type of knowledge, you know, if it keeps spreading and then they pass it on,
[30:23.930 --> 30:26.570]  yeah, makes the world a better place, you know.
[30:27.050 --> 30:32.330]  So as far as like, so we're talking about.
[30:33.530 --> 30:42.770]  All this, all this glandular heads, trichomes, so let me see here, I can sum it up pretty
[30:42.770 --> 30:45.450]  quick, so that's our end goal, right?
[30:45.850 --> 30:55.930]  So the way my approach is to grow and blooming is that my end result is that trichome,
[30:55.930 --> 30:57.650]  that's where that's where the good shit is.
[30:57.970 --> 30:58.650]  So.
[30:59.770 --> 31:05.170]  My thing is, you know, we can focus on biomass first, right?
[31:06.090 --> 31:11.930]  That's that's well and good because the biomass is the landscape that these glands are
[31:11.930 --> 31:12.610]  going to grow on.
[31:13.090 --> 31:19.890]  And then as the time comes, then my focus is going to be more into growing, growing
[31:19.890 --> 31:23.730]  glands on the biomass that I created for that.
[31:24.210 --> 31:31.250]  So a lot of my feeding, it's going to be more more geared that way.
[31:31.530 --> 31:37.530]  So I'm ensuring that I'm getting good, good resin production overall, but flavonoid
[31:37.530 --> 31:39.810]  production and terpenoid production.
[31:39.810 --> 31:45.490]  So smell and flavor are definitely, you know, that's that's that's kind of like my end
[31:45.490 --> 31:52.490]  game. And then harvesting correctly at the proper, proper time, you know, when it's
[31:52.490 --> 31:53.570]  ripe, ready to go.
[31:53.850 --> 31:55.290]  So pumping that watermelon.
[31:56.610 --> 31:57.290]  Yeah. All right.
[31:57.290 --> 31:57.850]  She's good.
[31:59.690 --> 32:04.010]  So getting to that proper time and then after that, you know, that's where most people
[32:04.010 --> 32:05.010]  like, all right, score.
[32:05.050 --> 32:11.050]  I did it. That's you're you're at the halfway point because now we got the dry.
[32:11.570 --> 32:13.650]  Right. And then we're going to have our trim.
