[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[23:37.400 --> 23:38.760]  I don't see that happening.
[23:40.080 --> 23:41.400]  I don't wanna see that happen.
[23:41.400 --> 23:43.080]  So that's part of my bias.
[23:44.640 --> 23:47.720]  I would like to, and I'm not one of those people
[23:47.720 --> 23:49.800]  that thinks that those people can't exist.
[23:49.800 --> 23:54.800]  You got Budweiser's and you got microboobs.
[23:57.000 --> 24:01.800]  And I think that we should be encouraging choice
[24:01.800 --> 24:05.200]  and options and opportunities, not limiting them,
[24:05.200 --> 24:10.200]  not artificially creating oligarchs and monopolies
[24:11.200 --> 24:15.440]  by onerous regulations and huge hurdles.
[24:19.520 --> 24:21.120]  Yeah, that's.
[24:21.120 --> 24:21.960]  All right.
[24:23.280 --> 24:25.920]  Setting the table in Santa Cruz.
[24:25.920 --> 24:28.000]  Why don't we just go around?
[24:28.000 --> 24:30.640]  Dan, you wanna kind of talk about what you've been seeing
[24:30.640 --> 24:33.240]  in Humboldt this season and any thoughts you have
[24:33.240 --> 24:34.080]  and while you're doing it.
[24:34.080 --> 24:36.160]  So I also muted everybody.
[24:36.160 --> 24:38.120]  So when you wanna talk, just unmute yourself.
[24:38.120 --> 24:39.960]  I'm gonna go put Gemma to sleep.
[24:40.880 --> 24:44.280]  She definitely has not followed my instructions
[24:44.280 --> 24:46.200]  of brushing her teeth and getting ready for bed.
[24:46.200 --> 24:50.840]  But Dan, I'm gonna unmute you, take it away
[24:50.840 --> 24:52.680]  and I'll be back in five.
[24:55.960 --> 24:57.560]  Yeah, hey, what's up everybody?
[24:59.520 --> 25:01.320]  Yeah, sorry to hear about that, Bam.
[25:01.320 --> 25:03.080]  You know, that really sucks.
[25:04.000 --> 25:07.160]  I know that you are a person who as a grower
[25:07.160 --> 25:10.280]  and someone in cannabis has really incredible intentions
[25:10.280 --> 25:12.760]  and you are the exact type of person
[25:12.760 --> 25:16.040]  who should be able to be able to obtain licensing,
[25:17.800 --> 25:20.520]  for the benefit of consumers and really everything.
[25:20.520 --> 25:23.560]  Humboldt is a really unique place in that
[25:23.560 --> 25:27.120]  there's so much history and so much culture there.
[25:29.120 --> 25:32.200]  The economic impacts that a place like Santa Cruz
[25:32.200 --> 25:34.920]  has probably felt from growers in the hills,
[25:35.720 --> 25:39.880]  you know, being shut off and having an enforcement.
[25:39.880 --> 25:43.600]  In Humboldt, if that really truly ever happened,
[25:43.600 --> 25:45.480]  there'd be nothing left.
[25:45.480 --> 25:49.560]  And, you know, the politics there is also bullshit.
[25:49.560 --> 25:53.040]  I mean, there's never gonna be anything that's perfect
[25:53.040 --> 25:55.600]  but cannabis is for the people.
[25:55.600 --> 25:58.360]  And when you basically take that control away from us
[25:58.360 --> 26:01.320]  and you put in government regulations,
[26:01.320 --> 26:03.240]  who's creating those regulations?
[26:03.560 --> 26:05.000]  Are you reaching out to the people
[26:05.000 --> 26:07.000]  who are the producers and the consumers?
[26:07.000 --> 26:08.600]  Are you reaching out to the experts
[26:08.600 --> 26:10.040]  or are you getting some slick talk
[26:10.040 --> 26:13.720]  from the fancy consultants and more fucking rich people?
[26:15.200 --> 26:19.400]  So, you know, my experience with legal weed is
[26:19.400 --> 26:22.440]  I thought Prop 64 was a horribly written law.
[26:22.440 --> 26:26.720]  I think in 2010, Prop 19 was even worse.
[26:28.640 --> 26:31.040]  And I would never have encouraged that passing.
[26:31.040 --> 26:33.760]  You know, the 215, it's like,
[26:33.760 --> 26:35.320]  you look at it from both sides.
[26:35.320 --> 26:37.400]  I mean, it was great for opportunity
[26:37.400 --> 26:40.880]  but there was still so much that was really undecided.
[26:40.880 --> 26:45.080]  And, you know, you could talk to judges and legislators
[26:45.080 --> 26:46.960]  in different areas and get different opinions
[26:46.960 --> 26:48.680]  from different attorneys.
[26:48.680 --> 26:52.040]  But anyway, I'm super lit.
[26:52.040 --> 26:54.640]  So excuse me if I'm rambling a little bit, but yeah.
[26:54.640 --> 26:56.080]  Humboldt has so much of a culture
[26:56.080 --> 26:58.400]  and I just knew that I had to find a way
[26:58.400 --> 27:00.040]  to get a license for myself
[27:00.040 --> 27:02.920]  because I really don't know how I would survive
[27:02.920 --> 27:06.440]  if I couldn't do really the only thing that I've ever done.
[27:06.440 --> 27:07.920]  And I fucking worked hard for it.
[27:07.920 --> 27:11.440]  You know, it's like, if you wanna have a career
[27:11.440 --> 27:13.160]  as a doctor or something like that,
[27:13.160 --> 27:14.920]  you gotta take school pretty serious.
[27:14.920 --> 27:16.080]  You gotta do good in school.
[27:16.080 --> 27:17.920]  You gotta get to college, you know,
[27:17.920 --> 27:19.560]  fucking master's degrees.
[27:19.560 --> 27:20.840]  That's a lot of commitment.
[27:20.840 --> 27:23.640]  You know, as a grower, if you put that into it
[27:23.640 --> 27:27.160]  and you're threatened with that having taken away from you,
[27:27.160 --> 27:30.160]  you know, it's devastating to think about.
[27:30.160 --> 27:33.960]  And, you know, my licensing challenges,
[27:33.960 --> 27:36.160]  I could go on and on for days.
[27:36.160 --> 27:37.600]  It's all been very unfortunate,
[27:37.600 --> 27:39.640]  but I've been able to just fight and fight
[27:39.640 --> 27:40.920]  and push through.
[27:40.920 --> 27:43.480]  Humboldt, what they did, it's just unspeakable
[27:43.480 --> 27:46.120]  because anyone who's been up there, you know,
[27:46.120 --> 27:48.920]  in the last seven years, you know,
[27:48.920 --> 27:52.600]  it was really the peak and the epicenter of cultivation
[27:52.600 --> 27:54.600]  in Northern California.
[27:54.600 --> 27:58.200]  And what they started doing
[27:58.200 --> 28:02.320]  is handing out abatement notices, you know, the other year.
[28:02.320 --> 28:03.800]  And, you know, it was bullshit.
[28:03.800 --> 28:07.200]  They were threatening people with $10,000 per day fines.
[28:07.200 --> 28:09.720]  You know, it's just, the problem is
[28:09.720 --> 28:12.200]  they didn't like the transplants and the Green Rush people
[28:12.200 --> 28:14.960]  who came up and were fucking butchering up properties
[28:14.960 --> 28:17.480]  and doing a lot of dozer work and growing a ton of weed
[28:17.480 --> 28:19.280]  and sending it out of state.
[28:19.280 --> 28:20.760]  And I understand that, you know,
[28:20.760 --> 28:23.240]  but there's also this rich heritage
[28:23.240 --> 28:25.160]  of actual mom and pop growers
[28:25.160 --> 28:28.360]  and people who fucking are multi-generational families
[28:28.360 --> 28:29.880]  who's, you know, homesteaded
[28:29.880 --> 28:32.280]  and raised their families on that land.
[28:32.280 --> 28:34.440]  And those people are getting threatened, you know,
[28:34.440 --> 28:37.880]  $10,000 a day by the county.
[28:37.880 --> 28:39.040]  And so what it ended up doing,
[28:39.040 --> 28:40.480]  I mean, there's people who resisted it
[28:40.480 --> 28:42.360]  and there's people who fought with it.
[28:43.880 --> 28:45.560]  But, you know, just like I think
[28:45.560 --> 28:47.360]  what we're seeing all over the state,
[28:47.360 --> 28:49.640]  all over the country, and eventually all over the world
[28:49.640 --> 28:52.720]  is the people who are gonna be able to obtain these licenses
[28:53.200 --> 28:54.400]  are the people with the most power,
[28:54.400 --> 28:56.640]  political connections and the most money.
[28:56.640 --> 28:59.880]  And that's just fucking how it is and it's bullshit.
[29:01.240 --> 29:05.120]  And my whole thing is, if you can't beat them,
[29:05.120 --> 29:07.520]  learn to be better than them, you know?
[29:07.520 --> 29:10.880]  And so I really devoted a lot of my life to that.
[29:10.880 --> 29:11.920]  It's been fucking hard.
[29:11.920 --> 29:14.280]  It's taken me less, you know,
[29:14.280 --> 29:16.880]  it's taken me away from my connections to the plant
[29:16.880 --> 29:18.960]  and the work that I was trying to do with genetics
[29:18.960 --> 29:21.080]  and made me focus more of my time
[29:21.080 --> 29:23.000]  on just learning a bunch of bullshit.
[29:23.000 --> 29:24.800]  I hate all the compliance, you know?
[29:24.800 --> 29:28.560]  It's something that, you know, even today,
[29:28.560 --> 29:30.160]  you know, it's like, it's going,
[29:30.160 --> 29:33.160]  but I just, it's like, I'll get an email,
[29:33.160 --> 29:35.920]  CDFA, this, that, and the other, and it has to happen.
[29:35.920 --> 29:37.040]  It's already there and it's done,
[29:37.040 --> 29:38.880]  but it just stops me in my tracks, man.
[29:38.880 --> 29:43.240]  It's the one Achilles heel that, you know,
[29:43.240 --> 29:45.880]  that I hate the most about everything that we're doing.
[29:47.200 --> 29:48.400]  And so, you know, Humboldt,
[29:48.400 --> 29:50.440]  people filed lawsuits against the county.
[29:52.080 --> 29:54.880]  And there were certain interpretations and language
[29:54.880 --> 29:56.960]  that the county had made and previously changed.
[29:56.960 --> 29:59.160]  It's just basically all a bunch of bullshit.
[29:59.160 --> 30:01.280]  You know, I try to stay out of politics
[30:01.280 --> 30:02.800]  because it's all so upsetting to me
[30:02.800 --> 30:05.000]  because none of it really just seems fair.
[30:05.000 --> 30:06.680]  And, you know, who's going to be the one
[30:06.680 --> 30:08.360]  to decide what's fair anyway.
[30:11.480 --> 30:13.880]  And then, you know, there's a new sheriff
[30:13.880 --> 30:16.080]  in the last several years in Humboldt.
[30:16.080 --> 30:17.760]  And, you know, I think they did realize
[30:17.760 --> 30:19.720]  the economic impact it would have
[30:20.040 --> 30:21.280]  from shutting all these people down
[30:21.280 --> 30:23.000]  and all the pushback and the lawsuits
[30:23.000 --> 30:24.120]  and the fact that they were probably
[30:24.120 --> 30:25.400]  going to lose these lawsuits
[30:25.400 --> 30:27.440]  and have continued fucking lawsuits.
[30:27.440 --> 30:29.200]  And, you know, they said something
[30:29.200 --> 30:31.280]  about not targeting people that have
[30:31.280 --> 30:33.280]  under a certain square footage.
[30:33.280 --> 30:35.360]  And I mean, they don't have the fucking resources,
[30:35.360 --> 30:37.200]  even with all the money they get from licensing,
[30:37.200 --> 30:39.920]  they don't have the resources to go out in the hills,
[30:39.920 --> 30:42.720]  you know, and stop everybody.
[30:42.720 --> 30:45.520]  But what Humboldt County did, which is really fucked up,
[30:45.520 --> 30:46.480]  is a couple of years ago,
[30:46.480 --> 30:49.600]  they contracted a private satellite company.
[30:50.480 --> 30:52.040]  And they spent hundreds of thousands of dollars
[30:52.040 --> 30:53.600]  on taxpayer money.
[30:53.600 --> 30:56.120]  And they hired this company to just, you know,
[30:56.120 --> 30:59.320]  basically give live reporting on what they're seeing,
[30:59.320 --> 31:00.720]  you know, and that's how they were able
[31:00.720 --> 31:01.960]  to enforce these abatements.
[31:01.960 --> 31:03.560]  Sorry if I was getting off track.
[31:04.680 --> 31:06.680]  So what they did was they're getting live reports.
[31:06.680 --> 31:09.120]  And when they see that you have evidence of plants,
[31:09.120 --> 31:11.160]  even greenhouses in some cases,
[31:11.160 --> 31:13.080]  they'd send out these abatement notices,
[31:13.080 --> 31:15.000]  you shut down $10,000 a day.
[31:15.000 --> 31:17.360]  And, you know, for a couple of years,
[31:17.360 --> 31:18.640]  it was really impactful.
[31:19.560 --> 31:23.240]  I mean, it really kind of changed the, you know,
[31:23.240 --> 31:25.280]  it just changed the county.
[31:25.280 --> 31:27.360]  A lot of people couldn't afford to live there.
[31:27.360 --> 31:28.760]  A lot of people had to leave.
[31:28.760 --> 31:30.560]  A lot of people sold their properties.
[31:30.560 --> 31:32.840]  And guess who came in and guess who took over
[31:32.840 --> 31:34.160]  a lot of those properties?
[31:34.160 --> 31:36.800]  Established motherfuckers with a lot of money,
[31:36.800 --> 31:38.760]  people who already own a ton of land
[31:38.760 --> 31:41.760]  and can establish more licenses.
[31:41.760 --> 31:46.200]  And so, you know, it's all just unfortunate.
[31:46.200 --> 31:47.600]  There's even people,
[31:47.600 --> 31:50.120]  and this is the one thing, it's like,
[31:50.120 --> 31:52.240]  the county doesn't want bad PR.
