[00:28.410 --> 00:31.650]  How's it going, everybody?
[21:31.600 --> 21:38.600]  So Durban, you know, I got Durban a long time ago or Durban poison that really leaned towards the Durban.
[21:39.600 --> 21:41.600]  And now the Durban is very leaning towards the super silver haze.
[21:42.600 --> 21:50.600]  What have you guys seen change wise coming from land race varieties and then breeding them into new, more modern genetics?
[21:51.600 --> 21:54.600]  Kind of like we were talking about with the Punta Rojo.
[21:55.600 --> 21:59.600]  Are there other varieties that you see like what I'm talking about with the Durban poison?
[22:00.280 --> 22:01.280]  Yeah.
[22:02.280 --> 22:07.280]  Look, Punta Rojo is really Punta Rojo, you know, that's widely available.
[22:08.280 --> 22:12.280]  But Durban poison, I made a movie that never came out, by the way.
[22:13.280 --> 22:16.280]  It was one of the first ones I made with Franco, but our quality was so bad.
[22:17.280 --> 22:21.280]  And we were a little bit chasing in South Africa and Transkei and all those places.
[22:22.280 --> 22:27.280]  We were trying to chase the Durban poison and we winded up by the old South African growers.
[22:27.960 --> 22:32.960]  And basically the original plants came on the East Coast with the Indians from Kerala.
[22:33.960 --> 22:36.960]  Kerala was, we think, originates some of the best dope ever.
[22:37.960 --> 22:44.960]  But anyway, this one came through the East Coast with those sailing boats, with those fishermen and trade guys all the way down.
[22:45.960 --> 22:50.960]  And according to them, there have never been like a fixed variety of Durban poison.
[22:51.960 --> 22:55.960]  There's been like an area where a lot of phenotypes from a good variety grew.
[22:56.640 --> 23:03.640]  And that has been then identified as so-called the Durban poison.
[23:04.640 --> 23:07.640]  So, yeah, also in land races, you know, what is a land race?
[23:08.640 --> 23:13.640]  Is it something that is 30 years in the valley or 50 years or 100 years inbred or whatever?
[23:14.640 --> 23:17.640]  You know, there's many things to say.
[23:18.640 --> 23:25.640]  If you go to other areas, for example, Malawi, Malawi gold, which is an amazing variety.
[23:26.640 --> 23:29.640]  That's a stable land race, you know, but you have to look properly for it.
[23:30.640 --> 23:34.640]  And then things change, of course, when you go to the mountains, when you go to India,
[23:35.640 --> 23:38.640]  where they make the proper charas and even the jungle one and everything.
[23:41.640 --> 23:47.640]  That plant is useless to inbreed in good quality because it's a hash making plant.
[23:48.640 --> 23:50.640]  Many people tried it, but not really good stuff came out.
[23:51.640 --> 23:53.640]  Makes the best hash, but it's just not suitable.
[23:54.320 --> 23:56.320]  So there's a lot of different things in land races.
[23:57.320 --> 23:59.320]  There's some really good ones. Some there's like a myth around.
[24:00.320 --> 24:02.320]  You don't really know. Other ones are useless.
[24:04.320 --> 24:07.320]  You know, it's just in what context you want to place the land race.
[24:08.320 --> 24:11.320]  And what is a land race? What is the definition?
[24:12.320 --> 24:13.320]  Yeah, so let's talk about that for a minute.
[24:14.320 --> 24:21.320]  I think there's a lot of confusion between indigenous wild cannabis, land races,
[24:22.000 --> 24:23.000]  land race varieties.
[24:24.000 --> 24:28.000]  So, you know, my understanding would be that indigenous would be the stuff
[24:29.000 --> 24:30.000]  that's originated from that variety.
[24:31.000 --> 24:36.000]  Wild cannabis could be anything that grows wild in that region, wherever that region is.
[24:37.000 --> 24:39.000]  And then land race is actually a cultivated variety that's been cultivated
[24:40.000 --> 24:44.000]  and bred towards certain goals, depending on that area's needs.
[24:45.000 --> 24:47.000]  Cultivated by humans.
[24:48.000 --> 24:49.000]  Yeah, cultivated by humans, selected.
[24:49.680 --> 24:50.680]  We've done that as humans.
[24:51.680 --> 24:53.680]  We've done the selection process, brought stuff in from other places.
[24:54.680 --> 24:57.680]  Like Jamaica is a perfect example of, you know, if you look at some of the
[24:58.680 --> 25:01.680]  varieties, lamb's bread is probably brought over from Africa, maybe even from, you know.
[25:02.680 --> 25:03.680]  It's from Colombia.
[25:04.680 --> 25:05.680]  Colombia. Okay.
[25:06.680 --> 25:07.680]  All the Jamaican stuff is from Colombia.
[25:08.680 --> 25:09.680]  Yeah.
[25:10.680 --> 25:12.680]  Until the 75 or 70s, there was no pot in Jamaica.
[25:13.680 --> 25:15.680]  Of course, there was some pot, you know, because you know stories.
[25:16.360 --> 25:20.360]  It's even in one of my movies that the slaves were already smoking and running
[25:21.360 --> 25:22.360]  away and hiding near the waterfalls and stuff like that.
[25:23.360 --> 25:27.360]  But the stuff that has been marked as lamb's bread and all those varieties,
[25:28.360 --> 25:29.360]  they all came from South America.
[25:30.360 --> 25:32.360]  Yeah, it's funny how those have changed even still.
[25:33.360 --> 25:36.360]  I think because it's an island and pollen floats so freely, a lot of the stuff
[25:37.360 --> 25:40.360]  that was accessible 20 years ago is really, really hard to find today.
[25:41.360 --> 25:43.360]  You know, there's places like Orange Hill and Lamb's Bread.
[25:44.040 --> 25:46.040]  I think the lamb's bread, what people think of lamb's bread, especially in the
[25:47.040 --> 25:50.040]  United States, isn't the lamb's bread that you know or the lamb's bread that I've seen.
[25:51.040 --> 25:53.040]  No, it's not there anymore.
[25:54.040 --> 25:55.040]  I tried to find it the last three times.
[25:56.040 --> 25:57.040]  Nobody's got it.
[25:58.040 --> 26:01.040]  Yeah, so I look around also and it's like, yes, looking for a unicorn.
[26:02.040 --> 26:03.040]  You know, it's.
[26:04.040 --> 26:07.040]  Yeah, we think we got some kind of good context there, you know.
[26:08.040 --> 26:09.040]  Yeah.
[26:10.040 --> 26:11.040]  You just can't find it.
[26:11.720 --> 26:15.720]  It's so tough with an island and then pollen floating freely around that island.
[26:16.720 --> 26:18.720]  It's like, you know, that can change genetics.
[26:19.720 --> 26:23.720]  That can definitely change the lineage of stuff and, you know, not the origin,
[26:24.720 --> 26:27.720]  but it can change the seeds because everything comes from seed and a lot of those growers
[26:28.720 --> 26:29.720]  grow from seed.
[26:30.720 --> 26:31.720]  So, yeah, it's pretty wild.
[26:32.720 --> 26:35.720]  Jamaica is a fun place, but Orange Hill, which is one of my favorite varieties,
[26:36.720 --> 26:40.720]  it's super, super strong that we have seeds of now here that I've gotten from some Jamaicans.
[26:41.720 --> 26:42.720]  And that's a good one.
[26:43.720 --> 26:45.720]  Yeah, but it's also related to the size of those islands.
[26:46.720 --> 26:50.720]  They're so small, you know, that there's not enough space for the genetic to save itself somewhere,
[26:51.720 --> 26:52.720]  you know, and it cannot hide anywhere.
[26:53.720 --> 26:54.720]  There's just pollen everywhere.
[26:55.720 --> 26:58.720]  Even if you go in the French Caribbean, you know, in Guadalupe and Martinique and all this,
[26:59.720 --> 27:03.720]  all the weed that I had there when I was there the last time is all influenced by modern genetic.
[27:04.720 --> 27:08.720]  It's all skunky or cushy or but there's no more land raised like the old school
[27:09.400 --> 27:11.400]  15 weeks flowering that they used to have and stuff like this.
[27:12.400 --> 27:14.400]  They don't have it anymore because they don't want it also.
[27:15.400 --> 27:19.400]  You know, the people there, yeah, they found faster strains.
[27:20.400 --> 27:22.400]  Of course, in those areas for them, it's much faster.
[27:23.400 --> 27:24.400]  It's better.
[27:25.400 --> 27:27.400]  So they didn't preserve it, unfortunately.
[27:28.400 --> 27:29.400]  Yeah.
[27:30.400 --> 27:32.400]  So and then that's so different, like islands compared to like Morocco,
[27:33.400 --> 27:38.400]  where people have gone in and brought in seeds and they brought these varieties
[27:39.400 --> 27:43.400]  in and it seems to have changed the hash that arrives in Europe for a period of time.
[27:44.400 --> 27:45.400]  And then a lot of it goes back.
[27:46.400 --> 27:48.400]  What's your guys' experience with that, with Morocco?
[27:49.400 --> 27:55.400]  Well, Morocco is definitely following the markets that is the world is asking for.
[27:56.400 --> 28:00.400]  Also, you know, like if they find a seed that has a better yield and more,
[28:01.400 --> 28:03.400]  more resistant to molds, you know, and to insects and pests,
[28:04.400 --> 28:07.400]  because they have a lot of molds always every year, a lot of males flying around.
[28:08.080 --> 28:12.080]  You know, so when they found out feminized or pest resistant and all this,
[28:13.080 --> 28:14.080]  yeah, of course they're going for this.
[28:15.080 --> 28:18.080]  But I think Morocco, if you go deep enough, you can always still find because it's so big.
[28:19.080 --> 28:21.080]  You know, even though the amount of plants is big in the Rift Valley and all this,
[28:22.080 --> 28:25.080]  if you go in more remote area, you can still find the old school,
[28:26.080 --> 28:29.080]  you know, the old Pakistani plants and all those, those local semi-autos,
[28:30.080 --> 28:31.080]  land-raised that are super short.
[28:32.080 --> 28:33.080]  And you can still find this in Morocco.
[28:33.760 --> 28:37.760]  It might be a little bit affected, but I think if you leave it long enough,
[28:38.760 --> 28:39.760]  it will come back to its original.
[28:41.760 --> 28:48.760]  Yeah. Also, I think the authorities now forbid to import seeds, legal or illegal,
[28:49.760 --> 28:54.760]  because the plants that have been coming in there from the early 2000s,
[28:55.760 --> 28:57.760]  especially the Pakistani plants and all that, are growing much bigger.
[28:58.760 --> 29:01.760]  And then, and they use more chemicals now instead of the old system.
[29:02.440 --> 29:04.440]  So the ground is not getting much better.
[29:05.440 --> 29:11.440]  And I think they are like trying to impose some kind of structure
[29:12.440 --> 29:16.440]  to get the soil better again and not grow these huge plants
[29:17.440 --> 29:19.440]  because it's a burden on the soil in the mountains.
[29:23.540 --> 29:24.540]  Yeah, it's interesting.
[29:25.540 --> 29:28.540]  And their rules down there are very interesting too on what can be grown.
[29:29.540 --> 29:32.540]  And they're moving towards legalization too as well. Correct?
[29:33.220 --> 29:35.220]  There are talks in the parliament.
[29:36.220 --> 29:37.220]  I think they want to do something with CBD.
[29:38.220 --> 29:42.220]  But I don't know how far that is on paper.
[29:43.220 --> 29:46.220]  But there are talks in Morocco that they want to legalize their industry.
[29:47.220 --> 29:49.220]  Yeah, I heard Lebanon too.
[29:50.220 --> 29:51.220]  Lebanon too, yes.
[29:52.220 --> 29:54.220]  Lebanon too. That's a whole other story.
[29:55.220 --> 29:56.220]  They are legalizing in parliament.
[29:57.220 --> 29:58.220]  Wow. That's huge.
[29:59.220 --> 30:02.220]  Well, they did it in Thailand, which you would never expect.
[30:03.220 --> 30:05.220]  I think you're even allowed to grow five plants now,
[30:06.220 --> 30:07.220]  which is unreal.
[30:08.220 --> 30:10.220]  If you told me that 10 years ago, I would declare you crazy.
[30:11.220 --> 30:13.220]  And even in the Philippines, I heard stories about
[30:14.220 --> 30:16.220]  they want to legalize some medical marijuana growth.
[30:17.220 --> 30:19.220]  So yeah, it's moving.
[30:20.220 --> 30:22.220]  We have Luxembourg also, right? In Europe.
[30:23.220 --> 30:24.220]  Yeah, Luxembourg in Europe,
[30:25.220 --> 30:28.220]  which is also one of the last countries you would think they would do it.
[30:29.220 --> 30:31.220]  It's like a little bit conservative kingdom
[30:31.900 --> 30:33.900]  with a lot of rich people living in small castles.
[30:34.900 --> 30:37.900]  It's a very small country, very well organized banking system.
[30:38.900 --> 30:42.900]  And yeah, they decided they want to even open coffee shops there.
[30:43.900 --> 30:45.900]  So that's quite surprising.
[30:46.900 --> 30:48.900]  Wow. Maybe a Strain Hunters Club.
[30:49.900 --> 30:53.900]  Yeah. I prefer to come to California, to be honest.
[30:54.900 --> 30:56.900]  Yeah, we're ready. We're ready for Strain Hunters California.
[30:57.900 --> 30:58.900]  Wouldn't that be awesome?
[30:59.580 --> 31:01.580]  Yeah, just chill there in this nice shop and smoke one.
[31:02.580 --> 31:03.580]  Yeah, that would be great.
[31:04.580 --> 31:06.580]  Well, yeah. At one time you told me that Strain Hunters
[31:07.580 --> 31:09.580]  was going to be the Hard Rock Cafe of Cannabis.
[31:10.580 --> 31:12.580]  And I feel like you've expanded on that.
[31:13.580 --> 31:15.580]  And you know, your Barcelona, you know, is that still the plan?
[31:16.580 --> 31:17.580]  Yeah. Well, yeah, of course.
