[00:00.000 --> 00:01.280]  good connectivity there, Nick.
[18:29.290 --> 18:30.810]  to itself, because what do you do if
[18:30.810 --> 18:32.490]  you got one male and one female from
[18:32.490 --> 18:34.330]  a pack of seeds and they both look
[18:34.330 --> 18:36.090]  pretty decent, right?
[18:36.090 --> 18:38.090]  You just breed them back to himself,
[18:38.090 --> 18:39.090]  I would guess.
[18:40.690 --> 18:41.690]  So that's what I did.
[18:43.330 --> 18:44.330]  Cool.
[18:45.130 --> 18:46.730]  But yeah, this is what's
[18:46.730 --> 18:47.730]  in there.
[18:50.010 --> 18:51.090]  Right.
[18:51.090 --> 18:52.410]  And then I just kind of
[18:54.730 --> 18:56.610]  you know, throw my males
[18:56.610 --> 18:58.490]  in the bathroom with another
[18:58.490 --> 19:00.330]  light and
[19:00.330 --> 19:02.450]  then chuck the pollen
[19:02.450 --> 19:04.850]  and keep the best females
[19:04.850 --> 19:06.410]  and then toss them.
[19:06.410 --> 19:08.530]  The you know, in the garage, I had
[19:08.530 --> 19:10.090]  like 40 different plants.
[19:10.090 --> 19:11.330]  I'm like, that's like four hundred
[19:11.330 --> 19:11.970]  dollars, right?
[19:11.970 --> 19:13.130]  Because they're like ten dollars a
[19:13.130 --> 19:14.850]  seed. I'm just like,
[19:14.850 --> 19:16.850]  I throw more weed away than most
[19:16.850 --> 19:17.850]  people.
[19:17.850 --> 19:18.850]  Ha ha.
[19:19.650 --> 19:20.650]  Yeah.
[19:21.650 --> 19:22.850]  Yeah, but.
[19:24.650 --> 19:26.250]  Yeah, this is a little project, this
[19:26.250 --> 19:28.050]  is at my dad's, you know, you guys
[19:28.050 --> 19:29.690]  saw the one at my house.
[19:29.690 --> 19:31.610]  I got one of my mom's and then
[19:31.610 --> 19:32.970]  I have the farm.
[19:32.970 --> 19:35.210]  So they're just
[19:35.210 --> 19:37.090]  been showing my parents how to grow.
[19:37.090 --> 19:38.090]  They're kind of
[19:40.090 --> 19:41.850]  just helping me sift through
[19:41.850 --> 19:43.330]  plants, really, and try to find the
[19:43.330 --> 19:44.090]  best genetics.
[19:44.090 --> 19:45.810]  I want to be that specialty guy that
[19:45.810 --> 19:46.810]  people are like.
[19:50.500 --> 19:52.580]  When they're there with it,
[19:52.580 --> 19:54.100]  they're like, OK, with it.
[19:58.740 --> 20:00.780]  Then nowhere to come get it.
[20:04.790 --> 20:05.550]  Yeah. Oh, yeah.
[20:05.550 --> 20:07.510]  They love it. They're like, you
[20:07.510 --> 20:08.790]  know, my mom's actually allergic to
[20:08.790 --> 20:10.110]  weed. She can't smoke it.
[20:10.110 --> 20:11.910]  So I'm like the first one in like
[20:11.910 --> 20:13.710]  two generations that's been able to
[20:13.710 --> 20:15.550]  smoke since my grandfather.
[20:18.570 --> 20:20.410]  But yeah, my mom, she can't touch it
[20:20.410 --> 20:22.370]  or anything, she'll break out.
[20:22.370 --> 20:23.370]  But she
[20:25.210 --> 20:26.850]  she loves growing the plant.
[20:26.850 --> 20:28.290]  My grandma loves it, too.
[20:28.290 --> 20:30.250]  She never even really seen
[20:30.250 --> 20:31.250]  it.
[20:34.920 --> 20:35.920]  That's awesome.
[20:36.760 --> 20:37.880]  Everything looks great.
[20:40.400 --> 20:42.440]  Yeah, man, those are some very
[20:42.440 --> 20:43.440]  happy plants.
[21:01.640 --> 21:03.280]  My little one of my little projects,
[21:03.280 --> 21:05.080]  I think I broke a lamp stepping back
[21:05.080 --> 21:06.080]  on one of those.
[21:08.240 --> 21:09.720]  Be careful, be careful.
[21:11.160 --> 21:12.160]  Right.
[21:12.800 --> 21:13.600]  Good thing there are only eight
[21:13.600 --> 21:14.600]  books.
[21:14.920 --> 21:16.920]  We don't need to include a live
[21:16.920 --> 21:19.120]  hospital trip in this
[21:19.120 --> 21:20.120]  session.
[21:20.680 --> 21:22.120]  It's like I'm telling you right now,
[21:22.120 --> 21:23.720]  Nick, if you like slice yourself
[21:23.720 --> 21:25.560]  up, it's just you're
[21:25.560 --> 21:26.720]  staying on.
[21:26.720 --> 21:27.720]  We don't give a fuck.
[21:28.600 --> 21:29.600]  You got you.
[21:29.800 --> 21:31.480]  You're stuck here for two hours.
[21:33.080 --> 21:34.080]  Whether you like it or not.
[21:39.350 --> 21:40.910]  See, this is some of the pollen I
[21:40.910 --> 21:41.910]  chucked.
[21:41.910 --> 21:43.550]  I I've been drying it out.
[21:49.350 --> 21:50.790]  There's drying some pollen out.
[21:59.340 --> 22:00.940]  That's fucking awesome.
[22:02.460 --> 22:04.700]  I usually just put the damn pollen
[22:04.700 --> 22:05.980]  in some fucking cotton.
[22:08.220 --> 22:10.260]  Not that that's a bad idea,
[22:10.260 --> 22:12.380]  I think that's really cool, but like.
[22:14.740 --> 22:16.620]  I just usually put it in cotton
[22:16.620 --> 22:17.620]  and save it.
[22:17.740 --> 22:19.260]  How does everyone else do it?
[22:19.660 --> 22:21.620]  I put it in cotton and save it and
[22:21.620 --> 22:23.420]  then I usually refrigerate it.
[22:25.340 --> 22:26.540]  It looks like you got a little bunch
[22:26.540 --> 22:28.300]  of coke pile around
[22:28.300 --> 22:29.300]  here.
[22:35.420 --> 22:36.540]  What do you mean shopping in your
[22:36.540 --> 22:37.540]  bathroom?
[22:40.860 --> 22:42.540]  No, my parents wouldn't be cool with
[22:42.540 --> 22:43.540]  that.
[22:43.740 --> 22:44.740]  No, I am.
[22:45.940 --> 22:46.940]  No parents.
[22:49.260 --> 22:51.140]  But yeah, I'd like to
[22:52.420 --> 22:54.220]  normally the D homes run in
[22:54.220 --> 22:56.300]  for like a day and I'll drop it down
[22:56.300 --> 22:58.660]  to like thirty five
[22:58.660 --> 23:00.540]  or forty and run it for like twenty
[23:00.540 --> 23:02.100]  four to forty eight hours
[23:02.420 --> 23:03.940]  and dry it out really good.
[23:04.940 --> 23:07.380]  And then I'll put it in like a vial.
[23:08.300 --> 23:10.140]  I just like to put it on these
[23:10.140 --> 23:12.140]  first so I can get it to
[23:12.140 --> 23:14.140]  go in the vial, you know, like
[23:14.140 --> 23:16.140]  I can fold these up and just
[23:16.140 --> 23:17.980]  kind of sift it in
[23:17.980 --> 23:20.140]  the vial. But I'll put
[23:20.140 --> 23:22.580]  rice in the vial and then
[23:22.580 --> 23:24.420]  I'll let that
[23:24.420 --> 23:26.140]  sit for like a day or two with the
[23:26.140 --> 23:28.180]  rice in the vial with the pollen
[23:28.580 --> 23:29.580]  and then
[23:30.860 --> 23:32.700]  and then I'll put it in the freezer
[23:33.180 --> 23:35.300]  and it's normally good for about six
[23:35.300 --> 23:37.100]  months. So I can,
[23:38.380 --> 23:40.820]  you know, if I find something
[23:41.820 --> 23:43.340]  within six months, I can
[23:43.980 --> 23:45.980]  just I'll put it on a Q-tip,
[23:45.980 --> 23:48.340]  just dab a Q-tip in the vial
[23:48.580 --> 23:50.620]  and I'll just roll it on the bud
[23:50.620 --> 23:52.260]  and you don't really need that much.
[23:52.980 --> 23:54.780]  You know, if you over pollinate,
[23:55.780 --> 23:56.780]  it's actually
[23:57.660 --> 23:58.660]  detrimental.
[23:59.820 --> 24:01.300]  Exactly, exactly.
[24:01.300 --> 24:03.380]  And and the other thing is, if you
[24:03.380 --> 24:04.380]  want to like
[24:06.020 --> 24:08.100]  if you keep it longer,
[24:08.940 --> 24:10.780]  if you want to keep it longer, you can
[24:10.780 --> 24:12.300]  you can just
[24:12.300 --> 24:14.180]  keep it longer. You can like actually
[24:14.180 --> 24:15.500]  do it in the fridge.
[24:15.500 --> 24:17.540]  It's it doesn't sound like it
[24:17.540 --> 24:19.860]  would work as best, but
[24:19.860 --> 24:22.140]  it does work better if you don't
[24:22.140 --> 24:23.780]  put it in the freezer because it
[24:23.780 --> 24:25.740]  actually starts to crack up
[24:25.740 --> 24:27.980]  the structure of the
[24:30.500 --> 24:31.820]  of it. But like
[24:33.100 --> 24:34.860]  basically you can just
[24:35.820 --> 24:36.980]  go and
[24:38.980 --> 24:41.140]  hold all of
[24:41.420 --> 24:42.700]  that pollen in
[24:44.500 --> 24:47.060]  vitro in a refrigerator.
[24:47.620 --> 24:49.460]  And I've done it for years.
[24:49.460 --> 24:51.500]  I've had like for multiple years
[24:51.500 --> 24:53.020]  and it was still viable.
[24:54.340 --> 24:56.700]  And so I feel
[24:56.700 --> 24:58.780]  like that's something
[24:58.780 --> 25:00.580]  a lot of people need to know is like
[25:00.580 --> 25:02.420]  you can definitely take
[25:02.420 --> 25:04.460]  pollen in the refrigerator
[25:04.900 --> 25:07.500]  and it will hold forever
[25:07.500 --> 25:09.380]  as long as you take care
[25:09.420 --> 25:11.500]  of it. You cannot let it
[25:12.820 --> 25:14.980]  fluctuate in temperature and all that.
[25:20.620 --> 25:22.340]  So I have the Ken Haramaru
[25:22.340 --> 25:24.780]  Reds cross.
[25:24.780 --> 25:26.260]  I don't know what's with my ability
[25:26.260 --> 25:28.140]  to talk today. It's atrocious.
[25:28.140 --> 25:29.300]  Apparently I can't put two words
[25:29.300 --> 25:30.220]  together.
[25:30.220 --> 25:32.020]  But anyways, I have the
[25:32.020 --> 25:34.260]  the Ken Haramaru Reds cross
[25:34.260 --> 25:35.860]  with the ice cream cakes.
[25:35.860 --> 25:38.300]  And I got like three pretty
[25:38.300 --> 25:39.780]  separate looking plants.
[25:40.900 --> 25:41.900]  So this is.
[25:43.580 --> 25:44.580]  One.
[25:47.640 --> 25:48.640]  Of them.
[25:54.180 --> 25:55.740]  Let me just switch my mic is
[25:55.740 --> 25:56.860]  I'm not coming through, actually,
[25:56.860 --> 25:58.540]  can you guys hear me nice and clean?
[25:58.540 --> 25:59.420]  Yep.
[25:59.420 --> 26:01.100]  Awesome. This is way easier than
[26:01.100 --> 26:02.700]  you just switch the headphone off.
[26:02.700 --> 26:03.780]  Boom.
[26:03.780 --> 26:05.540]  All right. So I got this three times.
[26:05.540 --> 26:07.420]  So I wanted to kind of sorry to push
[26:07.420 --> 26:08.700]  push in here a little bit, but I
[26:08.700 --> 26:10.940]  needed to get this done before
[26:10.940 --> 26:12.740]  my light time is up
[26:12.740 --> 26:13.980]  because I'm running out
[26:14.820 --> 26:15.820]  of
[26:16.620 --> 26:18.380]  time of them being able to come out.
[26:18.380 --> 26:20.220]  So these have not been in flower
[26:20.220 --> 26:21.500]  very long. You can see I've stripped
[26:21.500 --> 26:23.420]  them really hard
[26:23.420 --> 26:24.500]  to cut them for clones.
[26:24.500 --> 26:25.820]  And then I took the the mum and
[26:25.820 --> 26:28.220]  threw them in to just have some fun.
[26:28.220 --> 26:30.220]  I wanted some good fun decor
[26:30.220 --> 26:32.180]  decoration for my wedding
[26:32.180 --> 26:34.260]  that's up next week, next Saturday.
[26:34.260 --> 26:36.380]  So I really wanted to like
[26:36.380 --> 26:37.780]  have some funky shaped plants.
[26:37.780 --> 26:39.980]  And you can see they're pretty
[26:39.980 --> 26:40.980]  pretty tall.
[26:40.980 --> 26:42.740]  They're about I'd say
[26:42.740 --> 26:44.420]  about three and a half feet tall.
[26:44.420 --> 26:45.980]  And I've cleaned them up all on the
[26:45.980 --> 26:47.540]  bottom. Nothing there.
[26:49.180 --> 26:50.940]  And then I'm just there's
[26:50.940 --> 26:51.740]  what this is.
[26:51.740 --> 26:52.980]  This is the choice cut.
[26:52.980 --> 26:54.940]  I have nine number nine and
[26:54.940 --> 26:56.300]  I have a whole bunch more of them.
[26:56.300 --> 26:58.060]  And they're at this stage of the
[26:58.060 --> 27:00.380]  shorter, widest of the leaves
[27:00.380 --> 27:02.820]  of the set. And the aroma
[27:02.820 --> 27:04.740]  profile on this is
[27:04.740 --> 27:06.340]  I don't I don't even know.
[27:06.340 --> 27:08.300]  It's it's very different from what
[27:08.300 --> 27:09.220]  I'm used to growing.
[27:09.220 --> 27:10.980]  So I'm still learning to interpret
[27:10.980 --> 27:11.980]  her a little bit.
[27:13.220 --> 27:14.300]  Agreed.
[27:14.300 --> 27:15.900]  Yeah. Same here is
[27:15.900 --> 27:17.740]  a very this one's quite a bit less
[27:17.740 --> 27:19.180]  time in it, but you can see that the
[27:19.180 --> 27:22.140]  nodes are a little bit heavier
[27:22.140 --> 27:25.020]  calyx per leaf ratio.
[27:25.020 --> 27:27.180]  And you can see a nice wide leaf.
[27:28.940 --> 27:30.180]  Kind of neat on this one.
[27:30.180 --> 27:31.380]  So I think this one's going to turn
[27:31.380 --> 27:32.380]  out a little bit. So this is about
[27:32.380 --> 27:33.860]  two weeks difference in time.
[27:34.860 --> 27:36.500]  And flower.
[27:36.500 --> 27:38.340]  And then this is a complete and
[27:38.340 --> 27:39.700]  these are different phenotypes, so
[27:39.700 --> 27:40.740]  they're not all shaped the same.
[27:40.740 --> 27:42.060]  They're all very quite a bit
[27:42.060 --> 27:43.220]  different. And you can see this one's
[27:43.220 --> 27:44.340]  super stacky.
[27:44.340 --> 27:45.340]  A little bit ugly.
[27:47.060 --> 27:48.380]  Pretty nice.
[27:48.380 --> 27:53.010]  Pretty happy with them, man.
[27:53.010 --> 27:53.810]  They're really cool.
[27:53.810 --> 27:55.490]  And I got like a really fun shape to
[27:55.490 --> 27:57.290]  them, which will be nice.
[27:57.290 --> 27:58.290]  I'll be the core.
[27:58.290 --> 27:59.890]  I'll be cool. The core for my wedding.
[27:59.890 --> 28:01.570]  That's for sure. Nice showpieces.
[28:01.570 --> 28:03.770]  And then I got these guys as well,
[28:03.770 --> 28:05.410]  which have just started into flower.
[28:05.410 --> 28:07.090]  And I've done you've seen that pretty
[28:07.090 --> 28:09.170]  pretty similar heavy, heavy
[28:09.170 --> 28:10.650]  stripping. I got that really flat
[28:10.650 --> 28:11.650]  LED, but.
[28:12.570 --> 28:13.770]  Pretty cool.
[28:13.770 --> 28:14.930]  And then so I'm going to put this
[28:14.930 --> 28:15.930]  on the side.
[28:15.930 --> 28:16.930]  I'm going to put this on the side.
[28:17.050 --> 28:18.810]  And then so I'm going to load this,
[28:18.810 --> 28:20.770]  load this in really quick because
[28:20.770 --> 28:22.410]  I have to get these loaded in before
[28:22.410 --> 28:23.410]  they've been out too long.
[28:24.290 --> 28:26.210]  So I will be right back.
[28:27.290 --> 28:28.290]  And then I'll show some more.
[28:40.940 --> 28:42.580]  Those are really pretty on them.
[28:42.580 --> 28:44.540]  They really are ice cream
[28:44.540 --> 28:46.420]  cake side to
[28:46.420 --> 28:47.420]  I think.
[28:48.860 --> 28:51.340]  All them purple, he's brother,
[28:51.340 --> 28:53.340]  you know, Girl Scout cookies is like
[28:53.340 --> 28:54.340]  that.
[28:54.620 --> 28:55.820]  Do the real cut.
[28:58.660 --> 29:00.940]  And I got real nice, real
[29:01.820 --> 29:03.860]  nice rounded buds.
[29:03.860 --> 29:05.820]  I'm into the rounded, but, you
[29:05.820 --> 29:06.820]  know.
[29:20.890 --> 29:22.890]  So, Corey,
[29:24.010 --> 29:26.610]  hey, did you ever
[29:26.730 --> 29:27.730]  use?
[29:32.060 --> 29:33.300]  I'm losing you, is it me?
[29:37.350 --> 29:38.350]  Can you hear me?
[29:50.820 --> 29:51.820]  You're still there.
[29:51.860 --> 29:52.860]  I can hear you, Cole, still grown
[29:52.860 --> 29:53.860]  and Corey, everybody still there.
[29:53.860 --> 29:54.860]  We there.
[29:54.860 --> 29:55.860]  Yeah, yeah, yeah.
[29:55.900 --> 29:56.900]  Gotcha. All right. I thought I lost
[29:56.900 --> 29:57.900]  everybody.
[29:57.940 --> 29:59.300]  No, Nick dropped out for a second.
[29:59.300 --> 30:01.060]  Thanks. Thanks, Peter, for jumping in
[30:01.060 --> 30:02.060]  and helping out, brother.
[30:03.580 --> 30:09.110]  So, yeah, I've got
[30:09.670 --> 30:10.670]  four females.
[30:11.590 --> 30:13.590]  I've got two of the shorter.
[30:15.110 --> 30:16.630]  And not by a heck of a lot, either.
[30:16.630 --> 30:17.630]  Maybe.
[30:18.150 --> 30:19.150]  Maybe about a foot.
[30:19.790 --> 30:20.790]  They're shorter.
[30:21.470 --> 30:23.470]  I am weak.
[30:23.470 --> 30:25.190]  Let's see, I'm day 21 here now.
[30:25.710 --> 30:28.710]  And I've got.
[30:31.710 --> 30:32.710]  Flowers.
[30:34.390 --> 30:42.050]  On two tall ones.
[30:43.930 --> 30:46.850]  A little bit less on
[30:47.850 --> 30:49.050]  one of the short ones.
[30:51.450 --> 30:52.970]  And this girl here just.
[30:55.530 --> 30:57.810]  I mean, it's starting to I can't
[30:57.810 --> 30:58.810]  tell if you can see it.
[30:58.930 --> 31:01.370]  Just starting to show flower.
[31:03.290 --> 31:05.330]  She's definitely lighter and
[31:05.330 --> 31:07.650]  drawing more than the rest.
[31:10.290 --> 31:12.090]  Mr. Toad suggested
