[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[25:07.850 --> 25:10.290]  you will get immediately my contact information.
[25:11.330 --> 25:12.170]  Thank you.
[25:18.730 --> 25:21.330]  Live with you guys at the NOCO Hemp Expo.
[25:21.330 --> 25:23.810]  That was just Dr. Andrea Holmes.
[25:23.810 --> 25:25.650]  We're gonna have a live interview with her
[25:25.650 --> 25:27.650]  in just a few minutes, so you guys stay with us.
[25:27.650 --> 25:29.370]  We're gonna be live all day,
[25:29.370 --> 25:32.170]  just talking and speaking with some of the brightest minds
[25:32.170 --> 25:33.970]  here at NOCO Hemp Expo.
[25:33.970 --> 25:37.130]  This is the largest hemp expo here in the nation.
[25:38.690 --> 25:40.170]  Sorry about that.
[25:41.730 --> 26:19.500]  Hey, this is Precision Plant Molecules.
[26:19.500 --> 26:21.220]  There we go, how's that?
[26:21.220 --> 26:22.180]  Unmuted.
[26:23.580 --> 26:28.580]  So anyway, that was Brian and Dager,
[26:29.340 --> 26:31.580]  Dager, I can never pronounce his name right,
[26:31.580 --> 26:36.260]  but anyway, they're at the NOCO Hemp Expo.
[26:37.580 --> 26:40.780]  They are learning on the fly the ins and outs
[26:40.900 --> 26:44.780]  of streaming audio and video,
[26:44.780 --> 26:46.180]  but we got the video down,
[26:46.180 --> 26:48.300]  at least you could see the woman speaking.
[26:49.380 --> 26:52.180]  Trying to teach them how to do the audio stuff
[26:52.180 --> 26:54.100]  from a distance on the fly.
[26:54.980 --> 26:59.540]  They have an iPhone, so I said try to get a line out
[26:59.540 --> 27:03.780]  from the soundboard into the, but then the iPhone,
[27:03.780 --> 27:08.780]  you know, you need the stereo to lightning bolt adapter,
[27:09.780 --> 27:11.900]  and then I don't know if the iPhone,
[27:11.900 --> 27:15.300]  well actually it should have an audio in capability
[27:15.300 --> 27:17.100]  because the microphone's doing that.
[27:19.260 --> 27:24.260]  But so they're, I think, gonna bring that woman down
[27:24.540 --> 27:29.540]  to the booth, which is there.
[27:30.220 --> 27:32.660]  You may recognize that dab table,
[27:33.580 --> 27:36.660]  that dab bar from such past conversations
[27:36.660 --> 27:38.540]  as every Thursday at 11.
[27:43.020 --> 27:46.540]  Yes, yes, Brian and, whoops,
[27:46.540 --> 27:48.700]  and the guy who talks all the time, yes.
[27:50.740 --> 27:53.260]  Sorry, let me kill that, but I gotta go pick up
[27:55.060 --> 27:57.500]  or check in on my two-year-old
[27:57.500 --> 28:01.100]  who's at the neighbor's house.
[28:02.340 --> 28:03.500]  Give me one second.
[28:04.500 --> 28:07.500]  So hopefully these guys'll come down.
[28:09.100 --> 28:16.200]  So I am going to, you can all bear with us.
[28:19.640 --> 28:24.640]  I'm gonna make them big and enable their audio,
[28:24.920 --> 28:29.920]  and there may be a big gap of silence,
[28:29.920 --> 28:31.600]  but for all the new people coming in,
[28:31.640 --> 28:32.800]  for all the new people coming in,
[28:32.800 --> 28:39.330]  maybe some of you can tell them what's going on
[28:40.330 --> 28:41.650]  just to chill out for a minute
[28:41.650 --> 28:46.650]  as our not-so-tight live production plays out.
[28:52.050 --> 28:55.810]  Yeah, and I have, actually, the cherry pie I brought outside.
[28:57.130 --> 29:02.130]  I'm acclimating it to the direct sunlight from Mr. Toad.
[29:04.130 --> 29:09.130]  All right, so again, Brian is gonna bring that woman
[29:10.850 --> 29:15.850]  who was just speaking down to that table,
[29:18.690 --> 29:23.690]  and I told him to try to kill the PA microphone,
[29:24.250 --> 29:26.570]  or the PA speaker, I should say,
[29:31.120 --> 29:33.320]  but generally you'll be able to hear them much better.
[29:33.360 --> 29:36.400]  They got their USB mic.
[29:39.520 --> 29:43.440]  We can go to a two-shot, but all right, I gotta run out.
[29:43.440 --> 29:48.440]  I'll be back in 10, and I'm just gonna put them live
[29:48.440 --> 29:51.200]  and let them know to start talking,
[29:51.200 --> 29:54.960]  but for all the new people coming in,
[29:54.960 --> 29:56.360]  being like, what the fuck is this?
[29:56.360 --> 29:59.660]  If you guys can just let them know, just be patient,
[29:59.660 --> 30:00.840]  and I'll be back in 10.
[30:16.810 --> 30:18.810]  I'm gonna go to the bar.
[30:18.810 --> 30:20.810]  Imagine that that was a six-mile road.
[30:20.810 --> 30:22.810]  You think that's what it would have been.
[30:22.810 --> 30:27.810]  You would see a stick come from 200 million in 2017
[30:27.810 --> 30:32.810]  to 428,600, and 2,820 white stick curve,
[30:34.210 --> 30:39.210]  or a solid rock, or a new mechanical
[30:39.850 --> 30:42.010]  in the night-view or the open space.
[30:42.010 --> 30:43.210]  It would be really well.
[30:43.210 --> 30:45.370]  It is one mechanical,
[30:45.890 --> 30:47.930]  and we track it in the night-view or open space,
[30:47.930 --> 30:50.570]  and it's doing well, and it's growing.
[30:50.570 --> 30:54.010]  So what you see here, and that's the origin of this chart,
[30:54.010 --> 30:56.730]  is not the opening of 2020,
[30:56.730 --> 30:59.770]  but the solid scale from 2019.
[30:59.770 --> 31:01.610]  Let's break that down.
[31:01.610 --> 31:05.850]  Now, we're seeing that as a fad gradient.
[31:06.890 --> 31:09.850]  It didn't continue on that trajectory.
[31:09.850 --> 31:12.970]  It became more and more complex,
[31:12.970 --> 31:15.610]  and we, it's flattened out.
[31:15.610 --> 31:19.090]  So let's take a look at the year of 2018,
[31:21.290 --> 31:26.410]  and that's a mechanical in the night-view
[31:26.410 --> 31:27.930]  or the open space.
[31:28.970 --> 31:31.450]  Whereas it's only in one category,
[31:31.450 --> 31:34.490]  more than two-thirds of the in-night-view supplements,
[31:34.490 --> 31:39.290]  20% almost, or you're selling it in tons,
[31:39.370 --> 31:42.810]  and that's all inflated,
[31:42.810 --> 31:44.010]  and we all hear about it,
[31:44.010 --> 31:47.610]  but it's all inflated by the mass market's conservative.
[31:47.610 --> 31:49.610]  So we get the tendency to think
[31:49.610 --> 31:52.090]  that it's just a lot of understanding.
[31:52.090 --> 31:54.490]  The pharmacy is the best for that,
[31:54.490 --> 31:56.650]  or the pharmacy has that kind of win-long,
[31:56.650 --> 31:57.770]  a little momentary,
[31:57.770 --> 32:00.090]  not having the competencies that are likely for their
[32:00.090 --> 32:01.210]  other ones.
[32:01.210 --> 32:03.530]  That's a solid category,
[32:03.530 --> 32:04.490]  and it's growing.
[32:04.490 --> 32:08.330]  It's three and 12% of the beverages
[32:08.490 --> 32:11.210]  that are being sliced and traded,
[32:11.210 --> 32:13.930]  just a negative 13% of the products
[32:13.930 --> 32:15.370]  that are being traded
[32:15.370 --> 32:17.130]  to the high-end distributors
[32:17.130 --> 32:19.050]  such as Nutel and so on.
[32:19.050 --> 32:20.730]  We have a lot of high-end.
[32:20.730 --> 32:22.250]  We have a lot of low-end distributors
[32:22.250 --> 32:25.290]  that do our survey information here.
[32:25.290 --> 32:27.850]  74% of the U.S. consumers
[32:27.850 --> 32:29.290]  have been distributed in the survey
[32:29.290 --> 32:30.090]  in the last year,
[32:30.090 --> 32:32.970]  74% of the consumers are familiar with CVD,
[32:32.970 --> 32:36.170]  37% of those who have been familiar
[32:36.250 --> 32:38.410]  with CVD charts have purchased CVD,
[32:38.410 --> 32:40.410]  and 21% of those who survey
[32:40.410 --> 32:42.410]  are familiar with CVD.
[32:42.410 --> 32:44.410]  Yes, that's a lot of people.
[32:44.410 --> 32:48.330]  So that's a lot of various numbers.
[32:48.330 --> 32:50.730]  We see those same numbers here.
[32:50.730 --> 32:53.130]  74% of the firms that have purchased one
[32:53.130 --> 32:56.010]  give you a tendency to 16%
[32:56.010 --> 32:58.970]  of those firms that have purchased
[32:58.970 --> 33:02.090]  in the 12 months prior to the survey.
[33:02.090 --> 33:03.530]  What's important about this chart,
[33:03.530 --> 33:04.330]  not for me,
[33:04.490 --> 33:06.250]  is that all of these numbers are true.
[33:06.250 --> 33:07.850]  Every single one of these numbers
[33:07.850 --> 33:10.090]  applies to a marginal wage survey
[33:10.090 --> 33:11.370]  or a premium average survey
[33:11.370 --> 33:13.290]  or a premium pointage survey.
[33:13.290 --> 33:15.850]  Things are going in the right direction.
[33:15.850 --> 33:17.130]  This is nice for you to look at.
[33:17.130 --> 33:18.090]  Nice to be interested.
[33:18.090 --> 33:18.890]  These are not signals.
[33:18.890 --> 33:20.410]  There are always survey respondents,
[33:20.410 --> 33:22.170]  but things are looking good
[33:22.170 --> 33:24.170]  for the industry.
[33:26.650 --> 33:30.410]  So, again, we didn't hit 100% growth rate
[33:30.410 --> 33:32.010]  by extra percent growth.
[33:32.090 --> 33:33.690]  What we're interested in is
[33:33.690 --> 33:34.730]  the people who are buying.
[33:34.730 --> 33:36.970]  So fewer people who are buying
[33:36.970 --> 33:39.930]  the frequency of the frequency
[33:39.930 --> 33:42.890]  of the data now and the usage frequency
[33:42.890 --> 33:45.290]  of the purchase rates and the usage frequency.
[33:45.290 --> 33:47.290]  Less people are paying
[33:47.290 --> 33:49.290]  and more people are purchasing.
[33:49.290 --> 33:50.890]  So we have a system of
[33:50.890 --> 33:52.250]  people who are buying
[33:52.250 --> 33:53.370]  and people who are trading
[33:53.370 --> 33:54.410]  and people who are selling
[33:54.410 --> 33:55.690]  and people who are trading now.
[33:55.690 --> 33:58.090]  We have a point of 119 survey.
[33:58.090 --> 34:00.090]  So we move up there.
[34:00.410 --> 34:02.410]  We did cover all the information,
[34:02.410 --> 34:04.410]  but still, you know,
[34:04.410 --> 34:06.330]  we're not able to go to the premium
[34:06.330 --> 34:08.330]  to the market.
[34:08.330 --> 34:11.930]  So, the problem is not really
[34:11.930 --> 34:13.130]  the reason that we're doing
[34:13.130 --> 34:14.170]  the survey.
[34:14.170 --> 34:16.170]  We had an 80% of consumers
[34:16.170 --> 34:18.970]  who paid more because
[34:18.970 --> 34:20.570]  they were taking care of COVID.
[34:20.570 --> 34:22.090]  70% of consumers were less
[34:22.090 --> 34:23.290]  because of COVID.
[34:23.290 --> 34:24.410]  So they can't speak to each other.
[34:24.410 --> 34:27.130]  Now, most consumers say that
[34:27.130 --> 34:29.610]  COVID had no impact on all consumers
[34:29.610 --> 34:30.970]  who were purchasing.
[34:30.970 --> 34:32.970]  It's mostly about financial concern
[34:32.970 --> 34:34.970]  according to our survey.
[34:34.970 --> 34:36.970]  We have a point of 105
[34:36.970 --> 34:38.970]  that increases the importance
[34:38.970 --> 34:40.970]  of their purchases because of financial concern.
[34:40.970 --> 34:42.970]  The hype made me wear a cop.
[34:42.970 --> 34:44.970]  And I have to wear a mask.
[34:44.970 --> 34:46.970]  Are we sitting here?
[34:46.970 --> 34:48.970]  We're supposed to be in 119.
[34:48.970 --> 34:50.970]  We're educating 25 kids.
[34:50.970 --> 34:52.970]  Our business partner is coming out.
[34:52.970 --> 34:54.970]  We're supposed to be in 119.
[34:54.970 --> 34:56.970]  Can we take masks out?
[34:56.970 --> 34:58.970]  Absolutely. That's why we're here.
[34:58.970 --> 35:00.970]  We can take masks off if you want.
[35:00.970 --> 35:05.650]  We might be live right now.
[35:05.650 --> 35:07.650]  Oh yeah? That's not good.
[35:07.650 --> 35:09.650]  Hey, what's up everybody?
[35:09.650 --> 35:11.650]  I had no idea that we're live.
[35:11.650 --> 35:13.650]  I was waiting on the gear.
[35:13.650 --> 35:15.650]  This is a huge expo.
[35:15.650 --> 35:17.650]  Obviously, it's the largest expo in the country.
[35:17.650 --> 35:19.650]  So we're trying to navigate
[35:19.650 --> 35:21.650]  and go around.
[35:21.650 --> 35:23.650]  I'm not sure if you can see me.
[35:23.650 --> 35:25.650]  I'm not sure if you can see me.
[35:25.650 --> 35:27.650]  I'm not sure if you can see me.
[35:27.650 --> 35:29.650]  I'm not sure if you can see me.
[35:29.650 --> 35:31.650]  So we're trying to navigate and go around.
[35:31.650 --> 35:33.650]  I'm not sure if you saw Dr. Andrea Holmes
[35:33.650 --> 35:35.650]  live talking
[35:35.650 --> 35:37.650]  about how important the
[35:37.650 --> 35:39.650]  Manners Collaboratives are to women.
[35:39.650 --> 35:41.650]  So let me get this setup.
[35:41.650 --> 35:43.650]  Hello everyone.
[35:43.650 --> 35:45.650]  Since we're live
[35:45.650 --> 35:47.650]  I'm just going to say hi.
[35:47.650 --> 35:49.650]  I'm Andrea Holmes, chief growth
[35:49.650 --> 35:51.650]  officer of Precision Plant Molecules.
[35:51.650 --> 35:53.650]  I'm also co-founder
[35:53.650 --> 35:55.650]  of Precision Plant Molecules.
[35:55.650 --> 35:57.650]  I'm also a university professor
[35:57.650 --> 36:02.650]  Nebraska and there I'm a chemistry professor as well as the director of cannabis studies.
[36:02.650 --> 36:08.450]  Hi guys, I'm Alex Rados. I work in sales for Precision Pimolecules and sell the things
[36:08.450 --> 36:12.650]  that she gets to produce for me. Try to keep her busy.
[36:12.650 --> 36:16.650]  So let's kind of go more into what you just were talking about. I think a lot of our viewers,
