[00:00.000 --> 00:00.840]  Damn it.
[18:31.890 --> 18:34.330]  That was magical, those years were magical, you know,
[18:34.330 --> 18:36.610]  like, yeah, that was my thing.
[18:36.610 --> 18:37.890]  It was just really rootsy, you know,
[18:37.890 --> 18:41.490]  reggae on the river was kind of a little different vibe,
[18:41.490 --> 18:42.850]  really fun, really fun,
[18:42.850 --> 18:45.250]  but the other one was a little bit more rootsy.
[18:45.250 --> 18:46.970]  I love reggae, big up.
[18:46.970 --> 18:48.290]  I mean, that's how I got my name
[18:48.290 --> 18:49.530]  is because on the mountain,
[18:49.530 --> 18:51.530]  I just bumped reggae all the time.
[18:51.530 --> 18:54.010]  Just reggae, reggae, reggae,
[18:54.010 --> 18:56.490]  just super positive, showing love.
[18:56.490 --> 18:58.090]  I mean, it'd be a rainy day out there.
[18:58.090 --> 18:59.690]  I'd just be playing reggae like,
[18:59.690 --> 19:02.370]  hey, what's up, how are you?
[19:02.370 --> 19:03.650]  Yeah, exactly, you know,
[19:03.650 --> 19:06.490]  like my boss actually gave me the name One Love.
[19:06.490 --> 19:08.410]  Like, and I was just kind of like,
[19:08.410 --> 19:10.050]  why do you keep calling me One Love?
[19:10.050 --> 19:12.130]  And he was like, because that's who you are, man.
[19:12.170 --> 19:15.250]  Like, play reggae all the time.
[19:15.250 --> 19:17.890]  You're obviously lit 24 seven.
[19:18.810 --> 19:21.850]  Oh no, he's like, oh, he knows, he knows.
[19:21.850 --> 19:23.890]  Exactly, I mean, he was my boss.
[19:23.890 --> 19:25.330]  He's like, you're super positive.
[19:25.330 --> 19:26.810]  He's like, you're one of the most positive people
[19:26.810 --> 19:27.650]  I've ever met.
[19:27.650 --> 19:29.250]  I mean, like, yeah, I mean,
[19:29.250 --> 19:31.970]  we'd have radios on the mountain, you know,
[19:31.970 --> 19:33.450]  I was a supervisor and he'd be like,
[19:33.450 --> 19:34.610]  you know, One Love, One Love.
[19:34.610 --> 19:36.530]  And so like, I mean,
[19:36.530 --> 19:38.810]  this was a whole crew of people calling me One Love
[19:38.810 --> 19:40.810]  and before I even embodied the name.
[19:40.850 --> 19:43.050]  And so like when the social media stuff,
[19:43.050 --> 19:45.930]  or like even, you know, in the trim scene back in the day,
[19:45.930 --> 19:48.210]  before it was a thing, you know,
[19:48.210 --> 19:51.250]  you couldn't write your name on anything, you know?
[19:51.250 --> 19:53.890]  So we always had our symbols.
[19:53.890 --> 19:57.130]  And so that One Love symbol was one of my symbols
[19:57.130 --> 20:01.210]  that I'd have on my, you know, my trim log or whatever.
[20:01.210 --> 20:03.770]  So yeah, I mean, blah, blah, blah.
[20:03.770 --> 20:04.610]  Sorry, I'm rambling.
[20:04.610 --> 20:06.410]  I just smoked a lot of herb.
[20:07.330 --> 20:08.290]  No, and it's okay.
[20:08.290 --> 20:09.410]  I'm gonna smoke with you too.
[20:09.450 --> 20:10.970]  You were not rambling at all.
[20:10.970 --> 20:12.730]  And I was, I was gonna ask you, you know,
[20:12.730 --> 20:14.210]  how you did get the name One Love
[20:14.210 --> 20:15.650]  because immediately when I saw it
[20:15.650 --> 20:17.770]  and then I saw your logo and the colors, I'm like,
[20:17.770 --> 20:20.370]  oh, you know, it's kind of like reggae head, I'm guessing.
[20:20.370 --> 20:21.210]  Oh yeah.
[20:21.210 --> 20:22.490]  Look at me stereotyping, but.
[20:22.490 --> 20:23.330]  Yeah.
[20:23.330 --> 20:26.610]  I'm glad you said you liked reggae and all this stuff.
[20:26.610 --> 20:30.090]  I mean, I was a grind ball shredder back in the day,
[20:30.090 --> 20:32.210]  like beard down to here.
[20:32.210 --> 20:34.490]  And I'm not saying people with long beards are grind ball.
[20:34.490 --> 20:38.210]  I'm just saying like dirty, not clean, dirty beard.
[20:39.210 --> 20:41.010]  I only had dreads cause it was nappy.
[20:41.010 --> 20:42.050]  It was a beaver tail.
[20:42.050 --> 20:43.730]  It wasn't like nice.
[20:43.730 --> 20:48.210]  I was a grind ball snowboarder, like shredded by.
[20:48.210 --> 20:51.210]  The original Wookiee, the original Wookiee.
[20:51.210 --> 20:53.370]  Yeah, like, yeah, just didn't care.
[20:53.370 --> 20:56.770]  I was like, wake up, shred, go to sleep, shred, party,
[20:56.770 --> 21:01.770]  shred, you know, like it was the lifestyle, you know.
[21:01.770 --> 21:02.610]  Definitely.
[21:02.610 --> 21:05.090]  They did scare me away from doing the,
[21:05.090 --> 21:08.170]  applying for that position because of the drug testing,
[21:09.130 --> 21:12.170]  so I didn't make it, but I did have a friend who did.
[21:12.170 --> 21:15.210]  And I did go and stay up at the lodging there.
[21:15.210 --> 21:17.490]  And that was a party, man.
[21:17.490 --> 21:19.730]  You ride during the day and then you party at night
[21:19.730 --> 21:22.850]  and you build weird shit to ride off of and picnic tables.
[21:22.850 --> 21:25.210]  And then you go and do it all again the next day.
[21:25.210 --> 21:26.050]  Exactly.
[21:26.050 --> 21:28.890]  And I fell in love with that culture, man.
[21:28.890 --> 21:31.370]  Like, you know, coming from the suburbs
[21:31.370 --> 21:34.330]  and just being kind of like a misguided youth
[21:34.330 --> 21:36.690]  and just kind of like not really sure what's up.
[21:37.650 --> 21:40.650]  The snowboarding scene was what, I loved it, you know,
[21:40.650 --> 21:43.690]  like I got sponsored eventually, so I got free decks,
[21:43.690 --> 21:47.610]  you know, like snowboard boots and like just,
[21:47.610 --> 21:51.010]  I mean, it was, I was good, but I wasn't like professional.
[21:51.010 --> 21:54.330]  Like I've entered a few contests and won some money
[21:54.330 --> 21:56.970]  and I was just like, but I'm not, I'm no one special
[21:56.970 --> 21:58.170]  when it comes to snowboarding.
[21:58.170 --> 22:00.930]  I like, I've beat myself up and I walked away
[22:00.930 --> 22:04.090]  from that life because of massive head drama.
[22:04.090 --> 22:07.770]  So like, I just, I love it, I live it.
[22:07.770 --> 22:11.450]  I moved to Colorado to be closer to it, you know what I mean?
[22:11.450 --> 22:12.890]  Like.
[22:12.890 --> 22:13.810]  Dedicated.
[22:13.810 --> 22:15.650]  It is a lifestyle though, man.
[22:15.650 --> 22:16.530]  It really is.
[22:16.530 --> 22:18.090]  Like you mentioned earlier, you know,
[22:18.090 --> 22:21.410]  go to the mountains or go surf, you know,
[22:21.410 --> 22:24.410]  they're still, but they're humbling.
[22:24.410 --> 22:27.930]  They give, they teach a certain perspective to people
[22:27.930 --> 22:31.890]  that you have to carry when you're in their environment.
[22:31.930 --> 22:34.250]  And I think that does carry over to a lot
[22:34.250 --> 22:36.570]  of like cannabis philosophy, because it's really humbling,
[22:36.570 --> 22:39.250]  man, I mean, one avalanche, one wrong jump,
[22:39.250 --> 22:42.930]  one, you know, ice patch, you could be just over.
[22:42.930 --> 22:46.210]  I've, I should have died a few times on the mountain.
[22:46.210 --> 22:47.890]  Knock on wood, I haven't.
[22:47.890 --> 22:49.690]  And I'm more humble for it.
[22:49.690 --> 22:53.730]  Same man, I mean, like, you just gave me goosebumps.
[22:53.730 --> 22:56.210]  I mean, I'm like, that's the only thing that scares me.
[22:56.210 --> 22:57.690]  I'm like, I don't fear much.
[22:57.690 --> 22:59.810]  I fear like the loss of my freedom
[22:59.810 --> 23:02.010]  and dying in an avalanche, you know, like,
[23:03.250 --> 23:04.970]  and then I was in Hawaii eating,
[23:04.970 --> 23:06.970]  you're getting eaten by a tiger shark.
[23:06.970 --> 23:09.130]  Yeah, that'd be the,
[23:09.130 --> 23:10.650]  that'd probably be the worst of the three.
[23:10.650 --> 23:12.010]  I don't know, but yeah.
[23:12.010 --> 23:13.810]  No man, those avalanches are scary.
[23:13.810 --> 23:16.490]  I've been in it and you're swimming for your life
[23:16.490 --> 23:17.970]  and praying just stops.
[23:17.970 --> 23:21.210]  And I mean, I'm grateful I'm still here and no,
[23:21.210 --> 23:23.250]  you know, nothing too serious, you know,
[23:23.250 --> 23:25.370]  like snowboarding and skateboarding,
[23:25.370 --> 23:26.570]  all those extreme sports,
[23:26.570 --> 23:29.490]  they call extreme sports for a reason.
[23:29.490 --> 23:31.250]  Like it's no joke.
[23:31.250 --> 23:34.610]  I mean, I used to skateboard, not break ankles,
[23:34.610 --> 23:36.690]  you know, like I've shattered stuff, you know,
[23:36.690 --> 23:39.130]  like, you know what's up.
[23:39.130 --> 23:40.090]  And that's the, you know,
[23:40.090 --> 23:43.650]  that's the craziness of where it is today.
[23:43.650 --> 23:46.010]  Like I, dude, I've got skateboarding.
[23:46.010 --> 23:48.970]  So I was more sponsored for skateboarding than snowboarding.
[23:48.970 --> 23:50.610]  Had the clothes, had the hookups.
[23:50.610 --> 23:52.530]  I've got my own boards here,
[23:52.530 --> 23:56.410]  but my best trick would not hold a fricking candle
[23:57.250 --> 23:59.730]  to like a flow person these days, you know?
[24:00.930 --> 24:04.570]  Like, so there's all the time in a place, but.
[24:04.570 --> 24:09.570]  My prime was like a 900 or a Cork 720,
[24:10.370 --> 24:14.290]  stale fish Cork 720, like something like to these days
[24:14.290 --> 24:16.650]  is standard, like super standard.
[24:16.650 --> 24:18.530]  Right, what the fuck?
[24:18.530 --> 24:20.330]  I mean, seriously, like what the,
[24:21.770 --> 24:24.450]  you know, give me a fucking painted red curb
[24:24.450 --> 24:26.770]  and I could have like hours of fun.
[24:26.770 --> 24:29.410]  Yeah, these days it's just like,
[24:29.410 --> 24:31.330]  the progression is skateboarding though.
[24:31.330 --> 24:33.850]  I've actually been really encouraged by, you know,
[24:33.850 --> 24:35.610]  at least the last five, 10 years,
[24:35.610 --> 24:37.290]  people have gotten creative.
[24:37.290 --> 24:40.450]  Like that's one thing I love about showing up to a park.
[24:40.450 --> 24:42.650]  And I'm like, I find the lines and I'm like, okay,
[24:42.650 --> 24:45.370]  how can I abuse the structure here?
[24:45.370 --> 24:46.290]  How can I skate it?
[24:46.290 --> 24:48.810]  How it's not meant to, but works like.
[24:48.810 --> 24:51.050]  Yeah, it's like Rodney Mullen offshoots, you know,
[24:51.050 --> 24:53.610]  like all respect to everybody's creativity,
[24:53.610 --> 24:55.370]  but the Godfather Rodney Mullen,
[24:55.370 --> 24:58.570]  like just like individuality, you know,
[24:58.570 --> 25:02.690]  like unique style, like not low.
[25:02.690 --> 25:05.090]  And then I'm like, yeah, that's an art,
[25:05.090 --> 25:06.410]  you know, it's a real art.
[25:07.330 --> 25:09.410]  It is, it is.
[25:09.410 --> 25:13.410]  And you know, cannabis definitely came through skateboarding
[25:13.410 --> 25:15.650]  for me and it came through snowboarding later.
[25:15.650 --> 25:18.210]  I was skating a lot more before snowboarding
[25:18.210 --> 25:21.050]  because I didn't have access terribly easy.
[25:21.050 --> 25:23.170]  I was about 45 minutes from the mountain.
[25:24.170 --> 25:25.690]  I remember sometimes, you know,
[25:25.690 --> 25:28.130]  my buddies went to like the nice school
[25:28.130 --> 25:29.290]  and they were on the ski bus.
[25:29.290 --> 25:31.850]  And if they couldn't go, we try to pull the switcheroo
[25:31.850 --> 25:34.730]  and I get up there on the ski bus to ride for a day.
[25:34.730 --> 25:36.050]  Oh, yeah.
[25:36.050 --> 25:38.570]  I'm Jesse, I'm Jesse.
[25:38.570 --> 25:40.610]  That's bad ass, see my school didn't have that.
[25:40.610 --> 25:42.210]  We just had to ditch like.
[25:43.850 --> 25:45.530]  He just said, yeah.
[25:45.530 --> 25:46.770]  And then I started knowing, you know,
[25:46.770 --> 25:48.290]  people that would drive up there
[25:48.290 --> 25:50.690]  because I didn't have a car that got up there, but.
[25:50.690 --> 25:52.170]  Yeah, I mean, that's pretty fun days.
[25:52.170 --> 25:55.290]  Like my closest mountain was Boreal
[25:55.290 --> 25:56.770]  and they had night skiing.
[25:56.770 --> 25:59.690]  And it was just a fun party, you know, wow.
[25:59.690 --> 26:02.410]  Yeah, it wasn't until later when I was adult
[26:02.410 --> 26:06.410]  and I had a decent job working for the audio company
[26:06.410 --> 26:08.570]  that I had mentioned earlier.
[26:08.570 --> 26:11.050]  They absolutely did not care.
[26:11.050 --> 26:13.490]  They knew if it was a powder day, I was gonna be gone.
[26:13.490 --> 26:16.170]  They're like, have I done what needs to be done?
[26:16.170 --> 26:18.530]  Yep, dude, see you in a couple of days if you want,
[26:18.530 --> 26:20.490]  just, you know, get the job done.
[26:20.490 --> 26:21.970]  That's where it's at.
[26:21.970 --> 26:23.650]  You're like, fuck it, I'm gonna go shred.
[26:23.650 --> 26:26.410]  Yeah, yeah, and then I had a friend,
[26:26.410 --> 26:28.010]  you know, best man at my wedding.
[26:28.010 --> 26:29.610]  He kind of had the same schedule too.
[26:29.610 --> 26:30.490]  He was an accountant.
[26:30.490 --> 26:34.050]  So as long as his, you know, stuff was on top, cool.
[26:34.050 --> 26:36.090]  We go and take off for a couple of days and just shred.
[26:36.090 --> 26:39.570]  Stevens Pass is where we did most of our writing, but.
[26:39.570 --> 26:42.210]  Yeah, that's, it's a fun spot.
[26:42.210 --> 26:43.970]  Just powder.
[26:43.970 --> 26:45.610]  Yeah, that's where I, yeah.
[26:45.610 --> 26:49.530]  That's where I almost died a few times, but good stuff.
[26:49.530 --> 26:51.290]  Yeah, man, it's fun.
[26:51.290 --> 26:56.130]  Yeah, so when did you decide to kind of grow cannabis
[26:56.130 --> 26:57.130]  or why did you decide?
[26:57.130 --> 26:58.810]  Was it just more or less for your personal
[26:58.810 --> 27:01.210]  or were you like, man, I need a summertime hobby
[27:01.210 --> 27:03.970]  to fuel my travel?
[27:03.970 --> 27:06.930]  I honestly never had to grow cannabis
[27:06.930 --> 27:11.250]  because I was always kind of moving and grooving.
[27:11.250 --> 27:13.410]  Like I was, you know, I was busy, you know,
[27:13.410 --> 27:16.610]  I've gotten plenty of like offers when I was young.
[27:16.610 --> 27:19.250]  They're like, hey man, wanna sit on my spot?
[27:19.930 --> 27:22.170]  And like just post up and see a guard dog.
[27:22.170 --> 27:24.890]  And I'm like, nah, like I'm gonna go party.
