[00:00.000 --> 00:15.100]  Cheers, everybody.
[27:30.620 --> 27:34.960]  And he's uh, which was this pack I bought which was the headband
[27:36.220 --> 27:38.220]  bubble gum that looks
[27:39.660 --> 27:45.740]  That's got a lot of potential and he started throwing in a bunch of other stuff, you know, like the hash plant
[27:46.440 --> 27:48.440]  13 times the bubble gum
[27:49.100 --> 27:50.300]  Wow
[27:50.300 --> 27:55.820]  So I have a bunch of bubble gum type stuff to go into now and to start. Oh and one more
[27:55.900 --> 27:57.900]  He gave me some regular seeds
[27:58.460 --> 28:00.460]  Which was uh
[28:01.020 --> 28:03.020]  Right here
[28:03.900 --> 28:05.900]  Which are
[28:06.940 --> 28:11.340]  The emerald triangle, okay pink and perks times bubble gum
[28:12.700 --> 28:18.380]  Just a few regular few regular seeds. I'm not even sure what the pink and perks is to be honest with you, but
[28:18.860 --> 28:23.100]  Yeah, i'm curious myself. I wonder what the pink is. It's are you using mails?
[28:23.100 --> 28:27.340]  Do I use mail yeah, are you saving
[28:29.740 --> 28:35.020]  Just to watch them out for a while, yeah, and most of his stuff is all feminized though, correct? Yeah
[28:35.740 --> 28:40.240]  That's why these were uh interesting to me the regs. Yeah regulars
[28:42.540 --> 28:46.140]  Now without being too much what
[28:46.620 --> 28:51.900]  What what is this bubble gum from th seeds, uh adam done
[28:53.020 --> 28:57.900]  He supposedly was the one who kind of uh brought it to amsterdam
[28:57.980 --> 28:59.980]  I'm, not saying like he's the one that bred it
[28:59.980 --> 29:04.700]  But he supposedly brought it to amsterdam and then for what I understand sold it to a bunch of seed banks
[29:05.260 --> 29:11.580]  But there's the indiana bubble gum and then there's something else and then some other story, right? I mean, I I don't know
[29:11.820 --> 29:17.020]  No, i'm curious the difference maybe these other gentlemen might know it seems like chad has a pretty good, uh,
[29:18.540 --> 29:20.540]  You seem to know about adams
[29:22.540 --> 29:26.540]  I yeah, well like any good strain. I know there's many stories
[29:26.620 --> 29:32.540]  There is the indiana bubble gum, which I hear a lot then I hear some people from ohio who's like all our bubble gum
[29:33.180 --> 29:35.260]  But I don't know if it's because of the bubble gum
[29:36.140 --> 29:41.980]  Which I hear a lot then I hear some people from ohio who's like all our bubble gum, um
[29:42.940 --> 29:47.100]  I imagine florida somewhere in the game, too. No, I don't know that for real, but it's gotta be
[29:47.820 --> 29:51.900]  Different. They wouldn't call it indiana versus just bubble gum then right?
[29:52.620 --> 29:57.180]  Right. Well, I think I you know, I think it's almost like strawberry koth like kyle kushman
[29:57.180 --> 30:00.780]  It's like kyle kushman didn't make that but he's the one who got it out
[30:00.940 --> 30:04.860]  And that's why I know adam dunn's and bubble gum to get together
[30:05.340 --> 30:09.020]  uh, just because there's some some seed banks over in
[30:09.800 --> 30:12.620]  Amsterdam that that's like their staple. That's the
[30:13.420 --> 30:17.900]  It's crazy. The dutch will actually work lines and sit there and stabilize things. So
[30:18.700 --> 30:24.540]  That that's one of them from over there, but I don't know cannabis fine. Have you ever had your experience with a bubble gum?
[30:26.540 --> 30:34.140]  No, I haven't and uh, i'm i'm of a i'm of a strong opinion of the whole amsterdam scene
[30:34.940 --> 30:38.140]  Uh from some books that i've read and a friend of mine
[30:38.780 --> 30:40.460]  um out of the
[30:40.460 --> 30:45.500]  hash smuggling era from the 1960s and 70s and 80s and uh
[30:47.660 --> 30:53.020]  Yeah, yeah, so that that's more I feel like as soon as you guys started talking about I was like, you know
[30:53.020 --> 30:55.020]  I think that's more east coast
[30:55.260 --> 30:59.440]  Um, but again, I have like a strong opinion on the whole amsterdam genetics
[31:00.000 --> 31:04.560]  And I I'd love to hear it if you feel like sharing it
[31:06.400 --> 31:10.160]  Yeah, yeah, so, um first, um
[31:11.520 --> 31:15.680]  Joseph p etri is his name. He's a good writer
[31:16.640 --> 31:18.640]  I know who that is
[31:18.800 --> 31:20.800]  the king of ash
[31:21.200 --> 31:25.060]  Yeah, so I follow his conversation
[31:25.760 --> 31:27.280]  on
[31:27.280 --> 31:29.280]  um
[31:29.500 --> 31:30.960]  Amsterdam
[31:30.960 --> 31:33.440]  Are you familiar with it? Have you read his book?
[31:34.160 --> 31:38.320]  I would if involving that guy i'd just say let's move on to the next topic
[31:39.680 --> 31:45.360]  To be completely honest, uh, okay. What do you have to say about joe pietri?
[31:47.520 --> 31:49.520]  A lot of
[31:50.960 --> 31:56.800]  A lot of his stories are unverifiable and he slings a lot of shit at an accredited stories
[31:57.680 --> 32:00.080]  Somewhere in the middle I imagine lies the truth
[32:01.840 --> 32:03.840]  I I I would
[32:04.240 --> 32:09.200]  find a fair opinion of that from what i've seen through the event scenes and
[32:10.400 --> 32:12.400]  Yeah, it's fair
[32:13.120 --> 32:17.920]  But he's he's also a person who was there more so than a lot of uh,
[32:18.320 --> 32:22.400]  he's he's gonna have a lot more firsthand knowledge than myself on things, but
[32:22.960 --> 32:29.200]  I i've just seen him sling shit about people who are well respected and so I I just don't touch that guy
[32:30.160 --> 32:32.160]  um
[32:32.800 --> 32:37.120]  So, yeah, sorry, sorry to cut you off. Sorry. I asked the question then i'm like nope
[32:37.680 --> 32:44.560]  but uh, no, no, that's why I presented that's why I presented the point of opinion before saying the opinion
[32:45.120 --> 32:47.840]  Yeah, go for it, man. I'm, sorry. I cut you off there. No, no, no
[32:47.920 --> 32:55.460]  I'm saying I sourced where I got it from first just to hear what you guys thought about him as as a contributor
[32:56.720 --> 33:00.400]  As well, that's why that's why I pre-faced, uh starting with that
[33:01.040 --> 33:06.400]  Um, but I do think that the amsterdam genetics are watered down. Um from
[33:07.280 --> 33:08.960]  Why when I heard?
[33:08.960 --> 33:14.100]  Joseph's, uh when I read joseph saying that that the that the genetics have been incepted
[33:14.900 --> 33:23.060]  By the federal government and that they were watering them down with the skunk lineages and the ruderalis lineages to get them to trigger earlier
[33:23.620 --> 33:24.900]  um
[33:24.900 --> 33:31.860]  Growing up here in oregon around the cannabis scenes i've seen i've never ordered seeds from amsterdam, but i've watched
[33:32.980 --> 33:37.300]  I mean a hundred different farms do it at this point, you know, and
[33:38.340 --> 33:43.620]  They I never saw good weed. I never saw strong genetics. I never saw true
[33:44.180 --> 33:47.700]  Like it always lacked luster. It always lacked. Uh
[33:48.820 --> 33:50.820]  resin and terpenes
[33:51.700 --> 33:57.800]  So when I heard joseph speak about the genetics, uh being altered out of amsterdam
[33:57.860 --> 34:04.900]  I was like well in my experience from what i've watched and all the seed packs out of amsterdam being farmed at different people's farms
[34:05.700 --> 34:12.020]  That's been my experience also down in new mexico. The farmers down there were using the amsterdam seed packs like
[34:12.580 --> 34:20.100]  Almost exclusively from what I could see when I uh first started seeing the outdoor scene down there a long time ago
[34:20.740 --> 34:23.860]  And so i've seen a lot of it and I just have never
[34:25.540 --> 34:27.540]  Never seen anything that I liked
[34:28.740 --> 34:31.620]  I'd have to agree a hundred percent with that
[34:31.780 --> 34:37.860]  Like I I do believe that a lot of those genetics are watered down and I think a lot of the companies have
[34:38.260 --> 34:45.460]  Through raids or whatnot lost the original stock lost the original parents and i've tried to recreate a lot of these things
[34:46.180 --> 34:48.100]  um, but yeah
[34:48.100 --> 34:50.500]  and and the white labeling too like I have a
[34:50.900 --> 34:54.820]  I I tend to have a distrust and this is probably where me and joe absolutely agree
[34:54.980 --> 34:59.060]  Is I tend to have a distrust of a lot of the companies out in spain?
[34:59.620 --> 35:02.740]  Uh, some of the ones in the netherlands just for white labeling
[35:03.220 --> 35:09.940]  um, we all know even in america how easy it is just to slap a name on a on a seed pack or a clone and
[35:10.020 --> 35:12.020]  Call it is what it is. So
[35:12.820 --> 35:14.820]  Yeah, man. I I
[35:15.620 --> 35:17.940]  Sorry, I went down that road. But yeah, I absolutely agree
[35:18.660 --> 35:20.660]  They are probably a little watered down
[35:21.700 --> 35:25.940]  Yeah, no, it's all right. It's all right. Yeah, we're that's what we're doing. It's going down roads right now
[35:26.340 --> 35:31.220]  Yep, and I see peter in here. He's all I packed up some indiana bubblegum today
[35:31.380 --> 35:37.060]  So come on peter come on the show, bro. It's your channel. You've got the key
[35:38.100 --> 35:40.100]  um
[35:45.140 --> 35:49.460]  Oh, we couldn't hear you there chef sometimes you're broken up a little yeah
[35:51.780 --> 35:54.580]  It looks good, but we were talking I was saying where
[35:55.300 --> 36:01.450]  You
[36:02.890 --> 36:04.890]  Bakes chefs know about
[36:08.970 --> 36:10.970]  Well
[36:11.050 --> 36:13.610]  I'll say i'll say this fine neighborhood
[36:14.010 --> 36:17.530]  Bubble gum seeds if you want those I told you I have so many seeds here
[36:17.770 --> 36:20.330]  I want to see a bunch of this stuff grown on your farm. So
[36:20.970 --> 36:23.370]  If you are interested in those bubble gum, they're yours
[36:25.050 --> 36:27.050]  Like the cake
[36:27.290 --> 36:29.290]  Okay, this is from uh
[36:29.530 --> 36:31.530]  weeds out in oregon, uh
[36:31.610 --> 36:35.150]  This is what I thought I recognized that uh those genetics
[36:37.130 --> 36:39.450]  Yeah, I got a few I got a few more but uh
[36:40.250 --> 36:43.050]  The ones I pulled out today was the cali burger
[36:44.090 --> 36:46.090]  the coconut milk
[36:46.490 --> 36:48.490]  and the banana bread
[36:48.490 --> 36:51.290]  Um most excited I think out of these three
[36:52.250 --> 36:57.050]  For the banana bread, which is the banana punch crust to the white truffle
[36:58.170 --> 37:00.170]  um
[37:02.890 --> 37:05.610]  Yeah, well I have it and
[37:07.530 --> 37:11.370]  Yeah, no, that's the cereal milk to the jungle cake gmo that's going to be fouled
[37:11.930 --> 37:13.930]  Oh speaking of the cake
[37:14.170 --> 37:16.570]  The jungle cake is in there and that's what?
[37:17.530 --> 37:18.490]  Yeah
[37:18.490 --> 37:20.490]  Yeah
[37:20.490 --> 37:25.610]  I'm gonna get shameless on here because you just mentioned. Oh, I was cutting you off there. Keep going
[37:28.170 --> 37:34.170]  This no, no, no worries the cereal milk has the snowman in there and I think that's the chem dog
[37:38.730 --> 37:42.730]  It's actually headband, but they call it the chem dog sour diesel
[37:44.090 --> 37:47.530]  Uh, that's one of the parentage in the grapestopper as well
[37:48.490 --> 37:54.650]  Um, but yeah, that's one of the things that I want to get into for outdoor this year I got some new gene stuff
[37:55.450 --> 37:57.930]  That i'm going to dig into as well
[37:58.650 --> 37:59.770]  as
[37:59.770 --> 38:01.130]  some stuff from
[38:01.130 --> 38:03.130]  rich on screen right there
[38:03.450 --> 38:05.530]  And some stuff from jason who is up
[38:06.330 --> 38:11.130]  Uh, and if you're watching shout out jason, I got a few of your packs here that i'm really interested about
[38:11.770 --> 38:13.270]  uh, the
[38:14.150 --> 38:19.110]  Lime sky jar obx for the jelly roll that's got a distinct story to it
[38:23.190 --> 38:24.790]  The pina
[38:24.790 --> 38:26.790]  guava jelly for the cherry
[38:27.910 --> 38:34.150]  Cherry west is pretty damn fire by itself. I've had some of that pina. Yeah a lot of people
[38:35.270 --> 38:42.550]  In the early finisher. I've seen a lot of good farmers work with that out here and then um something from k expected that
[38:43.510 --> 38:46.150]  Jason's been working as the lemon party bx
[38:47.110 --> 38:52.090]  Three that I feel so bad for the people that google that trying to find information
