[00:00.000 --> 00:05.760]  Make the connection.
[19:41.390 --> 19:43.390]  most of the rain May and then some
[19:43.390 --> 19:45.390]  shoulder rain
[19:46.110 --> 19:48.110]  in April or June
[19:48.110 --> 19:50.110]  and then it might dry up a bit in
[19:50.110 --> 19:52.110]  July and then
[19:52.110 --> 19:54.110]  late August, September
[19:54.110 --> 19:56.110]  even the beginning of October
[19:56.110 --> 19:58.110]  they get another kind of mild rainy
[19:58.110 --> 20:00.110]  season we think of it
[20:00.110 --> 20:02.110]  and then the summer
[20:02.110 --> 20:04.110]  starts really November,
[20:04.110 --> 20:06.110]  December
[20:06.110 --> 20:08.110]  that's the summer, November, December,
[20:08.110 --> 20:10.110]  January, February
[20:10.110 --> 20:12.110]  so December is almost
[20:12.110 --> 20:14.110]  unpleasant a lot
[20:14.830 --> 20:16.830]  people go away if they can
[20:16.830 --> 20:18.830]  they'll go to other parts because they just
[20:18.830 --> 20:20.830]  find it too much
[20:20.830 --> 20:22.830]  it's just intense
[20:22.830 --> 20:24.830]  they don't come out until 5 o'clock
[20:24.830 --> 20:26.830]  when the sun's about you get an hour of sunlight
[20:26.830 --> 20:28.830]  and it's not too intense
[20:28.830 --> 20:30.830]  but the rest of the day if they can be out in the sun
[20:30.830 --> 20:32.830]  they will be
[20:32.830 --> 20:34.830]  the field workers can't be there working
[20:34.830 --> 20:36.830]  they're covered up
[20:36.830 --> 20:38.830]  and it's a lot of work
[20:38.830 --> 20:40.830]  and the people I have the utmost respect
[20:40.830 --> 20:42.830]  for the people that work that fine
[20:43.550 --> 20:45.550]  I love going and spending 3-6 weeks
[20:45.550 --> 20:47.550]  at a time when I go down
[20:47.550 --> 20:49.550]  but I haven't been able to go this year
[20:49.550 --> 20:51.550]  so I'm sort of
[20:51.550 --> 20:53.550]  managing the farms through whatsapp
[20:53.550 --> 20:55.550]  and checking videos and pictures
[20:55.550 --> 20:57.550]  but it's great and I've been doing it
[20:57.550 --> 20:59.550]  for years with the same people
[20:59.550 --> 21:01.550]  so everybody's
[21:01.550 --> 21:03.550]  doing what they're doing for a while
[21:03.550 --> 21:05.550]  my day to day input's not that
[21:05.550 --> 21:07.550]  as much needed
[21:07.550 --> 21:09.550]  sometimes it might be they were starting to get
[21:09.550 --> 21:11.550]  this, that or the other
[21:12.270 --> 21:14.270]  what's this bug, let's look it up
[21:14.270 --> 21:16.270]  do we need to do anything
[21:16.270 --> 21:18.270]  so just general
[21:18.270 --> 21:20.270]  general inquiry
[21:20.270 --> 21:22.270]  which is fun just to kind of troubleshoot
[21:22.270 --> 21:24.270]  it like that but I totally
[21:24.270 --> 21:26.270]  miss being there in the fields
[21:26.270 --> 21:28.270]  that's a beautiful
[21:28.270 --> 21:30.270]  place to be if you love fields of grass
[21:30.270 --> 21:32.270]  that's the place you want to be
[21:32.270 --> 21:34.270]  and doing selection perhaps
[21:34.270 --> 21:36.270]  is what really makes it
[21:36.270 --> 21:38.270]  most interesting and once you've been
[21:38.270 --> 21:40.270]  making a few rooms with different
[21:40.990 --> 21:42.990]  new lines to try out
[21:42.990 --> 21:44.990]  new tricks to try out and get things in the ground
[21:44.990 --> 21:46.990]  so I'm watching it all
[21:46.990 --> 21:48.990]  and directing it all but I can't touch
[21:48.990 --> 21:50.990]  or smell it you know
[21:50.990 --> 21:52.990]  I can see it but I can't touch it or smell it
[21:52.990 --> 21:54.990]  it's bizarre that way
[21:54.990 --> 21:56.990]  but it's still
[21:56.990 --> 21:58.990]  great because that's most of the year
[21:58.990 --> 22:00.990]  that's what I was doing before I'd only be down there
[22:00.990 --> 22:02.990]  three to four months a year actually
[22:02.990 --> 22:04.990]  at the farm
[22:04.990 --> 22:06.990]  but this year not being able to go there's just
[22:06.990 --> 22:08.990]  been a bit odd but I know people
[22:09.710 --> 22:11.710]  have bigger problems so I'm not sweating it
[22:19.710 --> 22:21.710]  I was just going to say it's interesting Steve
[22:21.710 --> 22:23.710]  that you mentioned that about the intensity of the light
[22:23.710 --> 22:25.710]  and the crops finishing quicker
[22:25.710 --> 22:27.710]  because in my experience
[22:27.710 --> 22:29.710]  well when people
[22:29.710 --> 22:31.710]  know that I consult in Columbia
[22:31.710 --> 22:33.710]  especially lighting companies they try to get me
[22:33.710 --> 22:35.710]  to refer them to clients down there
[22:35.710 --> 22:37.710]  and so in my opinion I think
[22:38.430 --> 22:40.430]  that's a really tough sell because
[22:40.430 --> 22:42.430]  those 12 hours between 6 in the morning
[22:42.430 --> 22:44.430]  and 6 in the evening
[22:44.430 --> 22:46.430]  the light is so intense
[22:46.430 --> 22:48.430]  that if the grower is taking care
[22:48.430 --> 22:50.430]  of the plants correctly
[22:50.430 --> 22:52.430]  and in terms of temperature they're in the right region
[22:52.430 --> 22:54.430]  the amount of growth that happens
[22:54.430 --> 22:56.430]  in that 12 hours is so explosive
[22:56.430 --> 22:58.430]  that it's really hard to sell a grower
[22:58.430 --> 23:00.430]  on supplemental lighting
[23:00.430 --> 23:02.430]  to light another 6 hours
[23:02.430 --> 23:04.430]  you know to size up the plants
[23:04.430 --> 23:06.430]  I've never ever had indoor
[23:07.150 --> 23:09.150]  I think that's what I finished in the field
[23:09.150 --> 23:11.150]  in the field almost anywhere
[23:11.150 --> 23:13.150]  anywhere 45 degrees latitude
[23:13.150 --> 23:15.150]  or south in a good year
[23:15.150 --> 23:17.150]  you can do dynamite outside
[23:17.150 --> 23:19.150]  you know dynamite
[23:19.150 --> 23:21.150]  and it's really matching the genetics
[23:21.150 --> 23:23.150]  to the site makes all the difference
[23:23.150 --> 23:25.150]  and some sites are just more accepting of more types
[23:25.150 --> 23:27.150]  you know
[23:27.150 --> 23:29.150]  so dry season
[23:29.150 --> 23:31.150]  grasslands down there in the dry season
[23:31.150 --> 23:33.150]  you can just do anything
[23:33.150 --> 23:35.150]  so it'll be fun
[23:35.870 --> 23:37.870]  I'm hoping that you'll be willing to join me
[23:37.870 --> 23:39.870]  the next edition
[23:39.870 --> 23:41.870]  something I've been developing for a while
[23:41.870 --> 23:43.870]  but to have a living library show
[23:43.870 --> 23:45.870]  where we time out
[23:45.870 --> 23:47.870]  everything we've got in the library
[23:47.870 --> 23:49.870]  some stuff takes 9 months to flower
[23:49.870 --> 23:51.870]  on 12-12
[23:51.870 --> 23:53.870]  like real equatorial stuff
[23:53.870 --> 23:55.870]  and we've got other stuff that finishes in 6 weeks
[23:55.870 --> 23:57.870]  when you put a cutting out
[23:57.870 --> 23:59.870]  so we want to time the entire library
[23:59.870 --> 24:01.870]  to finish in the same week
[24:01.870 --> 24:03.870]  let's say the last week of November
[24:04.590 --> 24:06.590]  or the first week of December
[24:06.590 --> 24:08.590]  so you can come over and see
[24:08.590 --> 24:10.590]  all of Asia
[24:10.590 --> 24:12.590]  all of Africa
[24:12.590 --> 24:14.590]  all of North America
[24:14.590 --> 24:16.590]  all these blocks of what's going on
[24:16.590 --> 24:18.590]  including him
[24:18.590 --> 24:20.590]  so it'll be really fun
[24:20.590 --> 24:22.590]  and I'm going to invite anybody
[24:22.590 --> 24:24.590]  that's really into cannabis
[24:24.590 --> 24:26.590]  I want them to come and see it
[24:26.590 --> 24:28.590]  because it's such an effort to put this shit together
[24:28.590 --> 24:30.590]  you want everybody that could possibly
[24:30.590 --> 24:32.590]  that's what I need
[24:33.310 --> 24:35.310]  to come and see that
[24:35.310 --> 24:37.310]  everything alive
[24:37.310 --> 24:39.310]  one week just to go through it all
[24:39.310 --> 24:41.310]  before it's cut
[24:41.310 --> 24:43.310]  I'm really sure
[24:43.310 --> 24:45.310]  we can put it together
[24:45.310 --> 24:47.310]  for next
[24:47.310 --> 24:49.310]  first week of December
[24:49.310 --> 24:51.310]  but this year
[24:51.310 --> 24:53.310]  we're testing more
[24:53.310 --> 24:55.310]  additions to the library
[24:55.310 --> 24:57.310]  let's say that we haven't done
[24:57.310 --> 24:59.310]  the timings on
[24:59.310 --> 25:01.310]  so once we have the timings done
[25:02.030 --> 25:04.030]  we'll be doing it for next year
[25:04.030 --> 25:06.030]  so next year
[25:06.030 --> 25:08.030]  a month before Christmas
[25:08.030 --> 25:10.030]  people wanted to come down and see that
[25:10.030 --> 25:12.030]  I would love to extend the invitation
[25:12.030 --> 25:14.030]  to anybody that tells me
[25:14.030 --> 25:16.030]  that they really need to see it
[25:16.030 --> 25:18.030]  I can understand that
[25:18.030 --> 25:20.030]  I'd love to see them all timed at the same time
[25:20.030 --> 25:22.030]  where you have to sequence your planting
[25:22.030 --> 25:24.030]  like you dial it all in
[25:24.030 --> 25:26.030]  so they all finish
[25:26.030 --> 25:28.030]  terribly the hardest part
[25:28.030 --> 25:30.030]  because otherwise
[25:30.750 --> 25:32.750]  it's just about
[25:32.750 --> 25:34.750]  doing it backwards
[25:34.750 --> 25:36.750]  and timing is everything
[25:36.750 --> 25:38.750]  I think the experience
[25:38.750 --> 25:40.750]  will be live
[25:40.750 --> 25:42.750]  the people that have contributed to this million seed search
[25:42.750 --> 25:44.750]  started a couple years ago
[25:44.750 --> 25:46.750]  and built up this library
[25:46.750 --> 25:48.750]  so it's been a huge hassle
[25:48.750 --> 25:50.750]  to get all the permissions
[25:50.750 --> 25:52.750]  and quotas that we need to plant
[25:52.750 --> 25:54.750]  psychoactive plants
[25:54.750 --> 25:56.750]  so we have to show the R&D
[25:56.750 --> 25:58.750]  we might ask if we want to test
[25:59.470 --> 26:01.470]  and they'll say you can test these 20
[26:01.470 --> 26:03.470]  or they'll start you out with something like that
[26:03.470 --> 26:05.470]  and you're like ahhh
[26:05.470 --> 26:07.470]  so then you go to next year
[26:07.470 --> 26:09.470]  and you apply it
[26:09.470 --> 26:11.470]  and say hey see what I'm doing
[26:11.470 --> 26:13.470]  I need to plant the rest of these
[26:13.470 --> 26:15.470]  so I can get them on known quantities
[26:15.470 --> 26:17.470]  so it's really
[26:17.470 --> 26:19.470]  it's working with one arm tied behind your back
[26:19.470 --> 26:21.470]  it's not like I just got a field and went to work
[26:21.470 --> 26:23.470]  I would have accomplished
[26:23.470 --> 26:25.470]  a hell of a lot by now
[26:25.470 --> 26:27.470]  but it's really been an uphill battle
[26:28.190 --> 26:30.190]  and it's been working
[26:30.190 --> 26:32.190]  in a reluctant back ass ridge regulations
[26:32.190 --> 26:34.190]  which is the world over
[26:34.190 --> 26:36.190]  it's in every country
[26:36.190 --> 26:38.190]  no matter where I go
[26:38.190 --> 26:40.190]  who I speak to
[26:40.190 --> 26:42.190]  we're all constrained by something
[26:42.190 --> 26:44.190]  there's this
[26:44.190 --> 26:46.190]  to get to do it
[26:46.190 --> 26:48.190]  in some level
[26:48.190 --> 26:50.190]  it's like fuck
[26:50.190 --> 26:52.190]  it is worth it
[26:52.190 --> 26:54.190]  just to have it
[26:54.190 --> 26:56.190]  the living library
[26:56.910 --> 26:58.910]  I just have to
[26:58.910 --> 27:00.910]  that's a bucket list
[27:00.910 --> 27:02.910]  basically it's a bucket list item
[27:02.910 --> 27:04.910]  and the only way I could legally do it
[27:04.910 --> 27:06.910]  was getting the license and everything
[27:06.910 --> 27:08.910]  I wanted to keep a living library
[27:08.910 --> 27:10.910]  started every two weeks
[27:10.910 --> 27:12.910]  so that no matter what time of year
[27:12.910 --> 27:14.910]  you visited
[27:14.910 --> 27:16.910]  you could see and get the data
[27:16.910 --> 27:18.910]  I've been finishing in those conditions
[27:18.910 --> 27:20.910]  because the different months are a little different
[27:20.910 --> 27:22.910]  and the
[27:22.910 --> 27:24.910]  if it wasn't to do with quotas
[27:25.630 --> 27:27.630]  I would have done that long ago
[27:27.630 --> 27:29.630]  but the quota bullshit is a real hold up
[27:29.630 --> 27:31.630]  down there
[27:31.630 --> 27:33.630]  fascinating
[27:33.630 --> 27:35.630]  yeah the operation
[27:35.630 --> 27:37.630]  in Bechata
[27:37.630 --> 27:39.630]  they had a team of
[27:39.630 --> 27:41.630]  old cultivators, collectors
[27:41.630 --> 27:43.630]  that were from Cali
[27:43.630 --> 27:45.630]  and
[27:45.630 --> 27:47.630]  they had brought in all the lines
[27:47.630 --> 27:49.630]  to start doing the hybridization process
[27:49.630 --> 27:51.630]  there so they could start to work
[27:51.630 --> 27:53.630]  because they wanted to work with
[27:54.350 --> 27:56.350]  indigenous stock primarily
[27:56.350 --> 27:58.350]  and a lot of it was with botanical preservation
[27:58.350 --> 28:00.350]  and so that group was called the 8-fold
[28:00.350 --> 28:02.350]  and they had
[28:02.350 --> 28:04.350]  a huge preservation project
[28:04.350 --> 28:06.350]  for all botanical plants period
[28:06.350 --> 28:08.350]  so I want to say
[28:08.350 --> 28:10.350]  they had picked up maybe 2 million acres
[28:10.350 --> 28:12.350]  and I think 600,000 of them
[28:12.350 --> 28:14.350]  were set up for
[28:14.350 --> 28:16.350]  a botanical preservation
[28:16.350 --> 28:18.350]  and they had a real good buy in from
[28:18.350 --> 28:20.350]  all the old shaman
[28:20.350 --> 28:22.350]  because they were going to be able to start to
[28:23.070 --> 28:25.070]  hold land in fixed form
[28:25.070 --> 28:27.070]  so that it didn't get deforested
[28:27.070 --> 28:29.070]  so they could start to really put the effort
[28:29.070 --> 28:31.070]  into understanding what was the
[28:31.070 --> 28:33.070]  various plants
[28:33.070 --> 28:35.070]  that the Colombians had historically used
[28:35.070 --> 28:37.070]  for medicinal purposes
[28:37.070 --> 28:39.070]  and
[28:39.070 --> 28:41.070]  from being from the US
[28:41.070 --> 28:43.070]  I just felt so ignorant
[28:43.070 --> 28:45.070]  because we just don't operate
[28:45.070 --> 28:47.070]  like that
[28:47.070 --> 28:49.070]  we don't have that holistic
[28:49.070 --> 28:51.070]  connection to plants that they do
[28:51.790 --> 28:53.790]  the rainforest was this
[28:53.790 --> 28:55.790]  basket of wealth that they were able to
[28:55.790 --> 28:57.790]  draw from
[28:57.790 --> 28:59.790]  and for us where we've been bombarded
[28:59.790 --> 29:01.790]  with pharmacological
