[00:00.000 --> 00:02.000]  Let's see
[28:23.500 --> 28:27.460]  It doesn't germinate and you're not gonna find something that you want to continue to grow
[28:28.100 --> 28:31.060]  That's my opinion obviously, but I feel that way
[28:32.060 --> 28:37.740]  Have you noticed that stuff expresses itself at 5,000 feet like, you know
[28:37.740 --> 28:43.700]  have you compared like someone who ran your genetics at an indoor grow in LA at basically sea level versus
[28:44.540 --> 28:46.540]  like is there what's
[28:47.300 --> 28:50.420]  What's the plant doing at 5,000 feet maybe differently?
[28:51.140 --> 28:54.500]  You know, I don't I don't know that there's any real data on
[28:55.300 --> 28:57.020]  altitude I
[28:57.020 --> 29:01.500]  Want to think there is I think that you know, if you just look at you know, the
[29:02.500 --> 29:08.820]  Evolution of cannabis, you know, like canvas is from high altitude, you know 8,000 9,000. Yeah, I think it's
[29:14.220 --> 29:17.580]  Like like one obvious I'm thinking outdoor now
[29:17.580 --> 29:20.380]  But like I think UV intensity would be a big one, right?
[29:20.380 --> 29:24.380]  Like I know when I grew up in Topanga where it's at elevation
[29:24.380 --> 29:27.020]  it was like that stuff was waxy and just like
[29:28.220 --> 29:30.220]  fighting the Sun
[29:30.420 --> 29:32.420]  Yeah
[29:32.780 --> 29:36.020]  Elevation but also atmospheric pressure I think is a big one
[29:36.620 --> 29:39.020]  The humidity is huge as well
[29:39.020 --> 29:47.140]  So huge the crazy amount of humidity in California compared to Colorado like my room right now my little tent sitting at like 30%
[29:47.140 --> 29:51.460]  And I'm struggling to keep it at 30% humidity. It's dry, right?
[29:51.620 --> 29:54.740]  Whereas California, I mean they're using dehuse
[29:55.820 --> 30:02.020]  So, you know, you'll I see a lot of differences between LA and Colorado
[30:03.660 --> 30:05.460]  Just in the structure
[30:05.460 --> 30:08.140]  the you know, I don't know density I
[30:08.980 --> 30:13.500]  Oftentimes see Colorado and in all reality. I see Colorado is bigger buds
[30:15.500 --> 30:20.700]  Yeah, there's something that California and the humidity does to keep those like air volatile turkeys
[30:21.460 --> 30:23.980]  You know and that's just like do we feel yeah
[30:23.980 --> 30:29.060]  I mean tell a lot easier to cure when your humidity is at 50 or 60 percent all the time that it is when you're
[30:29.060 --> 30:33.620]  You know, literally I think it's like 10% humidity out today. It's like yeah, you my little
[30:34.060 --> 30:38.540]  you really gotta you know dial in your dry room because you know you
[30:39.340 --> 30:42.620]  You don't have a dialed-in room where you're not doing anything to it
[30:42.620 --> 30:47.380]  You hang up, you know, you hang a plan up here in Colorado three days later. It's crispy
[30:47.460 --> 30:54.820]  You know like you volatilized a lot of you know those Turks and you haven't got a proper cure, you know on it
[30:54.820 --> 30:57.420]  you know that that low and slow, you know has
[30:58.020 --> 31:01.020]  definitely something to do with not only you know the smell and
[31:01.740 --> 31:04.100]  you know the smoke quality, but also, you know the
[31:04.860 --> 31:07.860]  The actual feel of the but you know
[31:07.860 --> 31:12.380]  Like when you get something that's sticky and you know, like the old school heads, you know
[31:12.380 --> 31:15.460]  They stick a blood on the wall, you know and it sticks. It's like those
[31:15.700 --> 31:21.900]  There's something to the humidity in California that like you don't see that here you got to be really dialed
[31:21.900 --> 31:27.940]  You know an indoor environments indoor environment like if you got a dialed-in door environment in Colorado, you know dialed-in door environment in LA
[31:28.580 --> 31:30.780]  Realistically, they should be the same, you know
[31:30.780 --> 31:37.140]  If you're going in the same get Vitas or LEDs and you got your humidity dialed and you know, you're you know
[31:37.140 --> 31:42.460]  Your VPD all set your soil everything, you know, like you should see comparable product, you know
[31:42.460 --> 31:48.100]  But outdoors really where you see the difference and you know, the the Sun is a totally different animal at you know
[31:48.100 --> 31:55.620]  I have a sphere and at altitude, you know, then from sea level to 5,000 feet like you can grow the same strain and
[31:56.140 --> 32:00.380]  It looks completely different on the shelf, you know or in your sack. So
[32:01.420 --> 32:03.100]  there's
[32:03.100 --> 32:07.140]  There's something to the altitude. There's something to the environment. You know, I think we all agree on that
[32:07.900 --> 32:09.900]  What are you using to build your soils?
[32:10.020 --> 32:12.020]  What are you using to build your soils
[32:12.420 --> 32:14.500]  Like is there a certain method that you're taking?
[32:14.980 --> 32:19.540]  Like for instance, I really follow more like the soil food web. I'm trying to build that up
[32:19.540 --> 32:23.620]  Yeah, is that more of your like kind of guiding principle? Yeah, I mean I
[32:24.660 --> 32:30.460]  There's a you know, good talk on Thursday about microscopes and everything. You know, I have a microscope but
[32:31.300 --> 32:33.300]  You know, I do think that
[32:33.820 --> 32:38.180]  Building your soil, you know, like for me I use a lot of compost and I use a lot of minerals
[32:38.900 --> 32:43.840]  You know to reamend and you know to keep my my soil biome happy
[32:44.420 --> 32:48.900]  Lots of organic matter for it for it to eat and then lots of you know
[32:49.780 --> 32:55.540]  rocks and minerals to provide the nutrition, you know that that you need so
[32:56.740 --> 32:58.580]  when I
[32:58.580 --> 33:04.860]  Just quickly is your own setup an indoor living soil or a greenhouse or an outdoor?
[33:08.660 --> 33:14.580]  Stuff are you know, I've been growing in the same like I don't till the soil in any of my outdoor
[33:15.500 --> 33:21.500]  Environments I've literally just replant right next to the plant year after year. I think I'm 10 years at one spot
[33:22.420 --> 33:24.820]  That and I don't do anything at this point
[33:24.820 --> 33:29.340]  Like I don't you know, I aside from a few top dresses of you know
[33:29.340 --> 33:34.900]  Maybe some craft blend from from building soil and you know a little compost addition
[33:34.900 --> 33:41.580]  You know, I I feel like it's just churning and burning and you know, I keep heavy mulch all the time
[33:41.780 --> 33:47.300]  You know, I mulch through the winter and that keeps all the biology happy at least on my outdoor spots
[33:47.300 --> 33:52.700]  You know my my indoor, you know, I have smaller containers, you know for living. So I've grown 30 gallon pots
[33:53.980 --> 33:58.580]  So that's what I mean, I guess that's maybe that's not small for most growers
[33:58.580 --> 34:01.900]  But you know the bigger volume of soil that you can get living
[34:02.740 --> 34:04.740]  living organics the better
[34:04.900 --> 34:08.380]  So, you know my my 30 gallon pots I have to amend
[34:09.660 --> 34:13.420]  you know every so often and it's really just compost and
[34:14.100 --> 34:17.940]  you know some top dresses of some, you know crustacean meals and
[34:18.900 --> 34:21.060]  That's really it. You know, I am
[34:22.420 --> 34:28.100]  You know in in the growth cycle. I add some kelp meals and alfalfa meal as top dress
[34:28.100 --> 34:30.440]  So I don't really mix that into my soil that often
[34:30.960 --> 34:34.160]  Because I am making you know, alfalfa teas or kelp teas or
[34:34.840 --> 34:38.640]  Extracts I should say I'm not really brewing much but you know really
[34:39.960 --> 34:45.160]  Top dressing heavily with those and just letting the worms and the biology eat that up
[34:45.920 --> 34:47.920]  underneath the mulch layer, so
[34:48.400 --> 34:51.360]  Keep it pretty simple. I definitely I
[34:52.360 --> 34:56.200]  Can't even remember the last time I got a soil test of my indoor
[34:57.200 --> 35:00.360]  Soil I probably should do that more often but
[35:01.040 --> 35:05.120]  You know soil tests are super helpful if you're trying to diagnose a problem
[35:05.120 --> 35:10.480]  But you know if your plants are happy and loving it and I'm just kind of continuing to do what I do
[35:11.920 --> 35:17.160]  And then greenhouse it's kind of a nice hybrid of that I grow raised beds greenhouse
[35:18.040 --> 35:19.480]  and
[35:19.480 --> 35:25.360]  They you know, I tend to burn through my organic matter really fast in the greenhouse. I don't know if it's because it's
[35:26.520 --> 35:34.280]  The plants are super vigorous in there compared to you know outdoor and my indoor they have you know that perfect
[35:34.720 --> 35:37.760]  You know, I keep a little humidity in there. They got that perfect environment
[35:37.760 --> 35:41.760]  so I do have to add in lots of compost every year in my
[35:42.320 --> 35:44.320]  my greenhouse beds, so
[35:45.240 --> 35:49.440]  You know try to be as local as possible with the compost but you know
[35:50.040 --> 35:53.440]  There's not a lot of great sources here in Colorado for compost. So
[35:54.240 --> 36:00.680]  If I'm going for some sort of dairy compost, you know, I'll go with Malibu if I'm trying to go with you know more
[36:01.560 --> 36:05.960]  Woody kind of fish compost, you know, I'll go with on a mountain
[36:07.400 --> 36:09.760]  But you know, I try to keep those locals possible
[36:09.760 --> 36:16.880]  I compost in my house, but I can't produce enough volume to really amend all of my beds every single time
[36:16.880 --> 36:18.880]  you know, so
[36:19.160 --> 36:21.160]  Keep it simple, you know
[36:21.480 --> 36:23.360]  Compost minerals
[36:23.360 --> 36:26.320]  And just kind of judge the plants you what it needs
[36:27.320 --> 36:32.760]  And then obviously get a soil test if necessary. So it's kind of how I read them from cycle to cycle
[36:34.000 --> 36:36.000]  Obviously I have worms too
[36:36.080 --> 36:39.240]  They go through cycles in my indoor
[36:40.080 --> 36:48.360]  30 gallons where I don't know if the worms get so dense that they start to die off or if I just have
[36:48.800 --> 36:49.880]  imbalances
[36:49.880 --> 36:51.880]  In what they like
[36:52.520 --> 36:56.440]  Because I end up having to add worms probably once a year
