[00:01.920 --> 00:03.800]  What's up, Podcast World?
[15:09.200 --> 15:12.560]  She just turned 50 recently
[15:12.560 --> 15:13.920]  and there were pictures of her online.
[15:13.920 --> 15:16.640]  I'm not gonna comment on the pictures, but that did happen.
[15:16.640 --> 15:19.800]  Oh man, doesn't that kind of make you feel old?
[15:19.800 --> 15:21.240]  I wasn't gonna go there.
[15:21.240 --> 15:23.960]  That did come to cross my mind, but all right.
[15:23.960 --> 15:25.760]  We've been talking about,
[15:25.800 --> 15:27.920]  Jesse and I were talking about building a room
[15:27.920 --> 15:28.880]  a couple of episodes back
[15:28.880 --> 15:30.080]  and we're talking about planning your grow room.
[15:30.080 --> 15:32.280]  We talked about selecting your space,
[15:32.280 --> 15:34.120]  being a responsible grower.
[15:34.120 --> 15:35.600]  On this episode, we're gonna talk more about building
[15:35.600 --> 15:36.640]  and setting up your grow.
[15:36.640 --> 15:38.560]  We're gonna discuss grow tents a little bit
[15:38.560 --> 15:40.840]  or those hydro huts or whatever you wanna call them.
[15:40.840 --> 15:42.400]  And maybe if we have enough time,
[15:42.400 --> 15:43.520]  we're already 15 minutes in.
[15:43.520 --> 15:44.360]  If we have enough time,
[15:44.360 --> 15:48.760]  I will try to tackle that $500 grow room question.
[15:48.760 --> 15:49.760]  That's gonna be a challenge,
[15:49.760 --> 15:53.200]  but basically do everything that we're doing
[15:53.200 --> 15:54.840]  and go much smaller.
[15:54.960 --> 15:56.640]  We don't even get to pots and soil and stuff
[15:56.640 --> 15:57.640]  on the stuff that I've got written
[15:57.640 --> 15:59.600]  and we've got five pages of stuff typed out.
[15:59.600 --> 16:01.320]  So this is gonna be a lot.
[16:03.240 --> 16:04.400]  We wrapped up the last grow episode
[16:04.400 --> 16:06.320]  with the talk about deciding
[16:06.320 --> 16:07.800]  how much light to use in your space.
[16:07.800 --> 16:09.480]  And we kind of talked about
[16:09.480 --> 16:10.520]  where you're gonna hang the lights
[16:10.520 --> 16:13.240]  and where you're gonna, my phone is making noise.
[16:13.240 --> 16:15.600]  That's a poor podcast move right there.
[16:15.600 --> 16:17.880]  Oh, it's already, nope.
[16:17.880 --> 16:20.520]  Yeah, it was on silent and I don't know what that was.
[16:20.520 --> 16:21.720]  All right.
[16:21.720 --> 16:23.640]  Yeah, talking about where you're gonna hang the lights,
[16:23.640 --> 16:24.560]  how you're gonna fit the humidity.
[16:25.280 --> 16:26.120]  We talked a little bit
[16:26.120 --> 16:27.320]  about bringing fresh air into the room.
[16:27.320 --> 16:29.160]  So now let's kind of talk about building a room,
[16:29.160 --> 16:30.000]  which is kind of helpful
[16:30.000 --> 16:33.320]  because Jesse has a lot of experience in this.
[16:33.320 --> 16:34.760]  Now you need to make a clean grow space
[16:34.760 --> 16:37.080]  that allows you to control the light cycles,
[16:37.080 --> 16:38.320]  the temperature during the day,
[16:38.320 --> 16:39.400]  the temperature during the night,
[16:39.400 --> 16:41.320]  and you need to control the humidity.
[16:41.320 --> 16:43.640]  And it's also ideal to have a lot of control
[16:43.640 --> 16:46.120]  over the air going in and out of the grow space.
[16:46.120 --> 16:48.280]  If you're using an extra bedroom or a closet,
[16:48.280 --> 16:49.880]  you'll have all the walls already built,
[16:49.880 --> 16:52.120]  but you'll need to work around the existing room.
[16:52.120 --> 16:54.360]  Jesse was talking about working in a brick building
[16:55.120 --> 16:55.960]  or a brick facility.
[16:55.960 --> 16:56.800]  I don't know where it is.
[16:56.800 --> 16:57.640]  I didn't ask.
[16:57.640 --> 16:58.480]  I don't wanna know,
[16:58.480 --> 17:00.800]  but he was talking about it's 150 years old and it's brick.
[17:00.800 --> 17:01.640]  And that's gotta suck
[17:01.640 --> 17:04.080]  because you don't have a thing to screw shit into.
[17:04.080 --> 17:06.080]  Bricks crumble if you hit them with a hammer
[17:06.080 --> 17:07.880]  and try to put nails into them.
[17:07.880 --> 17:09.120]  Shit can go really wrong.
[17:09.120 --> 17:12.480]  If you move one brick, now you've got an unstable wall.
[17:12.480 --> 17:14.920]  All right, so I'm ranting about a brick.
[17:14.920 --> 17:16.880]  If you've got an open area, like a garage or a basement,
[17:16.880 --> 17:18.280]  or maybe Jesse's brick area,
[17:18.280 --> 17:20.200]  you're gonna need to build a room.
[17:20.200 --> 17:22.000]  You could just hang lights up in your garage
[17:22.000 --> 17:23.040]  or in that basement,
[17:23.040 --> 17:24.120]  but it's gonna be a lot easier
[17:24.880 --> 17:27.640]  if you build a room or set up a free prefabricated grow hut
[17:27.640 --> 17:29.840]  because that just gives you actually control
[17:29.840 --> 17:32.240]  over your environment and an environment.
[17:32.240 --> 17:34.600]  Simple reflection and trapping the light
[17:34.600 --> 17:36.160]  and having it reflect around
[17:36.160 --> 17:38.920]  makes the light up to 30% more efficient
[17:38.920 --> 17:40.200]  is what I read in a couple of books.
[17:40.200 --> 17:42.120]  One said 20, one said 30.
[17:42.120 --> 17:44.560]  How about we'll settle on 25% more efficient?
[17:44.560 --> 17:46.600]  And if you're running a thousand watt light,
[17:46.600 --> 17:50.280]  that's 250 watts basically of efficiency
[17:50.280 --> 17:53.160]  that you're going to not lose by having more reflection.
[17:53.200 --> 17:55.480]  So just putting in a good designed room
[17:55.480 --> 17:57.840]  is already saving you money and increasing buds
[17:57.840 --> 17:59.880]  because like we talked about on another show,
[17:59.880 --> 18:03.480]  the light is the main nutrient for your plants.
[18:03.480 --> 18:05.240]  It's not what you pour in, it's not what you feed it,
[18:05.240 --> 18:06.440]  it's actually the light.
[18:06.440 --> 18:08.960]  So where are we?
[18:08.960 --> 18:11.360]  Let's actually get into building a room.
[18:11.360 --> 18:13.040]  I was looking at all kinds of stuff
[18:13.040 --> 18:14.080]  and trying to figure out how to do this.
[18:14.080 --> 18:17.280]  I just decided let's kind of build a four light room.
[18:18.360 --> 18:20.160]  We're gonna act like we're building it
[18:20.160 --> 18:22.440]  either in a garage that's got plenty of room
[18:22.480 --> 18:25.120]  or the basement that's got plenty of room
[18:25.120 --> 18:26.480]  or maybe in a warehouse.
[18:27.400 --> 18:29.680]  Sorry about the coughs guys, we've been taking dabs.
[18:29.680 --> 18:30.880]  So let's build a room.
[18:30.880 --> 18:35.200]  We need four 1000 watt lights, an air conditioner,
[18:35.200 --> 18:36.440]  a way to remove the humidity
[18:36.440 --> 18:38.560]  and a way to draw in fresh air.
[18:38.560 --> 18:39.880]  So let's choose, like I said,
[18:39.880 --> 18:41.760]  we're gonna do the basement or a garage
[18:41.760 --> 18:42.600]  or something like that,
[18:42.600 --> 18:44.520]  that we wanna build a four light room.
[18:44.520 --> 18:46.080]  I wanna build a room that's, go ahead.
[18:46.080 --> 18:46.960]  How big is this room?
[18:46.960 --> 18:47.800]  That's what I was just gonna say.
[18:47.800 --> 18:48.640]  Oh, my bad.
[18:48.640 --> 18:50.440]  Eight by eight because two by fours
[18:50.440 --> 18:52.200]  come in eight foot sections, right?
[18:52.960 --> 18:54.160]  Or whatever we decide to use.
[18:54.160 --> 18:56.320]  Two by four, well, you can get them in tens too.
[18:56.320 --> 18:57.160]  Okay.
[18:57.160 --> 18:58.000]  Yeah.
[18:58.000 --> 18:59.200]  But most of us aren't gonna have a 10 foot ceiling
[18:59.200 --> 19:00.240]  in our basement or garage.
[19:00.240 --> 19:01.080]  For sure.
[19:01.080 --> 19:01.920]  So I was gonna just stick with the,
[19:01.920 --> 19:03.320]  you can buy a bunch of eight by eights,
[19:03.320 --> 19:05.320]  a bunch of eight foot two by fours.
[19:05.320 --> 19:07.760]  And I think you could set up this room in a day.
[19:07.760 --> 19:08.600]  That'd be nice.
[19:08.600 --> 19:09.440]  Yeah.
[19:09.440 --> 19:11.800]  You and I could do it in probably five hours
[19:11.800 --> 19:13.800]  cause we've done this enough times.
[19:13.800 --> 19:16.440]  So if you're gonna use a grow hut or something
[19:16.440 --> 19:18.120]  or a pre-made grow lab,
[19:18.120 --> 19:19.720]  what do you guys, do you guys sell grow huts
[19:19.720 --> 19:21.560]  over at HydroIndoor Growing Supplies?
[19:22.360 --> 19:24.480]  We have grow hut.
[19:24.480 --> 19:25.880]  We have a generic brand.
[19:25.880 --> 19:26.960]  Is it the grow lab?
[19:27.880 --> 19:29.240]  And we have a grow labs too.
[19:29.240 --> 19:30.200]  Okay.
[19:30.200 --> 19:34.960]  The generic brand is different than the grow labs.
[19:34.960 --> 19:35.800]  I've never seen one,
[19:35.800 --> 19:37.920]  but we can get a really good price on them.
[19:37.920 --> 19:38.760]  All right.
[19:38.760 --> 19:39.920]  And they're just basic, you know.
[19:39.920 --> 19:41.560]  I use the grow labs.
[19:41.560 --> 19:42.400]  That's what I have too.
[19:42.400 --> 19:44.600]  I think they're grow lab 120s or something like that.
[19:44.600 --> 19:45.720]  Or the five by fives.
[19:45.720 --> 19:46.560]  Yeah.
[19:46.560 --> 19:47.400]  Those are sweeps.
[19:47.400 --> 19:48.240]  Same thing.
[19:48.240 --> 19:49.080]  Throw a thousand watt light in there.
[19:49.080 --> 19:49.920]  And those are awesome.
[19:49.920 --> 19:51.000]  They also make a 10 by 10 one,
[19:51.000 --> 19:53.800]  which would work perfectly
[19:53.800 --> 19:55.080]  for what we're gonna talk about here.
[19:55.080 --> 19:55.960]  It would be,
[19:55.960 --> 19:57.960]  we're gonna basically build an eight by eight version
[19:57.960 --> 19:59.160]  of that 10 by six,
[19:59.160 --> 20:01.520]  10 by 10 feet by 10 feet by six high, I think,
[20:01.520 --> 20:02.560]  or seven high.
[20:02.560 --> 20:04.760]  We're just gonna make an eight by eight by eight room.
[20:04.760 --> 20:07.680]  And one of the best ways to build a room,
[20:07.680 --> 20:09.400]  you know, even like a big, huge warehouse,
[20:09.400 --> 20:13.840]  what they do is essentially they build a gigantic grow hut
[20:13.840 --> 20:18.360]  out of two by fours and, you know, drywall and everything.
[20:18.360 --> 20:20.440]  They'll build a room inside of a room,
[20:20.880 --> 20:25.160]  even in like the vertical commercial lettuce farms
[20:25.160 --> 20:26.000]  and stuff like that.
[20:26.000 --> 20:27.720]  That's, they start with these cells.
[20:27.720 --> 20:28.760]  So, you know,
[20:31.760 --> 20:32.880]  you need to, you know,
[20:32.880 --> 20:35.440]  sometimes looking at a 10 by 10,
[20:35.440 --> 20:37.160]  a grow hut, they're kind of expensive,
[20:37.160 --> 20:39.280]  but so is building a 10 by 10 room.
[20:39.280 --> 20:40.120]  Right.
[20:40.120 --> 20:40.960]  And if you're not,
[20:42.760 --> 20:44.240]  if you can build a 10 by 10,
[20:44.240 --> 20:45.440]  you can build this eight by eight room.
[20:45.440 --> 20:46.280]  You've got the tools and everything.
[20:46.280 --> 20:47.560]  You know, build us a house.
[20:47.560 --> 20:48.400]  Yeah.
[20:48.400 --> 20:49.280]  I don't have,
[20:49.680 --> 20:50.800]  I've got basic skills,
[20:50.800 --> 20:52.640]  but for me buying the 10 by 10 hut
[20:52.640 --> 20:56.040]  and snapping those pieces together is so much easier for me.
[20:56.040 --> 20:58.000]  And if something were to go wrong in your grow,
[20:58.000 --> 20:59.800]  the thing comes down in an hour.
[20:59.800 --> 21:01.560]  You could have everything down,
[21:01.560 --> 21:03.720]  concealed in one hour,
[21:03.720 --> 21:05.280]  move it to another spot and put it back up,
[21:05.280 --> 21:07.720]  hopefully in another hour with those grow huts.
[21:07.720 --> 21:09.880]  And if you're like working in a garage
[21:09.880 --> 21:12.680]  or a big open basement, I mean, you know, it's just,
[21:13.760 --> 21:15.560]  if you want to expand and stuff like that,
[21:15.560 --> 21:18.480]  there's a lot of good reasons to have multiple rooms
[21:18.480 --> 21:19.960]  when it comes to pest control,
[21:20.880 --> 21:22.840]  equipment failure and all kinds of stuff like that.
[21:22.840 --> 21:25.880]  You know, it's good to double up.
[21:25.880 --> 21:27.200]  I agree completely.
[21:27.200 --> 21:29.600]  If you get bugs over in this room
[21:29.600 --> 21:30.440]  or if you have an equipment,
[21:30.440 --> 21:32.400]  and like you said, if the air conditioner fails in this room,
[21:32.400 --> 21:33.840]  it didn't fail in every room.
[21:33.840 --> 21:36.840]  It only failed in one light or four lights worth of stuff.
[21:36.840 --> 21:39.760]  It only murdered 30 plants instead of a hundred.
[21:39.760 --> 21:40.600]  All right.
[21:40.600 --> 21:41.480]  So I'm glad Jesse said that part
[21:41.480 --> 21:43.440]  about building a room within a room.
[21:43.440 --> 21:44.760]  He comes in handy sometimes.
[21:44.760 --> 21:46.080]  Cause most of what I wrote
[21:46.080 --> 21:47.840]  was about building a room inside of a room.
[21:48.200 --> 21:49.400]  I was going to say frame out an eight by eight room
[21:49.400 --> 21:50.760]  that's nice and tall.
[21:50.760 --> 21:51.600]  I was going to say,
[21:51.600 --> 21:53.080]  try to leave as much headroom as you can,
[21:53.080 --> 21:54.920]  but most of us are going to be in a basement or garage.
[21:54.920 --> 21:56.720]  So we'll be limited on space.
[21:56.720 --> 21:57.560]  And then I said,
[21:57.560 --> 21:59.960]  if you can use the full eight foot two by fours,
[21:59.960 --> 22:00.800]  you're in good luck.
[22:00.800 --> 22:01.960]  So frame out your eight by eight by eight room
[22:01.960 --> 22:03.120]  wherever you're working.
[22:03.120 --> 22:06.000]  And then here's where I kind of start getting into detail
[22:06.000 --> 22:07.000]  since Jesse kind of,
[22:07.000 --> 22:09.080]  I'm so glad you said build a room inside of a room.
[22:09.080 --> 22:10.720]  Cause that's most of what I wrote
[22:10.720 --> 22:12.040]  is build a room inside of a room.
[22:12.040 --> 22:15.480]  Even like big, like restaurants
[22:15.480 --> 22:16.800]  and old buildings and stuff like that.
[22:16.800 --> 22:19.440]  That's how they make it sanitary.
[22:19.440 --> 22:20.280]  Make it look all nice.
[22:20.280 --> 22:21.120]  Just build a shell.
[22:21.120 --> 22:22.320]  It's called over framing.
[22:23.440 --> 22:24.280]  All right.
[22:24.280 --> 22:25.600]  So over frame yourself a nice room.
[22:25.600 --> 22:26.440]  All right.
[22:26.440 --> 22:27.480]  You got an eight by eight room just framed.
[22:27.480 --> 22:30.360]  You don't need to frame it like super rigidly secure.
